A;SECTION A HUMAN NECESSITIES
A47J0031140000;Coffee- or tea-making apparatus with filters placed in or behind pouring spouts
A47J0031160000;Inverting coffee-making apparatus in which water is boiled in the lower part and the apparatus is subsequently inverted to pass the water through the filter
A47J0031180000;Apparatus in which ground coffee or tea-leaves are immersed in the hot liquid in the beverage container
A47J0031200000;having immersible, e.g. rotatable, filters
A47J0031220000;Centrifuges for producing filtered coffee (A47J0031200000 takes precedence)..
A47J0031240000;Coffee-making apparatus in which hot water is passed through the filter under pressure (A47J0031043000 takes precedence)..
A47J0031300000;with hot water under steam pressure
A47J0031320000;with hot water under air pressure
A47J0031340000;with hot water under liquid pressure
A47J0031360000;with mechanical pressure-producing means
A47J0031380000;operated by hand
A47J0031400000;Beverage-making apparatus with dispensing means for adding a measured quantity of ingredients, e.g. coffee, water, sugar, cocoa, milk, tea
A47J0031410000;of liquid ingredients
A47J0031420000;Beverage-making apparatus with incorporated grinding or roasting means for coffee
A47J0031440000;Parts or details of beverage-making apparatus (filters or strainers A47J0031060000)
A47J0031460000;Dispensing spouts, pumps, drain valves or like liquid transporting devices
A47J0031480000;Clips, rings, hooks, or like devices to support filter parts while not in use
A47J0031500000;Urns with devices for keeping beverages hot or cool
A47J0031520000;Alarm-clock-controlled mechanisms for coffee- or tea-making apparatus
A47J0031540000;Water boiling vessels
A47J0031560000;having water-level controls. having temperature controls
A47J0031580000;Safety devices
A47J0031600000;Cleaning devices
A47J0033000000;Camp cooking devices without integral heating means (travelling cookers with one burner A47J0036260000)
A47J0036000000;Parts, details or accessories of cooking-vessels (A47J0027000000-A47J0033000000.  take precedence insofar as these parts, details or accessories are restricted to a particular kind of cooking-vessel provided for in a single one of those groups)..
A47J0036020000;Selection of specific materials, e.g. heavy bottoms with copper inlay or with insulating inlay
A47J0036040000;the materials being non-metallic
A47J0036060000;Lids or covers for cooking-vessels (specially adapted for pressure cookers A47J0027080000)
A47J0036080000;for draining liquids from vessels
A47J0036100000;Lid-locking devices
A47J0036120000;Devices for holding lids in open position on the container
A47J0036140000;Pouring-spouts, e.g. as parts separate from vessel
A47J0036160000;Inserts
A47J0036180000;Boilers or utensils with sieves inserted therein, e.g. potato-cookers
A47J0036200000;Perforated bases or perforated containers to be placed inside a cooking utensil
A47J0036220000;Wire inserts (for deep fat fryers A47J0037120000)
A47J0036240000;Warming devices
A47J0036260000;Devices for warming vessels containing drinks or food, especially by means of burners. Travelling cookers, e.g. using petroleum or gasoline with one burner
A47J0036280000;Warming devices generating the heat by exothermic reactions, e.g. heat released by the contact of unslaked lime with water
A47J0036300000;Devices for warming by making use of burning cartridges or other chemical substances
A47J0036320000;Time-controlled igniting mechanisms or alarm devices
A47J0036340000;Supports for cooking-vessels
A47J0036360000;Shields or jackets for cooking utensils minimising the radiation of heat, fastened or movably mounted
A47J0036380000;for withdrawing or condensing cooking vapours from cooking utensils
A47J0036400000;Leak-stopping devices for repairing cooking-vessels
A47J0036420000;Devices to prevent deposition of scale, i.e. fur, or the like
A47J0037000000;Baking. Roasting. Grilling. Frying (bakers' ovens, non-domestic baking apparatus or equipment A21B. domestic stoves or ranges F24B, F24C)
A47J0037010000;Vessels uniquely adapted for baking (for use in bakers' ovens A21B)
A47J0037040000;Roasting apparatus with movably-mounted food supports or with movable heating implements. Spits
A47J0037060000;Roasters. Grills, Sandwich grills
A47J0037070000;Roasting devices for outdoor use. Barbecues
A47J0037080000;Bread-toasters
A47J0037100000;Frying-pans, including lids or basting devices
A47J0037120000;Deep fat fryers, including apparatus specially adapted for frying fish
A47J0039000000;Heat-insulated warming chambers. Cupboards with heating arrangements for warming kitchen utensils
A47J0039020000;Dish-warmers. Devices to keep food hot
A47J0041000000;Thermally-insulated vessels, e.g. flasks, jugs, jars
A47J0041020000;Vacuum-jacket vessels, e.g. vacuum bottles
A47J0042000000;Coffee mills. Spice mills
A47J0042020000;having grinding cones
A47J0042040000;hand driven
A47J0042060000;mechanically driven
A47J0042080000;Adjusting mechanisms
A47J0042100000;Grinding cones
A47J0042120000;having grinding discs
A47J0042140000;hand driven
A47J0042160000;mechanically driven
A47J0042180000;Adjusting mechanisms
A47J0042200000;Grinding discs
A47J0042220000;having pulverising beaters or rotary knives
A47J0042240000;hand driven
A47J0042260000;mechanically driven
A47J0042280000;Beaters or knives
A47J0042300000;having perforated container for the ground material. having sieves
A47J0042320000;with other grinding or pulverising members
A47J0042340000;hand driven
A47J0042360000;mechanically driven
A47J0042380000;Parts or details
A47J0042400000;relating to discharge, receiving container or the like. Bag clamps, e.g. with means for actuating electric switches
A47J0042420000;Drawers for receiving ground material
A47J0042440000;Automatic starting or stopping devices (bag clamps with means for actuating switches A47J0042400000). Warning devices
A47J0042460000;Driving mechanisms. Coupling to drives
A47J0042480000;Attachment of mills to tables, walls, or the like
A47J0042500000;Supplying devices, e.g. funnels. Supply containers
A47J0042520000;Coffee mills combined with roasting devices
A47J0042540000;Cooling
A47J0042560000;Safety devices
A47J0043000000;Implements for preparing or holding food, not provided for in other groups of this subclass
A47J0043040000;Machines for domestic use not covered elsewhere, e.g. for grinding, mixing, stirring, kneading, emulsifying, whipping or beating foodstuffs, e.g. power-driven
A47J0043042000;Mechanically-driven liquid-shakers
A47J0043044000;with tools driven from the top side
A47J0043046000;with tools driven from the bottom side
A47J0043060000;with a plurality of interchangeable working units
A47J0043070000;Parts or details, e.g. mixing tools, whipping tools
A47J0043080000;Driving mechanisms
A47J0043090000;with fluid drive, e.g. by jets
A47J0043100000;Egg-whisks. Cream-beaters, i.e. hand implements
A47J0043120000;Whipping by introducing a stream of gas
A47J0043140000;Devices for opening raw eggs or separating the contents thereof
A47J0043160000;Implements for introducing fat, bacon or the like into meat. Larding-pins
A47J0043180000;Holding or clamping devices for supporting fowl, venison, or other meat, or vegetables, during cooking or during subsequent cutting
A47J0043200000;Shapes for preparing foodstuffs, e.g. meat-patty moulding devices
A47J0043220000;Kitchen sifters
A47J0043240000;Devices for washing vegetables or the like
A47J0043250000;Devices for grating
A47J0043260000;Nutcrackers
A47J0043270000;for mixing drinks. Hand-held shakers (mechanically driven A47J0043042000)
A47J0043280000;Other culinary hand implements, e.g. spatulas, pincers, forks or like food holders, ladles, skimming ladles, cooking spoons. Spoon-holders attached to cooking pots
A47J0044000000;Multi-purpose machines for preparing food
A47J0044020000;with provisions for drive either from top or from bottom, e.g. for separately-driven bowl
A47J0045000000;Devices for fastening or gripping kitchen utensils (kitchen cabinets with provisions for attachment of kitchen implements or utensils A47B0077000000)
A47J0045020000;for fastening kitchen utensils to tables, walls, or the like
A47J0045060000;Handles for hollow-ware articles
A47J0045070000;of detachable type (separate handles A47J0045100000)
A47J0045080000;Heat-insulating handles
A47J0045100000;Devices for gripping or lifting hot cooking utensils, e.g. pincers, separate pot handles, fabric or like pads
A47J0047000000;Kitchen containers, stands or the like, not provided for in other groups of this subclass. Cutting-boards, e.g. for bread
A47J0047010000;with dispensing devices
A47J0047020000;Closed containers for foodstuffs
A47J0047040000;for granulated foodstuffs
A47J0047060000;with arrangements for keeping fresh
A47J0047080000;for non-granulated foodstuffs
A47J0047100000;with arrangements for keeping fresh
A47J0047120000;Bread boxes
A47J0047140000;Carriers for prepared human food (lunch boxes, picnic boxes, or the like A45C0011200000)
A47J0047160000;Stands, or holders for kitchen articles
A47J0047180000;Pails for kitchen use
A47J0047190000;Edge protectors. Floor protectors
A47J0047200000;Grids, racks, or other supports removably mounted in, on, or over sinks. Splash guards for sinks
A47K;SANITARY EQUIPMENT NOT OTHERWISE PROVIDED FOR (connecting to water supply or waste pipe, sinks E03C. water-closets E03D). TOILET ACCESSORIES (cosmetic equipment A45D)
A47K0001000000;Wash-stands. Appurtenances therefor (devices for washing the hair or scalp A45D0019000000. basins used in manual washing or cleaning of crockery, table-ware, cooking-ware, or the like A47L0017020000. with appurtenances for curative purposes A61H)
A47K0001020000;Portable toilet tables. Wash cabinets or stands (for automobiles B60R. for railway cars B61D. for ships B63B. for aircraft B64D. connected to waste pipe E03C)
A47K0001040000;Basins (connected to waste pipe E03C0001120000). Jugs. Holding devices therefor
A47K0001050000;Holding devices for basins or jugs
A47K0001060000;Replaceable hygienic linings or casings for wash-basins
A47K0001080000;Accessories for toilet tables, e.g. glass plates, supports therefor (towel holders A47K0010000000)
A47K0001090000;Holders for drinking glasses, tooth brushes, hair brushes, or the like
A47K0001100000;Detachable frames with hand basins mountable on baths
A47K0001120000;Wash-basins attachable to sinks. Collapsible washing stands attachable to sinks (supports attachable to sinks in general A47J0047200000)
A47K0001140000;Stoppers for wash-basins, baths, sinks, or the like
A47K0003000000;Baths. Showers. Appurtenances therefor (for curative purposes A61H, A61M, e.g. bathing devices for special therapeutic or hygienic purposes A61H0033000000)
A47K0003020000;Baths (combined with showers A47K0003200000. heatable F24H)
A47K0003022000;specially adapted for particular use, e.g. for washing the feet, for bathing in sitting position (collapsible baths A47K0003062000)
A47K0003024000;specially adapted for use for children or babies
A47K0003030000;attachable to other baths, sinks, wash-basins, or the like (collapsible baths A47K0003070000)
A47K0003034000;specially adapted for use for children or babies
A47K0003040000;Built-in baths
A47K0003060000;Collapsible baths
A47K0003062000;specially adapted for particular use, e.g. for washing the feet, for bathing in sitting position
A47K0003064000;specially adapted for use for children or babies
A47K0003070000;attachable to other basins, or the like
A47K0003074000;specially adapted for use for children or babies
A47K0003080000;Cabinet baths (shower cabinets A47K0003300000)
A47K0003100000;Wave-producers or the like
A47K0003120000;Separate seats or body supports (seats for chairs A47C0007020000)
A47K0003140000;Replaceable separating walls for baths (sinks with separating walls E03C0001180000)
A47K0003160000;Devices for fastening baths to floors or walls. Adjustable bath feet
A47K0003162000;Collapsible stands or supports for baths
A47K0003164000;for child or baby baths
A47K0003170000;Adjustable bath feet
A47K0003180000;combined with hand basins
A47K0003200000;Baths combined with showers
A47K0003260000;Bidets without upward spraying means (bidets with upward spraying means A61H0035000000, E03D0009080000)
A47K0003280000;Showers (combined with baths A47K0003200000. nozzles, spray heads B05B0001000000)
A47K0003300000;Screens or cabinets
A47K0003320000;Collapsible cabinets
A47K0003340000;Slidable screens (A47K0003360000 takes precedence)..
A47K0003360000;Articulated screens
A47K0003380000;Curtain arrangements (curtains, curtain suspension devices A47H)
A47K0003400000;Pans or trays
A47K0004000000;Combinations of baths, showers, sinks, wash-basins, closets, or urinals, not covered by a single other group of this subclass
A47K0005000000;Holders or dispensers for soap, toothpaste, or the like (lather making devices for shaving A45D0027020000. specially adapted for shaving soap or cosmetics A45D0033000000-A45D0040000000)
A47K0005020000;Soap boxes or receptacles
A47K0005030000;separate from wall or wash-stand
A47K0005040000;Other soap-cake holders
A47K0005050000;having fixing devices for cakes of soap, e.g. clamps, pins, magnets
A47K0005060000;Dispensers for soap
A47K0005080000;for solid soap
A47K0005090000;with means for scraping or grating
A47K0005100000;for powdered soap
A47K0005120000;for liquid or pasty soap
A47K0005122000;using squeeze bottles or the like
A47K0005130000;of invertible type
A47K0005140000;Foam or lather making devices
A47K0005160000;with mechanical drive (food mixers A47J0043040000)
A47K0005180000;for both soap and toothpaste or the like. in combination with holders for drinking glasses, toothbrushes, or the like
A47K0007000000;Body washing or cleaning implements (bathing devices for special therapeutic or hygienic purposes A61H0033000000. baths for specific parts of the body A61H0035000000)
A47K0007020000;Bathing sponges, brushes, gloves, or similar cleaning or rubbing implements (brushes in general A46B. sponges for domestic cleaning A47L0013160000. specially for massage A61H0007000000)
A47K0007030000;containing soap or other cleaning ingredients, e.g. impregnated
A47K0007040000;Washing or cleaning devices, hand or mechanically operated
A47K0007060000;Washing devices for one-armed persons
A47K0007080000;Devices or hand implements for cleaning the buttocks
A47K0010000000;Body-drying implements. Toilet paper. Holders therefor
A47K0010020000;Towels (made of paper A47K0010160000. woven fabrics D03D. non-woven fabrics D04H)
A47K0010040000;Towel racks. Towel rails. Towel rods. Towel rolls, e.g. rotatable
A47K0010060000;combined with means for drying towels (A47K0010300000 takes precedence)..
A47K0010080000;characterised by being mounted on wash-basins, baths, or the like
A47K0010100000;characterised by being mounted on cabinets, walls, doors, or the like
A47K0010120000;Grips, hooks, or the like for hanging-up towels
A47K0010140000;Self-holding grips
A47K0010160000;Paper towels. Toilet paper. Holders therefor (dispensers A47K0010320000)
A47K0010180000;Holders. Receptacles
A47K0010200000;for piled sheets
A47K0010220000;for rolled-up webs (drawing-off paper from a roll in general B65H)
A47K0010240000;Towel dispensers. Toilet-paper dispensers (sheet or web dispensers in general B65H)
A47K0010260000;Mechanically-driven towel dispensers (A47K0010280000 takes precedence.for paper towels A47K0010340000)
A47K0010280000;dispensing a clean part and taking-up a soiled part, e.g. using rolls
A47K0010300000;combined with washing and drying means for the soiled parts
A47K0010320000;Dispensers for paper towels or toilet-paper
A47K0010340000;dispensing from a web, e.g. with mechanical dispensing means
A47K0010360000;with cutting devices
A47K0010380000;the web being rolled-up
A47K0010400000;with extensible or collapsible roll supports
A47K0010420000;dispensing from a store of single sheets, e.g. stacked
A47K0010440000;with mechanical dispensing means
A47K0010460000;with means for storing soiled towels
A47K0010480000;Drying by means of hot air (hair-drying devices A45D0020000000. curative hot-air baths A61H0033060000. electric heating elements H05B)
A47K0011000000;Closets without flushing (closets with recirculation of bowl-cleaning fluid E03D0005016000). Urinals without flushing (urinals for bed-ridden persons A61G0009000000. for vehicles in general B60R. closets for railway-cars B61D. for ships B63B. for aircraft B64D. urinals with flushing arrangements E03D0013000000). Chamber pots. Chairs with toilet conveniences or specially adapted for use with toilets
A47K0011020000;Dry closets, e.g. incinerator closets
A47K0011030000;having means for adding powder, e.g. earth
A47K0011040000;Room closets. Chairs with toilet conveniences or specially adapted for use with toilets, e.g. night chairs
A47K0011060000;Chamber-pots (bed pans or other sanitary devices for bed-ridden persons A61G0009000000)
A47K0011080000;Night cabinets or tables with closets or bidet equipment (bedside cabinets per seA47B0079000000)
A47K0011100000;Hand tools for cleaning the toilet bowl
A47K0011120000;Urinals without flushing
A47K0013000000;Seats or covers for all kinds of closets
A47K0013020000;of plastic materials
A47K0013040000;Buffers for seats
A47K0013060000;Auxiliary or portable seats for children
A47K0013080000;Covers with urine funnels
A47K0013100000;Devices for raising and lowering (thereby controlling flushing valves E03D0005040000)
A47K0013120000;Hinges
A47K0013140000;Protecting covers for closet seats
A47K0013160000;of single sheets of paper
A47K0013180000;of paper webs
A47K0013200000;with cutting devices
A47K0013220000;rolled-up (A47K0013200000 takes precedence)..
A47K0013240000;Parts or details not covered in, or of interest apart from, groups . A47K0013020000-A47K0013220000
A47K0013260000;Mounting devices for seats or covers (hinges A47K0013120000)
A47K0013280000;Adjustably-mounted seats or covers
A47K0013300000;Seats having provisions for heating, deodorising or the like
A47K0017000000;Other equipment (devices for receiving spittle A61J0019000000)
A47K0017020000;Body supports, other than seats, for closets, e.g. handles, back-rests, foot-rests. Accessories for closets, e.g. reading tables
A47L;DOMESTIC WASHING OR CLEANING (brushes A46B. cleaning quantities of bottles or of other hollow articles of one kind B08B0009000000. laundry D06F). SUCTION CLEANERS IN GENERAL (cleaning in general B08)
A47L0001000000;Cleaning windows, window shades, window screens, venetian blinds
A47L0001000000;Cleaning windows
A47L0001020000;Power-driven machines or devices
A47L0001030000;cleaning both sides of a window simultaneously
A47L0001050000;Hand apparatus with built-in electric motors
A47L0001060000;Hand implements (with built-in electric motors A47L0001050000)
A47L0001080000;with provision for supplying liquids, e.g. cleaning agents (A47L0001095000, A47L0001130000, A47L0001150000 take precedence)..
A47L0001090000;for cleaning one side with access from the other side only
A47L0001095000;with provision for supplying liquids, e.g. cleaning agents
A47L0001120000;for cleaning both sides simultaneously
A47L0001130000;with provision for supplying liquids, e.g. cleaning agents
A47L0001150000;Cloths, sponges, pads, or the like, e.g. containing cleaning agents
A47L0001160000;Devices for defrosting window-panes (H05B0003840000 takes precedence)..
A47L0003000000;Safety devices for use in window-cleaning (safety belts A62B0035000000. for scaffolding in general E04G. for ladders E06C)
A47L0003020000;Cages. Platforms
A47L0003040000;Safety ropes
A47L0004000000;Cleaning window shades, window screens, venetian blinds (A47L0001150000 takes precedence.suction cleaner nozzles A47L0009020000)
A47L0004020000;Hand implements for cleaning venetian blinds
A47L0004040000;Accessories facilitating cleaning, e.g. venetian blind separators, spreaders, or cleaning racks
A47L0005000000;Suction cleaners
A47L0005000000;Structural features of suction cleaners
A47L0005020000;with user-driven air-pumps or compressors
A47L0005040000;with pistons, bellows, or diaphragms, e.g. driven by the cleaner-supporting wheels
A47L0005050000;with driven dust-loosening tools
A47L0005060000;with rotary fans
A47L0005080000;driven by cleaner-supporting wheels
A47L0005100000;with driven dust-loosening tools
A47L0005120000;with power-driven air-pumps or air-compressors, e.g. driven by motor vehicle engine vacuum
A47L0005140000;cleaning by blowing-off, also combined with suction cleaning
A47L0005160000;with suction devices other than rotary fans
A47L0005180000;with ejectors, e.g. connected to motor vehicle exhaust
A47L0005200000;with bellows, diaphragms or pistons
A47L0005220000;with rotary fans
A47L0005240000;Hand-supported suction cleaners
A47L0005260000;with driven dust-loosening tools
A47L0005280000;Suction cleaners with handles and nozzles fixed on the casings, e.g. wheeled suction cleaners with steering handle (A47L0005240000 takes precedence)..
A47L0005300000;with driven dust-loosening tools, e.g. rotating brushes
A47L0005320000;with means for connecting a hose (hose couplings for suction cleaners A47L0009240000)
A47L0005340000;with height adjustment of nozzles or dust-loosening tools
A47L0005360000;Suction cleaners with hose between nozzle and casing. Suction cleaners for fixing on staircases. Suction cleaners for carrying on the back
A47L0005380000;Built-in suction cleaner installations, i.e. with fixed tube system to which, at different stations, hoses can be connected
A47L0007000000;Suction cleaners adapted for additional purposes (with floor-polishing tools A47L0011200000. suction devices for removing ash F23J0001020000). Tables with suction openings for cleaning purposes. Containers for cleaning articles by suction. Suction cleaners adapted to cleaning of brushes. Suction cleaners adapted to taking-up liquids
A47L0007020000;with driven tools for special purposes
A47L0007040000;for using the exhaust air for other purposes, e.g. for distribution of chemicals in a room, for sterilisation of the air (spraying or atomising in general B05)
A47L0007060000;for supporting the suction cleaner on the exhaust air
A47L0007080000;with combustion of dust in exhaust air
A47L0009000000;Details or accessories of suction cleaners, e.g. mechanical means for controlling the suction or for effecting pulsating action. Storing devices specially adapted to suction cleaners or parts thereof. Carrying-vehicles specially adapted for suction cleaners
A47L0009020000;Nozzles (suction nozzles for fluid transport B65G0051000000)
A47L0009040000;with driven brushes or agitators
A47L0009060000;with fixed, e.g. adjustably fixed brushes or the like
A47L0009080000;with means adapted for blowing
A47L0009100000;Filters (in general B01D. cyclones B04C). Dust separators. Dust removal. Automatic exchange of filters
A47L0009120000;Dry filters
A47L0009140000;Bags or the like. Attachment of, or closures for, bags
A47L0009160000;Arrangement or disposition of cyclones or other devices with centrifugal action
A47L0009180000;Liquid filters
A47L0009190000;Means for monitoring filtering operation
A47L0009200000;Means for cleaning filters
A47L0009220000;Mountings for motor fan assemblies
A47L0009240000;Hoses. Hose couplings (hoses or hose joints in general F16L)
A47L0009260000;Incorporation of winding devices for electric cables (devices specially adapted for repeatedly paying-out or re-storing cables B65H0075340000. arrangements of electrical cables or lines between relatively-movable parts H02G0011000000)
A47L0009280000;Installation of the electric equipment, e.g. adaptation or attachment to the suction cleaner. Regulation of suction cleaners by electric means
A47L0009300000;Arrangement of illuminating devices
A47L0009320000;Handles
A47L0011000000;Cleaning floors, carpets, furniture, walls, or wall coverings
A47L0011000000;Machines for cleaning floors, carpets, furniture, walls, or wall coverings
A47L0011020000;Floor surfacing or polishing machines (polishing machines in general B24B0029000000)
A47L0011030000;characterised by having provisions for supplying cleaning or polishing agents
A47L0011040000;hand-driven
A47L0011060000;with reciprocating or oscillating tools
A47L0011080000;with rotating tools
A47L0011100000;motor-driven
A47L0011120000;with reciprocating or oscillating tools
A47L0011140000;with rotating tools
A47L0011160000;the tools being disc brushes
A47L0011162000;having only a single disc brush
A47L0011164000;Parts or details of the brushing tools
A47L0011180000;the tools being roll brushes
A47L0011190000;Parts or details of the brushing tools
A47L0011200000;combined with vacuum cleaning devices
A47L0011202000;having separate drive for the cleaning brushes
A47L0011204000;having combined drive for brushes and for vacuum cleaning
A47L0011205000;for reciprocating brushes
A47L0011206000;for rotary disc brushes
A47L0011220000;Floor-sweeping machines, hand-driven
A47L0011240000;Floor-sweeping machines, motor-driven
A47L0011260000;Floor-scrubbing machines, hand-driven (A47L0011290000 takes precedence)..
A47L0011280000;Floor-scrubbing machines, motor-driven (A47L0011290000 takes precedence)..
A47L0011282000;having rotary tools
A47L0011283000;the tools being disc brushes
A47L0011284000;having reciprocating tools
A47L0011290000;Floor-scrubbing machines characterised by means for taking-up dirty liquid
A47L0011292000;having rotary tools (A47L0011300000 takes precedence)..
A47L0011293000;the tools being disc brushes
A47L0011294000;having reciprocating tools (A47L0011300000 takes precedence)..
A47L0011300000;by suction
A47L0011320000;Carpet-sweepers (combined with suction cleaners A47L0007020000)
A47L0011330000;having means for storing dirt
A47L0011340000;Machines for treating carpets in position by liquid, foam, or vapour, e.g. by steam
A47L0011360000;Machines for beating upholstery
A47L0011380000;Machines, specially adapted for cleaning walls, ceilings, roofs, or the like
A47L0011400000;Parts or details of machines not provided for in groups . A47L0011020000-A47L0011380000, or not restricted to one of these groups, e.g. handles, arrangements of switches, skirts, buffers or levers
A47L0013000000;Implements for cleaning floors, carpets, furniture, walls, or wall coverings (brushes, their handles or fastenings A46B, B25G. scrapers for finishing work on buildings E04F0021000000)
A47L0013020000;Scraping
A47L0013022000;Scraper handles
A47L0013030000;Scrapers having provisions for supplying cleaning agents
A47L0013040000;with steel wool
A47L0013060000;with wire brushes or wire meshes
A47L0013070000;Metal sponges (A47L0013022000, A47L0013030000 take precedence)..
A47L0013080000;with scraping blades
A47L0013100000;Scrubbing. Scouring. Cleaning. Polishing
A47L0013110000;Squeegees
A47L0013120000;Implements with several different treating devices
A47L0013140000;combined with squeezing or wringing devices
A47L0013142000;having torsional squeezing or wringing action
A47L0013144000;having squeezing rollers
A47L0013146000;having pivoting squeezing plates
A47L0013160000;Cloths. Pads. Sponges (metal scraping sponges A47L0013070000)
A47L0013170000;containing cleaning agents (A47L0013190000 takes precedence)..
A47L0013180000;Gloves. Glove-like cloths
A47L0013190000;containing cleaning agents
A47L0013200000;Mops
A47L0013220000;with liquid-feeding devices
A47L0013230000;connectible to the water mains
A47L0013240000;Frames for mops. Mop heads (handles B25G)
A47L0013250000;Wire frames
A47L0013252000;for mops of textile fringes or the like
A47L0013253000;of adjustable or foldable type
A47L0013254000;Plate frames
A47L0013255000;for mops of textile fringes or the like
A47L0013256000;for mops made of cloth
A47L0013257000;for mops made of sponge material
A47L0013258000;of adjustable or foldable type
A47L0013260000;Other cleaning devices with liquid supply arrangements (such arrangements on floor-polishing machines A47L0011000000, on scrapers A47L0013030000, on mops A47L0013220000. cloths, pads, or the like containing cleaning agents A47L0013170000, A47L0013190000)
A47L0013280000;Polishing implements (polishing machines A47L0011020000)
A47L0013282000;mounted under footwear
A47L0013284000;having fixed or detachable weights
A47L0013286000;having containers for storing polishing material, e.g. polishing paper
A47L0013290000;having movable or detachable polishing or shining cloths
A47L0013294000;having invertible head, one side being used for dispensing polishing material and the reverse side for shining
A47L0013300000;Implements for polishing and waxing or oiling, with dispensers for wax or oil
A47L0013310000;having movable or detachable polishing or shining cloths
A47L0013312000;supplied with liquid wax or oil
A47L0013314000;having invertible head, one side being used for dispensing wax or oil and the reverse side for shining
A47L0013316000;supplied with liquid wax or oil
A47L0013320000;Wax dispensers with heating arrangements
A47L0013340000;Scouring implements for hearths or metal objects
A47L0013360000;Carpet-beaters
A47L0013380000;Other dusting implements
A47L0013400000;Cleaning implements actuated by electrostatic attraction. Devices for cleaning same. Magnetic cleaning implements
A47L0013410000;Magnetic cleaning implements
A47L0013420000;Details
A47L0013440000;Securing scouring-cloths to the brush or like body of the implement
A47L0013460000;Securing scouring- or polishing-cloths or sponges to the handles by gripping means, tongs, or the like
A47L0013480000;Protective devices, such as bumpers or guard plates
A47L0013500000;Auxiliary implements (cleaning devices for brushes or the like A46B0017060000)
A47L0013502000;Shakers for dust-cloths or mops. Bumpers therefor
A47L0013510000;Storing of cleaning tools, e.g. containers therefor
A47L0013512000;Clamping devices for hanging the tools
A47L0013520000;Dust pans. Crumb trays
A47L0013540000;Racks for beating carpets
A47L0013560000;Implements for applying wax or oil
A47L0013580000;Wringers for scouring pads, mops, or the like, combined with buckets
A47L0013590000;with movable squeezing members
A47L0013600000;with squeezing rollers
A47L0013620000;Kneeling supports, especially wheeled (kneeling cushions attachable to knees A41D0013060000)
A47L0015000000;Cleaning or polishing household articles or the like
A47L0015000000;Washing or rinsing machines for crockery or table-ware
A47L0015020000;with circulation and agitation of the cleaning liquid in the cleaning chamber containing a stationary basket
A47L0015040000;by reciprocating movement of the cleaning chamber
A47L0015060000;by means of an impeller in the chamber
A47L0015080000;by application of a pressure effect produced by pumps
A47L0015100000;by introducing compressed air or other gas into the liquid
A47L0015120000;by a boiling effect
A47L0015130000;using sonic or ultrasonic waves
A47L0015140000;with stationary crockery baskets and spraying devices within the cleaning chamber
A47L0015160000;with rigidly-mounted spraying devices
A47L0015180000;with movably-mounted spraying devices
A47L0015200000;Swingable spraying devices
A47L0015220000;Rotary spraying devices
A47L0015230000;moved by means of the sprays
A47L0015240000;with movement of the crockery baskets by conveyors
A47L0015260000;with movement of the crockery baskets by other means
A47L0015280000;by lowering and lifting only
A47L0015300000;by rotating only
A47L0015320000;rotated by means of spraying water
A47L0015330000;with moving baskets submerged in the cleaning fluid
A47L0015340000;by lowering and lifting combined with a rotating movement
A47L0015360000;by a sideways motion
A47L0015370000;with crockery cleaned by brushes
A47L0015390000;with brushes on movable supports
A47L0015420000;Details
A47L0015440000;Devices for adding cleaning agents
A47L0015460000;Devices for the automatic control of the different phases of cleaning
A47L0015480000;Drying arrangements
A47L0015500000;Racks
A47L0017000000;Apparatus or implements used in manual washing or cleaning of crockery, table-ware, cooking-ware or the like (foam-making devices A47K0005140000)
A47L0017020000;Basins (dish-washing tables A47B0033000000. sanitary basins A47K0001040000. basins connected to waste pipe E03C0001120000)
A47L0017040000;Pan or pot cleaning utensils
A47L0017060000;Scrapers
A47L0017080000;Pads. Balls of steel wool, wire, or plastic meshes
A47L0017100000;Tongs for crockery
A47L0019000000;Drying devices for crockery or table-ware, e.g. tea-cloths
A47L0019020000;Draining-boards
A47L0019040000;Crockery baskets. Draining-racks
A47L0021000000;Polishing of table-ware, e.g. knives, forks, spoons
A47L0021020000;Machines
A47L0021040000;Hand implements
A47L0021060000;Supports or rests for use while polishing
A47L0023000000;Cleaning footwear
A47L0023020000;Shoe-cleaning machines, with or without applicators for shoe polish
A47L0023040000;Hand implements for shoe-cleaning, with or without applicators for shoe polish (ordinary brushes, with or without containers, A46B0011000000)
A47L0023050000;with applicators for shoe polish
A47L0023060000;with electric drive
A47L0023080000;Special hand implements for cleaning and recolouring footwear, e.g. powder pads
A47L0023100000;Cloth or collapsible cleaning pads. Glove-like cleaning cloths (glove-like washing cloths A47K0007020000)
A47L0023120000;Cleaning devices for suede
A47L0023140000;Implements for use during shoe-cleaning, to guard against spoiling
A47L0023160000;Shoe-shine stands. Foot-rests with guides for the polishing cloths
A47L0023170000;Foot-rests with guides for the polishing cloths
A47L0023180000;Devices for holding footwear during cleaning or shining (shoe-lasts A43D0003000000). Holding devices with stretching effect
A47L0023200000;Devices or implements for drying footwear, also with heating arrangements (cabinets for shoes A47B0061040000)
A47L0023220000;Devices or implements resting on the floor for removing mud, dirt, or dust from footwear (built-in gratings, e.g. foot-scrapers, E04F0019100000)
A47L0023240000;Rigid cleaning-gratings. Tread plates or scrapers for cleaning the soles of footwear (floor mats in general A47G0027020000)
A47L0023260000;Mats or gratings combined with brushes
A47L0023280000;Receptacles for shoe-cleaning equipment
