D;SECTION D TEXTILESPAPER
D01H0007020000;for imparting permanent twist
D01H0007040000;Spindles (spindle bearings, supports therefor, in general F16C)
D01H0007060000;Stationary spindles with package-holding sleeves
D01H0007080000;Mounting arrangements
D01H0007100000;Spindle supports. Rails. Rail supports, e.g. poker guides
D01H0007120000;Bolsters. Bearings
D01H0007140000;Holding-down arrangements
D01H0007160000;Arrangements for coupling bobbins or like to spindles
D01H0007180000;Arrangements on spindles for suppressing yarn balloons (thread guards or protectors D01H0001420000)
D01H0007200000;Lubricating arrangements
D01H0007220000;Braking arrangements
D01H0007240000;Flyer or like arrangements (multiple-twist arrangements D01H0007860000)
D01H0007260000;Flyer constructions
D01H0007280000;arranged to guide material over exterior of legs
D01H0007300000;with guide channels formed in legs, e.g. slubbing flyers
D01H0007320000;with pressing devices
D01H0007340000;with haul pulleys or like arrangements
D01H0007360000;with traversing devices
D01H0007380000;Ring flyers
D01H0007400000;Flyer supports, e.g. rails
D01H0007420000;Arrangements coupling flyers to spindles
D01H0007440000;Drag arrangements for bobbins or flyers
D01H0007460000;Devices attached to, or integral with, flyers for temporarily increasing twist in material passing to them
D01H0007480000;Eyes or like guiding arrangements (D01H0007460000 takes precedence)..
D01H0007500000;Interrelated flyer and bobbin drive mechanisms, e.g. winding-on motions for cotton-roving frames (package-building mechanisms D01H0001360000)
D01H0007520000;Ring-and-traveller arrangements
D01H0007540000;with fixed rings
D01H0007560000;with freely-rotatable rings. with braked or dragged rings
D01H0007580000;with driven rings
D01H0007600000;Rings or travellers. Manufacture thereof not otherwise provided for (hand tools for applying travellers to rings D01H0017020000)
D01H0007620000;Arrangements providing lubricant for travellers
D01H0007640000;Ring supports, e.g. ring rails (poker guides or other rail supports D01H0007100000)
D01H0007660000;Cap arrangements
D01H0007680000;Cap constructions
D01H0007700000;Arrangements for supporting caps on spindles
D01H0007720000;Bobbin-supporting arrangements, e.g. bobbin rails (poker guides or other rail supports D01H0007100000)
D01H0007740000;Cup or like arrangements
D01H0007760000;Rotary discs
D01H0007780000;Constructions of cups, e.g. spinning boxes
D01H0007800000;adapted to collect wet yarns
D01H0007820000;Casings or guards for rotary cups or the like
D01H0007840000;Spindles or yarn carriers for co-operation with rotary cups (removing yarn from centrifugal cups on to yarn carriers D01H0009060000)
D01H0007860000;Multiple-twist arrangements, e.g. two-for-one twisting devices
D01H0007880000;Hollow-spindle arrangements (D01H0007860000 takes precedence)..
D01H0007900000;Arrangements with two or more twisting devices in combination (D01H0007860000, D01H0007880000 take precedence)..
D01H0007920000;for imparting transient twist
D01H0009000000;Common features or details of, or accessories for, spinning or twisting machines of various kinds or types
D01H0009000000;Arrangements for replacing or removing bobbins, cores, receptacles, or completed packages at paying-out or take-up stations (arrangements of general interest in the winding of filamentary material B65H)
D01H0009020000;for removing completed take-up packages and replacing by bobbins, cores, or receptacles at take-up stations. Transferring material between adjacent full and empty take-up elements
D01H0009040000;Doffing arrangements integral with spinning or twisting machines
D01H0009060000;Removing yarn from centrifugal cups on to yarn carriers
D01H0009080000;Doffing arrangements independent of spinning or twisting machines
D01H0009100000;Doffing carriages
D01H0009120000;Manual cop-tube applying apparatus. Stands for cop-tube applying apparatus
D01H0009140000;for preparing machines for doffing of yarns (stop motions responsive to delivery of a measured length of material D01H0013240000)
D01H0009160000;Yarn-severing arrangements
D01H0009180000;for supplying bobbins, cores, receptacles, or completed packages to, or transporting from, paying-out or take-up stations (D01H0009100000 takes precedence)..
D01H0011000000;Arrangements for confining or removing dust, fly, or the like (cleaning of running surfaces in open-end spinning machines D01H0004220000. separation in general B01D. cleaning in general B08B. air-conditioning F24F, e.g. by filtering F24F0003160000)
D01H0013000000;Other common constructional features, details, or accessories (for open-end spinning D01H0004000000)
D01H0013020000;Roller arrangements not otherwise provided for
D01H0013040000;Guides for slivers, rovings, or yarns. Smoothing dies (fibre-condensing guides D01H0005720000)
D01H0013060000;Traversing arrangements
D01H0013080000;Twist arresters
D01H0013100000;Tension devices
D01H0013120000;Arrangements preventing snarls or inadvertent doubling of yarns (suction end-catchers D01H0005680000)
D01H0013140000;Warning or safety devices, e.g. automatic fault detectors, stop motions (warning or safety devices for filamentary material, not intimately associated with spinning or like machines B65H. safety devices of general application F16P. indicating devices of general application G08B)
D01H0013160000;responsive to reduction in material tension, failure of supply, or breakage, of material
D01H0013180000;stopping supply only
D01H0013200000;responsive to excessive tension or irregular operation of apparatus
D01H0013220000;responsive to presence of irregularities in running material
D01H0013240000;responsive to delivery of a measured length of material, completion of winding of a package or filling of a receptacle
D01H0013260000;Arrangements facilitating the inspection or testing of yarns or the like in connection with spinning or twisting
D01H0013280000;Heating or cooling arrangements
D01H0013300000;Moistening, sizing, oiling, waxing, colouring, or drying yarns or the like as incidental measures during spinning or twisting
D01H0013320000;Counting, measuring, recording, or registering devices (in general, see in the appropriate subclass of section G, e.g. G01B)
D01H0015000000;Piecing arrangements (for open-end spinning machines D01H0004480000. in machines for producing textile fabrics, see the appropriate subclasses).
D01H0015007000;for two-for-one twisting machines
D01H0015013000;Carriages travelling along the machines
D01H0017000000;Hand tools (cop-tube applying apparatus D01H0009120000)
D01H0017020000;Arrangements for storing ring travellers. Devices for applying travellers to rings
D02;YARNS. MECHANICAL FINISHING OF YARNS OR ROPES. WARPING OR BEAMING
D02G;CRIMPING OR CURLING FIBRES, FILAMENTS, YARNS, OR THREADS. YARNS OR THREADS
D02G0001000000;Producing crimped or curled fibres, filaments, yarns or threads, giving them latent characteristics (yarns per se  D02G0003000000. during formation of man-made filaments, threads or the like D01D0005220000. general aspects of chemical treatment D06M)
D02G0001020000;by twisting, fixing the twist and backtwisting, i.e . by imparting false twist
D02G0001040000;Devices for imparting false twist
D02G0001060000;Spindles
D02G0001080000;Rollers
D02G0001100000;using knife edges, e.g. heated knife edges, for edge crimping
D02G0001120000;using stuffer boxes
D02G0001140000;using grooved rollers or gear-wheel-type members
D02G0001160000;using jets or streams of turbulent gases, e.g. air, steam
D02G0001180000;by combining fibres, filaments, or yarns, having different shrinkage characteristics
D02G0001200000;Combinations of two or more of the above-mentioned operations or devices. After-treatments for fixing crimp or curl
D02G0003000000;Yarns or threads, e.g. fancy yarns. Processes or apparatus for the production thereof, not otherwise provided for (for producing crimped or curled yarns D02G0001000000)
D02G0003020000;Yarns or threads characterised by the material or by the materials from which they are made
D02G0003040000;Blended or other yarns or threads containing components made from different materials
D02G0003060000;Threads formed from strip material other than paper
D02G0003080000;Paper yarns or threads
D02G0003100000;Yarns or threads formed from collagenous materials, e.g. catgut
D02G0003120000;Threads containing metallic filaments or strips
D02G0003140000;Horse-hair threads
D02G0003160000;Yarns or threads made from mineral substances
D02G0003180000;from glass or the like
D02G0003200000;from asbestos
D02G0003220000;Yarns or threads characterised by constructional features
D02G0003240000;Bulked yarns or threads, e.g. formed from staple fibre components with different relaxation characteristics
D02G0003260000;with characteristics dependent on the amount or direction of twist
D02G0003280000;Doubled, plied, or cabled threads
D02G0003300000;Crêped or other highly-twisted yarns or threads
D02G0003320000;Elastic yarns or threads
D02G0003340000;Yarns or threads having slubs, knops, spirals, loops, tufts, or other irregular or decorative effects, i.e. effect yarns
D02G0003360000;Cored or coated yarns or threads (elastic yarns or threads D02G0003320000)
D02G0003380000;Threads in which fibres, filaments, or yarns are wound with other yarns or filaments (covering endless core threads with fibres by using open-end spinning techniques D01H0004000000)
D02G0003400000;Yarns in which fibres are united by adhesives. Impregnated yarns or threads
D02G0003420000;Chenille threads
D02G0003440000;Yarns or threads characterised by the purpose for which they are designed
D02G0003460000;Sewing-cottons or the like
D02G0003480000;Tyre cords
D02H;WARPING, BEAMING, OR LEASING
D02H0001000000;Creels, i.e. apparatus for supplying a multiplicity of individual threads
D02H0003000000;Warping machines
D02H0005000000;Beaming machines
D02H0005020000;combined with apparatus for sizing or other treatment of warps (sizing per seD06B)
D02H0007000000;Combined warping and beaming machines
D02H0009000000;Leasing
D02H0009020000;Lease rods or bands
D02H0011000000;Methods or apparatus not provided for in groups . D02H0001000000-D02H0009000000, e.g. for cleaning the warp
D02H0013000000;Details of machines of the other groups of this subclass
D02H0013020000;Stop motions
D02H0013040000;responsive to breakage, slackness, or excessive tension of threads, with detectors for individual threads or small groups of threads
D02H0013060000;mechanical
D02H0013080000;electrical
D02H0013100000;responsive to thread-measuring devices, e.g. stopping the machine when required length of warp has been wound
D02H0013120000;Variable-speed driving mechanisms
D02H0013140000;controlled automatically by tension in the warp
