E;SECTION E FIXED CONSTRUCTIONS
E04G0001040000;the members being exclusively poles, rods, beams, or other members of similar form and simple cross-section
E04G0001060000;comprising members with rod-like or tubular portions fitting together end to end, with or without separate connecting pieces
E04G0001080000;secured together by bolts or the like penetrating the members
E04G0001100000;Timber-work constructions
E04G0001120000;comprising members of special, e.g. composite, cross-section, or with lugs or the like or lateral apertures for supporting or attaching other members
E04G0001140000;Comprising essentially pre-assembled two-dimensional frame-like elements, e.g. of rods in L- or H-shape, with or without bracing (E04G0001150000 takes precedence)..
E04G0001150000;essentially comprising special means for supporting or forming platforms (E04G0001200000 takes precedence)..Platforms (boards or planks therefor E04G0005080000)
E04G0001170000;Comprising essentially pre-assembled three-dimensional elements, e.g. cubic elements
E04G0001180000;adjustable in height
E04G0001200000;Scaffolds comprising upright members and provision for supporting cross-members or platforms at different positions therealong
E04G0001220000;Scaffolds having a platform on an extensible sub-structure, e.g. of telescopic type or with lazy-tongs mechanism
E04G0001240000;comprising essentially special base constructions. comprising essentially special ground-engaging parts, e.g. inclined struts, wheels (component parts E04G0005000000)
E04G0001280000;designed to provide support only at a low height
E04G0001300000;Ladder scaffolds
E04G0001320000;Other free-standing supports, e.g. using trestles (stands or trestles in general F16M0011000000)
E04G0001340000;Scaffold constructions able to be folded in prismatic or flat parts or able to be turned down
E04G0001360000;Scaffolds for particular parts of buildings or buildings of particular shape, e.g. for stairs, cupolas, domes
E04G0001380000;Scaffolds partly supported by the building (ladders attachable to structures E06C0001340000)
E04G0003000000;Scaffolds essentially supported by building constructions, e.g. adjustable in height (E04G0001000000 takes precedence)..
E04G0003180000;supported by cantilevers or other provisions mounted in openings in the building, e.g. window openings (E04G0003280000 takes precedence)..
E04G0003200000;supported by walls (E04G0003280000 takes precedence.wall-anchors for supporting scaffolds E04G0005040000. consoles E04G0005060000)
E04G0003220000;supported by roofs or ceilings (E04G0003280000 takes precedence)..
E04G0003240000;specially adapted for particular parts of buildings or for buildings of particular shape, e.g. chimney stacks or pylons (E04G0003280000 takes precedence)..
E04G0003260000;specially adapted for working on roofs
E04G0003280000;Mobile scaffolds. Scaffolds with mobile platforms
E04G0003300000;suspended by flexible supporting elements, e.g. cables
E04G0003320000;Hoisting devices. Safety devices
E04G0003340000;characterised by supporting structures provided on the roofs
E04G0005000000;Component parts or accessories for scaffolds (connections E04G0007000000)
E04G0005020000;Scaffold feet, e.g. with arrangements for adjustment
E04G0005040000;Means for fastening, supporting, or bracing scaffolds on or against building constructions (fastenings in general F16B)
E04G0005060000;Consoles. Brackets
E04G0005080000;Scaffold boards or planks
E04G0005100000;Steps or ladders specially adapted for scaffolds
E04G0005120000;Canopies
E04G0005140000;Railings
E04G0005160000;Struts or stiffening rods, e.g. diagonal rods
E04G0007000000;Connections between parts of the scaffold (for building structures in general E04B0001380000. connections in general F16B)
E04G0007020000;with separate coupling elements
E04G0007040000;Flexible elements, with or without brackets, e.g. ropes, cables, chains (in general F16G)
E04G0007060000;Stiff scaffolding clamps for connecting scaffold members of common shape
E04G0007080000;Clamps for parallely-arranged members
E04G0007100000;Self-tightening clamps, e.g. stirrups
E04G0007120000;Clamps or clips for crossing members (E04G0007220000 takes precedence)..
E04G0007140000;for clamping the members independently
E04G0007160000;of which the clamping parts for the different members are rotatable with respect to one another
E04G0007180000;for clamping the members against one another or against a separate cushioning piece between them
E04G0007200000;for ends of members only, e.g. for connecting members in end-to-end relation
E04G0007220000;for scaffold members in end-to-side relation
E04G0007240000;Couplings involving arrangements covered by more than one of the groups . E04G0007080000, E04G0007120000, E04G0007200000, E04G0007220000
E04G0007260000;for use with specially-shaped scaffold members
E04G0007280000;Clips or connections for securing boards (brackets E04G0005060000)
E04G0007300000;Scaffolding bars or members with non-detachably fixed coupling elements
E04G0007320000;with coupling elements using wedges
E04G0007340000;with coupling elements using positive engagement, e.g. hooks or pins
E04G0009000000;Falsework, forms or shutterings for shaping of building parts . in situ
E04G0009000000;Forming or shuttering elements for general use
E04G0009020000;Forming boards or similar elements (E04G0009080000, E04G0009100000 take precedence)..
E04G0009040000;the form surface being of wood
E04G0009050000;the form surface being of plastics
E04G0009060000;the form surface being of metal
E04G0009080000;Forming boards or similar elements, which are collapsible, foldable, or able to be rolled up
E04G0009100000;with additional peculiarities such as surface shaping, insulating or heating, permeability to water or air
E04G0011000000;Forms, shutterings, or falsework for making walls, floors, ceilings, or roofs
E04G0011020000;for rooms as a whole, whole storeys, or whole buildings
E04G0011040000;for structures of spherical, spheroid or similar shape, or for cupola structures of circular or polygonal horizontal or vertical section. Inflatable forms (connection of valves to inflatable elastic bodies B60C0029000000)
E04G0011060000;for walls, e.g. curved (E04G0011040000 takes precedence)..
E04G0011080000;Forms which are completely dismantled after setting of the concrete and re-built for the next pouring (connecting or supporting means for forms E04G0017000000)
E04G0011100000;of elements without beams (E04G0011180000 takes precedence)..
E04G0011120000;of elements and beams (E04G0011180000 takes precedence)..
E04G0011140000;with beams arranged in alignment with, and between the, elements
E04G0011160000;with beams placed within the wall
E04G0011180000;for double walls
E04G0011200000;Movable forms. Movable forms for moulding cylindrical, conical, or hyperbolical structures. Templates serving as forms for positioning blocks or the like (E04G0011040000 takes precedence)..
E04G0011220000;Sliding forms raised continuously or step-by-step and being in contact with the poured concrete during raising. Arrangements of lifting means therefor
E04G0011240000;Construction of lifting jacks or climbing rods for sliding forms (climbing-type hoisting units in general B66F)
E04G0011260000;the sheathing of which consists of ribbons, endless aprons, or the like, guided by driven rollers
E04G0011280000;Climbing forms, i.e. forms which are not in contact with the poured concrete during lifting from layer to layer
E04G0011300000;which are lifted from layer to layer by turning, tilting, or similar moving upwards about a horizontal axis
E04G0011320000;Tiltable forms or tilting tables for making walls as a whole or in parts . in situ
E04G0011340000;Horizontally-travelling moulds for making walls blockwise or sectionwise (E04G0011260000 takes precedence)..
E04G0011360000;for floors, ceilings, or roofs of plane or curved surfaces
E04G0011380000;for plane ceilings of concrete
E04G0011400000;for coffered or ribbed ceilings
E04G0011420000;with beams of metal or prefabricated concrete
E04G0011440000;with supporting beams for the shuttering used simultaneously as permanent reinforcement of the ribs
E04G0011460000;of hat-like or trough-like shape encasing a rib or the section between two ribs or encasing one rib and its adjacent flat floor or ceiling section
E04G0011480000;Supporting structures for shutterings or frames for floors or roofs (struts E04G0025000000)
E04G0011500000;Girders, beams, or the like as supporting members for forms (members, e.g. consoles, for attachment to the wall E04G0017160000. girders intended to form part of the construction E04C0003020000)
E04G0011520000;of several units arranged one after another
E04G0011540000;of extensible type, with or without adjustable supporting shoes, fishplates, or the like
E04G0011560000;of telescopic type
E04G0013000000;Falsework, forms or shutterings for particular parts of buildings, e.g. stairs, steps, cornices or balconies (moulds for making units for prefabricated buildings or prefabricated stair units B28B0007220000)
E04G0013020000;for columns or like pillars. Special tying or clamping means therefor
E04G0013040000;for lintels, beams, or transoms to be encased separately. Special tying or clamping means therefor (members, e.g. consoles, for attachment to the wall E04G0017160000)
E04G0013060000;for stairs, steps, cornices, balconies, or other parts corbelled out of the wall
E04G0015000000;Forms or shutterings for making openings, cavities, slits, or channels (forming part of shuttering for walls E04G0011060000)
E04G0015020000;for windows, doors, or the like
E04G0015040000;Cores for anchor holes or the like
E04G0015060000;for cavities or channels in walls or floors, e.g. for making chimneys
E04G0017000000;Connecting or other auxiliary members for forms, falsework structures, or shutterings
E04G0017020000;Connecting or fastening means for non-metallic forming or stiffening elements
E04G0017040000;Connecting or fastening means for metallic forming or stiffening elements
E04G0017060000;Tying means. Spacers
E04G0017065000;Tying means, the tensional elements of which are threaded to enable their fastening or tensioning
E04G0017070000;Tying means, the tensional elements of which are fastened or tensioned by means of wedge-shaped members
E04G0017075000;Tying means, the tensional elements of which are fastened or tensioned by other means
E04G0017120000;with arms engaging the forms
E04G0017140000;Bracing or strutting arrangements for formwalls. Devices for aligning forms (E04G0025000000 takes precedence)..
E04G0017160000;Members, e.g. consoles, for attachment to the wall to support girders, beams, or the like carrying forms or moulds for floors, lintels, or transoms
E04G0017180000;Devices for suspending or anchoring form elements to girders placed in ceilings, e.g. hangers
E04G0019000000;Auxiliary treatment of forms, e.g. dismantling. Cleaning devices (lubricating compositions C10M)
E04G0021000000;Preparing, conveying, or working-up building materials or building elements . in situOther devices or measures for constructional work (working stone-like materials B28D. conveying in general B65G. lifting devices B66. measuring instruments G01)
E04G0021020000;Conveying or working-up concrete or similar masses able to be heaped or cast (working concrete in general, e.g. mixing machines, B28C. composition of concrete C04B. construction and surfacing of floorings made of similar material to roads or pavements E01C. in connection with barrages E02B0007000000. in connection with foundations E02D0015000000. in connection with finishing work E04F)
E04G0021040000;Devices for both conveying and distributing (concrete pumps F04)
E04G0021060000;Compacting concrete, e.g. by application of vacuum before hardening (for road building E01C0019000000. devices for compacting also soil E02D0003020000)
E04G0021080000;Internal vibrators
E04G0021100000;Devices for levelling, e.g. templates or boards (smoothing tools E04F0021160000, E04F0021240000)
E04G0021120000;Mounting of reinforcing inserts. Prestressing (shell tubes for prestressing members E04C0005100000. anchoring means E04C0005120000. connections of reinforcing elements and spacers E04C0005160000)
E04G0021140000;Conveying or assembling building elements (roofing E04D. finishing work E04F)
E04G0021160000;Tools or apparatus (devices for erecting fences E04H0017260000)
E04G0021180000;Adjusting tools. Templates
E04G0021200000;for applying mortar
E04G0021220000;for setting building elements with mortar, e.g. brick-laying machines
E04G0021240000;Safety or protective measures preventing damage to building parts or finishing work during construction (as auxiliary structures for scaffolds E04G0005000000)
E04G0021260000;Strutting means for wall parts. Supports or the like, e.g. for holding in position prefabricated walls (E04G0025000000 takes precedence.on existing buildings E04G0023040000)
E04G0021280000;against unfavourable weather influence
E04G0021300000;against mechanical damage or dirt, e.g. guard covers of stairs
E04G0021320000;Safety or protective measures for persons during the construction of buildings (related to scaffolds E04G0005000000. ropes or belts for life-saving A62B0001160000, A62B0035000000. climbing tools, e.g. climbing irons for masts, A63B0027000000)
E04G0023000000;Working measures on existing buildings (on foundations E02D0035000000, E02D0037000000. in connection with insulations E04B. subsequent or finishing work E04F)
E04G0023020000;Repairing, e.g. filling cracks. Restoring. Altering. Enlarging
E04G0023030000;specially adapted for roofs, e.g. to fit out attics
E04G0023040000;Propping of endangered or damaged buildings or building parts, e.g. with respect to air-raid action (struts E04G0025000000)
E04G0023060000;Separating, lifting, removing of buildings. Making a new sub-structure
E04G0023080000;Wrecking of buildings (dismantling bridges E01D0024000000)
E04G0025000000;Shores or struts (specially designed for use in mines E21D0015000000). Chocks
E04G0025020000;non-telescopic
E04G0025040000;telescopic
E04G0025060000;with parts held together by positive means
E04G0025080000;with parts held relatively to each other by friction or gripping
E04G0027000000;Temporary arrangements for giving access from one level to another for men or vehicles, e.g. steps, ramps (as parts or accessories for scaffolds E04G0005000000. gangways B63. lifts B66. landing bridges E01D0015240000. permanent stairways or ramps E04F0011000000. ladders E06C)
E04H;BUILDINGS OR LIKE STRUCTURES FOR PARTICULAR PURPOSES. SWIMMING OR SPLASH BATHS OR POOLS. MASTS. FENCING. TENTS OR CANOPIES, IN GENERAL (foundations E02D)
E04H0001000000;Buildings or groups of buildings for dwelling or office purposes. General layout, e.g. modular co-ordination, staggered storeys (E04H0003000000 takes precedence.buildings for two or more purposes, drive-in buildings E04H0014000000. building construction in general E04B0001000000)
E04H0001020000;Dwelling houses. Buildings for temporary habitation (small erections for limited occupation E04H0001120000)
E04H0001040000;Apartment houses arranged in two or more levels
E04H0001060000;Office buildings. Banks (E04H0001120000 takes precedence.furniture or fittings for shops, storehouses, or the like A47F)
E04H0001120000;Small buildings or other erections for limited occupation, erected in the open air or arranged in buildings, e.g. kiosks, waiting shelters for bus stops or for filling stations, roofs for railway platforms, watchmen's huts, dressing cubicles (movable screens as household equipment A47G0005000000)
E04H0001140000;Telephone cabinets
E04H0003000000;Buildings or groups of buildings for public or similar purposes. Institutions, e.g. infirmaries, prisons (portions of buildings for individual occupation, e.g. cubicles, E04H0001000000. structures covering a large free area E04B0001342000)
E04H0003020000;Hotels. Motels. Coffee-houses. Restaurants. Shops. Department stores
E04H0003040000;Restaurants or shops having arrangements for self-service (paying counters A47F0009020000. furniture or installations specially adapted for supermarkets A47F0010000000. transport aspects B65G. coin-freed apparatus G07F)
E04H0003060000;Museums. Library buildings
E04H0003080000;Hospitals, infirmaries, or the like. Schools. Prisons
E04H0003100000;for meetings, entertainments, or sports
E04H0003120000;Tribunes, grandstands or terraces for spectators (auditoriums E04H0003300000. chairs, stools, benches A47C)
E04H0003140000;Gymnasiums. Other sporting buildings (tribunes E04H0003120000)
E04H0003160000;for swimming (swimming or splash baths or pools E04H0004000000)
E04H0003220000;Theatres. Concert halls. Studios for broadcasting, cinematography, television or similar purposes (drive-in buildings E04H0014000000. equipment for theatres or concert halls A63J)
E04H0003240000;Constructional features of stages
E04H0003260000;Revolving stages. Stages able to be lowered (devices for raising or lowering persons A63J0005120000)
E04H0003280000;Shiftable or portable platforms
E04H0003300000;Constructional features of auditoriums (chairs, stools, benches A47C. building details providing acoustical effects E04B0001990000)
E04H0004000000;Swimming or splash baths or pools (wave-producers for baths A47K0003100000. separation B01D. treatment of water C02F. wave-producing pumps F04D0035000000)
E04H0004020000;formed . in situ
E04H0004040000;prefabricated or composed of prefabricated elements
E04H0004060000;Safety devices. Coverings for baths
E04H0004080000;Coverings consisting of rigid elements
E04H0004100000;Coverings of flexible material
E04H0004120000;Devices or arrangements for circulating water
E04H0004140000;Parts, details or accessories not otherwise provided for
E04H0004160000;specially adapted for cleaning (cleaning devices peculiar to vessels B63B0059000000)
E04H0005000000;Buildings or groups of buildings for industrial or agricultural purposes (building construction in general E04B0001000000)
E04H0005020000;Buildings or groups of buildings for industrial purposes, e.g. for power-plants, factories (buildings forming part of cooling plants E04H0005100000. building structures for parking vehicles E04H0006000000)
E04H0005040000;Transformer houses. Substations or switchgear houses
E04H0005060000;Pits or building structures for inspection or services (manhole shafts or other inspection chambers in general E02D0029120000)
E04H0005080000;Buildings or groups of buildings for agricultural purposes (silos E04H0007220000. manure storage places A01C0003020000. greenhouses A01G0009140000)
E04H0005100000;Buildings forming part of cooling plants
E04H0005120000;Cooling towers (towers in general E04H0012000000. cooling equipment F28)
E04H0006000000;Buildings for parking cars, rolling-stock, aircraft, vessels, or like vehicles, e.g. garages (tents for use as garages E04H0015000000. bicycle stands B62H. storing of vessels on land B63C0015000000. construction of ground-supported surfaces E01C. marking of parking areas on the ground E01F0009000000. building construction in general E04B0001000000)
E04H0006020000;Small garages, e.g. for one or two cars (attached to, or supported by, the vehicle B62D. prefabricated and with undivided interior E04B0001343000)
E04H0006040000;wheeled, hinged, foldable, telescopic, swinging, or otherwise movable (transportable or collapsible buildings in general E04B0001343000)
E04H0006060000;with means for shifting or lifting vehicles
E04H0006080000;Garages for many vehicles
E04H0006100000;without mechanical means for shifting or lifting vehicles, e.g. with helically-arranged fixed ramps, with movable ramps
E04H0006120000;with mechanical means for shifting or lifting vehicles
E04H0006140000;with endless conveyor chains having load-carrying parts moving vertically, e.g. paternoster lifts
E04H0006160000;Garages shaped as a wheel or drum rotatable about a horizontal axis
E04H0006180000;with means for transport in vertical direction only or independently in vertical and horizontal directions (E04H0006140000 takes precedence)..
E04H0006200000;characterised by use of conveyor chains or rotatable rollers for horizontal transport
E04H0006220000;characterised by use of movable platforms for horizontal transport
E04H0006240000;characterised by use of dollies for horizontal transport
E04H0006260000;characterised by use of tiltable floors or floor sections. characterised by use of movable ramps
E04H0006280000;characterised by use of turntables or rotary rings for horizontal transport
E04H0006300000;with means for transport in horizontal direction only
E04H0006320000;characterised by use of conveyor chains or rotatable rollers
E04H0006340000;characterised by use of movable platforms
E04H0006360000;characterised by use of freely-movable dollies
E04H0006380000;characterised by use of tiltable floors or floor sections
E04H0006400000;characterised by use of turntables or rotary rings
E04H0006420000;Devices or arrangements peculiar to garages, not covered elsewhere, e.g. securing devices, safety devices
E04H0006440000;for storing aircraft (structures covering a large free area E04B0001342000)
E04H0007000000;Construction or assembling of bulk storage containers employing civil engineering techniques  in situ or off the site(tower aspects E04H0012000000. storage aspects, e.g. floating roofs, sealing means, filling or discharging means B65D, B65G, F17B, F17C. foundations E02D0027380000)
E04H0007020000;Containers for fluids or gases. Supports therefor (arrangements or adaptations of tanks for water supply E03B0011000000)
E04H0007040000;mainly of metal
E04H0007060000;with vertical axis
E04H0007140000;ball-shaped
E04H0007160000;with horizontal axis
E04H0007180000;mainly of concrete, e.g. reinforced concrete, or other stone-like material
E04H0007200000;Prestressed constructions
E04H0007220000;Containers for fluent solids, e.g. silos or bunkers. Supports therefor
E04H0007240000;Constructions, with or without perforated walls, depending on the use of specified materials
E04H0007260000;mainly of concrete, e.g. reinforced concrete, or other stone-like material
E04H0007280000;composed of special building elements
E04H0007300000;mainly of metal
E04H0007320000;mainly of wood
E04H0009000000;Buildings, groups of buildings, or shelters, adapted to withstand or provide protection against, abnormal external influences, e.g. war-like action, earthquake, extreme climate (floating buildings B63B. foundation aspects E02D. building constructions in general E04B. bearings or like supports allowing movement E04B0001360000. special details regarding insulation or other protection E04B0001620000. supporting structures for endangered or damaged existing buildings or parts thereof E04G0023040000. doors, windows E06B0005000000. air-conditioning, ventilation F24F. camouflage F41H0003000000. cells or rooms shielded against dangerous radiation G21F0007000000)
E04H0009020000;withstanding earthquake or sinking of ground (foundations E02D0027340000)
E04H0009040000;against air-raid or other war-like actions (respiratory apparatus A62B)
E04H0009060000;Structures arranged in, or forming part of, buildings
E04H0009080000;Structures arranged underneath buildings, e.g. air-raid shelters
E04H0009100000;Independent shelters. Arrangement of independent splinter-proof walls
E04H0009120000;entirely underneath the level of the ground, e.g. air-raid galleries (tunnels, galleries E21D)
E04H0009140000;against other dangerous influences, e.g. tornadoes, floods
E04H0009160000;against adverse conditions, e.g. extreme climate, pests
E04H0012000000;Towers. Masts, poles. Chimney stacks. Water-towers. Methods of erecting such structures (cooling towers E04H0005120000. supports for road signs E01F0009011000. foundation piles E02D0005220000. foundations for masts, poles, or chimneys E02D0027420000. structural elongated members in general E04C0003000000. fixed climbing irons E06C0009040000. derricks for oil drilling E21B0015000000)
E04H0012020000;Structures made of specified materials (E04H0012160000, E04H0012180000 take precedence)..
E04H0012040000;of wood
E04H0012060000;Truss-like structures
E04H0012080000;of metal
E04H0012100000;Truss-like structures
E04H0012120000;of concrete or other stone-like material, with or without internal or external reinforcement, e.g. with metal coverings, with permanent form elements
E04H0012140000;Truss-like structures
E04H0012160000;Prestressed structures
E04H0012180000;movable or with movable sections, e.g. rotatable, telescopic (rotary buildings E04B0001346000)
E04H0012200000;Side-supporting means therefor, e.g. using guy ropes, struts (ground anchors E02D0005800000. fastening means for cables or ropes F16G0011000000)
E04H0012220000;Sockets or holders for poles or posts
E04H0012240000;Cross-arms
E04H0012260000;Winding towers for mines (elevators B66B)
E04H0012280000;Chimney stacks, e.g. free-standing, or similar ducts (foundations E02D0027420000. chimneys as part of buildings E04F0017020000. connections between furnace and smoke stack, chimney equipment F23J)
E04H0012300000;Water-towers (tanks B65D0088000000. use of high-level tanks E03B0011120000)
E04H0012320000;Flagpoles (flags, banners, mountings therefor G09F0017000000)
E04H0012340000;Arrangements for erecting or lowering towers, masts, poles, chimney stacks, or the like
E04H0013000000;Monuments. Tombs. Burial vaults. Columbaria (sculpture or other artistic features B44)
E04H0014000000;Buildings for combinations of different purposes not covered by any single one of main groups  E04H0001000000-E04H0013000000.  of this subclass, e.g. for double purpose(E04H0003020000, E04H0009060000 take precedence)..Buildings of the drive-in type
E04H0015000000;Tents or canopies, in general
E04H0015020000;Tents combined or specially associated with other devices
E04H0015040000;suspended type, e.g. from trees, from cantilever supports (supporting frames E04H0015340000)
E04H0015060000;Tents at least partially supported by vehicles
E04H0015080000;Trailer awnings or the like
E04H0015100000;Heating, lighting, or ventilating (for heating, lighting, or ventilating devices per se, see the relevant classes, e.g. F21, F24)
E04H0015120000;Heating
E04H0015140000;Ventilating
E04H0015160000;of tent roofs
E04H0015180000;Tents having plural sectional covers, e.g. pavilions, vaulted tents, marquees, circus tents (inflatable E04H0015200000). Plural tents, e.g. modular
E04H0015200000;inflatable, e.g. shaped, strengthened, or supported by fluid pressure (connection of valves to inflatable elastic bodies B60C0029000000. inflatable forms for making walls, floors, ceilings or roofs in situE04G0011040000)
E04H0015220000;supported by air pressure inside the tent
E04H0015240000;cone shaped, e.g. teepees
E04H0015260000;Center-pole supported tents (umbrella type E04H0015280000)
E04H0015280000;Umbrella type tents
E04H0015300000;convertible, e.g. from one type tent to another type tent, from tent to canopy, from tent cover into diverse article (sacks or packs convertible into tents A45F0004040000. coats or capes convertible into tent coverings A45F0004140000)
E04H0015320000;Parts, components, construction details, accessories, interior equipment, specially adapted for tents, e.g. guy-line equipment, skirts, thresholds
E04H0015340000;Supporting means, e.g. frames
E04H0015360000;arch-shaped type (E04H0015420000 takes precedence)..
E04H0015380000;expansible, e.g. extensible
E04H0015400000;flexible
E04H0015420000;external type, e.g. frame outside of cover
E04H0015440000;collapsible, e.g. breakdown type (E04H0015420000 takes precedence.building structures having collapsible parts in general E04B0001343000)
E04H0015460000;telescoping and foldable
E04H0015480000;foldable, i.e. having pivoted or hinged means (E04H0015460000 takes precedence)..
E04H0015500000;lazy-tongs type
E04H0015520000;parallelogram type
E04H0015540000;Covers of tents or canopies (ventilated tent roofs E04H0015160000)
E04H0015560000;Floors
E04H0015580000;Closures. Awnings. Sunshades
E04H0015600000;Poles
E04H0015620000;Pegs, stakes or the like
E04H0015640000;Tent or canopy cover fastenings
E04H0017000000;Fencing, e.g. fences, enclosures, corrals (features peculiar to electrified fences A01K0003000000, H05C. means for allowing passage through fences, barriers, or the like E06B0011000000)
E04H0017020000;Wire fencing, e.g. made of wire mesh (E04H0017140000 takes precedence.working or processing of wire B21F, e.g. making wire nets B21F0027000000)
E04H0017040000;characterised by the use of specially adapted wire, e.g. barbed wire
E04H0017060000;Parts for wire fences
E04H0017080000;Anchoring means therefor, e.g. specially-shaped parts entering the ground. Struts or the like (for towers or masts E04H0012200000. sockets for posts E04H0012220000)
E04H0017100000;characterised by the way of connecting wire to the posts. Droppers
E04H0017120000;the wire being placed in slots, grooves, or the like
E04H0017140000;Fences constructed of rigid elements, e.g. with additional wire fillings or with posts
E04H0017160000;using prefabricated panel-like elements, e.g. wired frames
E04H0017180000;Corrals, i.e. easily transportable or demountable enclosures
E04H0017200000;Posts therefor
E04H0017220000;Anchoring means therefor, e.g. specially-shaped parts entering the ground. Struts or the like (for towers or masts E04H0012200000. sockets for posts E04H0012220000)
E04H0017240000;Connections for attaching additional wire to frames, posts or railings
E04H0017260000;Devices for erecting or removing fences
E05;LOCKS. KEYS. WINDOW OR DOOR FITTINGS. SAFES
E05B;LOCKS. ACCESSORIES THEREFOR. HANDCUFFS
E05B0001000000;Details or accessories of locks or the like. Keys
E05B0001000000;Knobs or handles for wings (for furniture A47B0095020000). Knobs, handles, or press buttons for locks or latches on wings (E05B0005000000, E05B0007000000 take precedence)..
E05B0001020000;of solid material
E05B0001040000;with inner rigid member and outer cover or covers
E05B0001060000;of sheet material
E05B0003000000;Fastening handles to lock or latch parts
E05B0003020000;Fastening handles to the spindle by pinning or riveting
E05B0003040000;Fastening the handle shank to the spindle by screws, springs, or snap bolts
E05B0003060000;by means arranged in or on the rose
E05B0003080000;Fastening the spindle to the follower
E05B0003100000;by a bipartite or cleft spindle in the follower or in the handle shank
E05B0005000000;Handles completely let into the surface of the wing
E05B0005020000;able to be turned outwards before operation
E05B0005040000;able to be shifted parallel to the wing after being pulled out
E05B0007000000;Handles pivoted about an axis parallel to the wing (E05B0005000000 takes precedence)..
E05B0009000000;Lock casings or latch-mechanism casings (padlock casings E05B0067020000. for vehicles E05B0079040000, E05B0085020000)
E05B0009020000;of latch-bolt locks
E05B0009040000;of cylinder locks
E05B0009060000;Fastening together the parts of casings
E05B0009080000;Fastening the casings of latch-bolt locks or cylinder locks to the wing
E05B0009100000;Coupling devices for the two halves of double cylinder locks
E05B0011000000;Devices preventing keys from being removed from the lock
E05B0011020000;before the wing is locked
E05B0011040000;before the wing is closed
E05B0011060000;for catching skeleton or incorrect keys
E05B0013000000;Devices preventing the key or the handle or both from being used
E05B0013020000;shaped as sectors of escutcheons, arranged in the keyhole
E05B0013040000;shaped as fork-like implements grasping and fixing the key
E05B0013060000;shaped as bolt detents arranged in the path of motion of the key bit
E05B0013080000;formed by longitudinal bolt or cross-bar connecting the handle with a stationary lock part or fitting
E05B0013100000;formed by a lock arranged in the handle
E05B0015000000;Other details of locks. Parts for engagement by bolts of fastening devices (fastening devices for wings other than locks or associated with locks E05C)
E05B0015020000;Striking-plates. Keepers. Bolt staples. Escutcheons
E05B0015040000;Spring arrangements in locks
E05B0015060000;Lock wards
E05B0015080000;Key guides. Key pins
E05B0015100000;Bolts of locks or night latches
E05B0015120000;Pins or detents for locking bolts
E05B0015140000;Tumblers
E05B0015160000;Use of special materials for parts of locks (for handles E05B0001000000)
E05B0017000000;Accessories in connection with locks (locks with indicating or timing devices E05B0039000000-E05B0045000000. buffers E05F0005000000. means for preventing rattling of wings E05F0007040000. means for taking the weight of the wing E05F0007060000)
E05B0017020000;Coupling devices for double doors, i.e. two doors one behind the other and hinged on the same side
E05B0017040000;Devices for coupling the turning cylinder of a single or double cylinder lock with the bolt-operating member
E05B0017060000;Templates for marking the position of apertures in fittings of wings
E05B0017080000;Lubricating devices
E05B0017100000;Illuminating devices on, or for, locks or keys
E05B0017120000;Devices for removing keys stuck in the lock
E05B0017140000;Closures or guards for keyholes
E05B0017160000;shaped as pins or key bits
E05B0017180000;shaped as lids or slides
E05B0017200000;Means independent of the locking mechanism for preventing unauthorised opening, e.g. for securing the bolt in the fastening position (pins or detents E05B0015120000)
E05B0017220000;Means for operating or controlling lock or fastening device accessories, i.e. other than the fastening members, e.g. switches, indicators
E05B0019000000;Keys. Accessories therefor (making keys, see the relevant places, e.g. B21D0053420000. milling grooves in keys B23C0003350000)
E05B0019020000;Construction of the shank of the key
E05B0019040000;Construction of the bow of the key. Construction of flat keys
E05B0019060000;Key bits. Flat key bits
E05B0019080000;Special forms of key bits, e.g. double key bits, folding key bits
E05B0019100000;Fastening the key bit and bow on the shank of the key
E05B0019120000;Keys with several bits moving relatively to each other when in use
E05B0019140000;Double keys
E05B0019160000;Extremely thin keys acting without rotation
E05B0019180000;Keys adjustable before use
E05B0019200000;Skeleton keys. Devices for picking locks. Other devices for similar purposes
E05B0019220000;Keys with devices for indicating whether the last operation was locking or unlocking
E05B0019240000;Key-distinguishing marks
E05B0019260000;Use of special materials for keys
E05B0021000000;Locks with rotary keys moving lamelliform tumblers perpendicular to the key
E05B0021000000;Locks with rotary keys moving lamelliform tumblers perpendicular to the key, in which the tumblers do not follow the movement of the bolt
E05B0021020000;with identical tumblers
E05B0021040000;with stop pins on the tumbler (E05B0021020000 takes precedence)..
E05B0021060000;Cylinder locks, e.g. protector locks
E05B0023000000;Locks with rotary keys moving lamelliform tumblers perpendicular to the key, in which the tumblers. follow the movement of the bolt
E05B0025000000;Locks with rotary keys moving lamelliform tumblers perpendicular to the key, characterised by the tumblers
E05B0025020000;with tumblers in the cut-out of which the key bit is moved
E05B0025040000;with tumblers in which the stop pin is guided from one locked position to the other in an inclined direction
E05B0025060000;with tumblers in which the stop pin is guided from one locked position to the other along a curved path
E05B0025080000;with tumblers with movable pawls engaging the key
E05B0025100000;with tumblers formed to engage one another to determine their unlocked position
E05B0027000000;Locks of which the tumblers are set by pushing the key in
E05B0027000000;Cylinder locks with tumbler pins or balls that are set by pushing the key in
E05B0027020000;operated by the edge of the key
E05B0027040000;arranged radially in one row
E05B0027060000;arranged radially in more than one row
E05B0027080000;arranged axially
E05B0027100000;operated by other surfaces of the key, e.g. openings receiving projections on the tumblers
