C;SECTION C CHEMISTRY METALLURGY
C07D0471220000;in which the condensed systems contains four or more hetero rings
C07D0473000000;Heterocyclic compounds containing purine ring systems
C07D0473020000;with oxygen, sulfur, or nitrogen atoms directly attached in positions 2 and 6
C07D0473040000;two oxygen atoms
C07D0473060000;with radicals containing only hydrogen and carbon atoms, attached in position 1 or 3
C07D0473080000;with methyl radicals in positions 1 and 3, e.g. theophylline
C07D0473100000;with methyl radicals in positions 3 and 7, e.g. theobromine
C07D0473120000;with methyl radicals in positions 1, 3, and 7, e.g. caffeine
C07D0473140000;with two methyl radicals in positions 1 and 3 and two methyl radicals in positions 7, 8, or 9
C07D0473160000;two nitrogen atoms
C07D0473180000;one oxygen and one nitrogen atom, e.g. guanine
C07D0473200000;two sulfur atoms
C07D0473220000;one oxygen and one sulfur atom
C07D0473240000;one nitrogen and one sulfur atom
C07D0473260000;with an oxygen, sulfur, or nitrogen atom directly attached in position 2 or 6, but not in both
C07D0473280000;Oxygen atom
C07D0473300000;attached in position 6, e.g. hypoxanthine
C07D0473320000;Nitrogen atom
C07D0473340000;attached in position 6, e.g. adenine
C07D0473360000;Sulfur atom
C07D0473380000;attached in position 6
C07D0473400000;with halogen atoms or perhalogeno-alkyl radicals directly attached in position 2 or 6
C07D0475000000;Heterocyclic compounds containing pteridine ring systems
C07D0475020000;with an oxygen atom directly attached in position 4
C07D0475040000;with a nitrogen atom directly attached in position 2
C07D0475060000;with a nitrogen atom directly attached in position 4
C07D0475080000;with a nitrogen atom directly attached in position 2
C07D0475100000;with an aromatic or hetero-aromatic ring directly attached in position 2
C07D0475120000;containing pteridine ring systems condensed with carbocyclic rings or ring systems
C07D0475140000;Benz [g] pteridines, e.g. riboflavin
C07D0477000000;Heterocyclic compounds containing 1-azabicyclo [3.2.0] heptane ring systems, i.e. compounds containing a ring system of the formula: , e.g. carbapenicillins, thienamycinsSuch ring systems being further condensed, e.g. 2,3-condensed with an oxygen-, nitrogen- or sulfur-containing hetero ring
C07D0477020000;Preparation (by microbiological processes C12P0017180000)
C07D0477040000;by forming the ring or condensed ring systems
C07D0477060000;from compounds already containing the ring or condensed ring systems, e.g. by dehydrogenation of the ring, by introduction, elimination or modification of substituents
C07D0477080000;Modification of a carboxyl group directly attached in position 2, e.g. esterification
C07D0477100000;with hydrogen atoms, hydrocarbon or substituted hydrocarbon radicals, directly attached in position 4, and with a carbon atom having three bonds to hetero atoms with at the most one bond to halogen, e.g. an ester or nitrile radical, directly attached in position 2
C07D0477120000;with hydrogen atoms, hydrocarbon or substituted hydrocarbon radicals, attached in position 6
C07D0477140000;with hydrogen atoms, hydrocarbon or substituted hydrocarbon radicals, attached in position 3
C07D0477160000;with hetero atoms or carbon atoms having three bonds to hetero atoms with at the most one bond to halogen, e.g. an ester or nitrile radical, directly attached in position 3
C07D0477180000;Oxygen atoms
C07D0477200000;Sulfur atoms
C07D0477220000;Nitrogen atoms
C07D0477240000;with hetero atoms or carbon atoms having three bonds to hetero atoms with at the most one bond to halogen, e.g. an ester or nitrile radical, directly attached in position 6
C07D0477260000;with hetero atoms or carbon atoms having three bonds to hetero atoms with at the most one bond to halogen, e.g. an ester or nitrile radical, directly attached in position 4
C07D0487000000;Heterocyclic compounds containing nitrogen atoms as the only ring hetero atoms in the condensed system, not provided for by groups . C07D0451000000-C07D0477000000
C07D0487020000;in which the condensed system contains two hetero rings
C07D0487040000;Ortho-condensed systems
C07D0487060000;Peri-condensed systems
C07D0487080000;Bridged systems
C07D0487100000;Spiro-condensed systems
C07D0487120000;in which the condensed system contains three hetero rings
C07D0487140000;Ortho-condensed systems
C07D0487160000;Peri-condensed systems
C07D0487180000;Bridged systems
C07D0487200000;Spiro-condensed systems
C07D0487220000;in which the condensed system contains four or more hetero rings
C07D0489000000;Heterocyclic compounds containing 4aH-8, 9 c- Iminoethano-phenanthro [4, 5-b, c, d] furan ring systems, e.g. derivatives of [4, 5-epoxy]-morphinan of the formula: 
C07D0489020000;with oxygen atoms attached in positions 3 and 6, e.g. morphine, morphinone
C07D0489040000;Salts. Organic complexes
C07D0489060000;with a hetero atom directly attached in position 14
C07D0489080000;Oxygen atom
C07D0489090000;containing 4aH-8, 9 c-Iminoethano- phenanthro [4, 5-b, c, d] furan ring systems condensed with carbocyclic rings or ring systems
C07D0489100000;with a bridge between positions 6 and 14
C07D0489120000;the bridge containing only two carbon atoms
C07D0491000000;Heterocyclic compounds containing in the condensed ring system both one or more rings having oxygen atoms as the only ring hetero atoms and one or more rings having nitrogen atoms as the only ring hetero atoms, not provided for by groups . C07D0451000000-C07D0459000000, C07D0463000000, C07D0477000000.  or C07D0489000000
C07D0491020000;in which the condensed system contains two hetero rings
C07D0491040000;Ortho-condensed systems
C07D0491044000;with only one oxygen atom as ring hetero atom in the oxygen-containing ring
C07D0491048000;the oxygen-containing ring being five-membered
C07D0491052000;the oxygen-containing ring being six-membered
C07D0491056000;with two or more oxygen atoms as ring hetero atoms in the oxygen-containing ring
C07D0491060000;Peri-condensed systems
C07D0491080000;Bridged systems
C07D0491100000;Spiro-condensed systems
C07D0491107000;with only one oxygen atom as ring hetero atom in the oxygen-containing ring
C07D0491113000;with two or more oxygen atoms as ring hetero atoms in the oxygen-containing ring
C07D0491120000;in which the condensed system contains three hetero rings
C07D0491140000;Ortho-condensed systems
C07D0491147000;the condensed system containing one ring with oxygen as ring hetero atom and two rings with nitrogen as ring hetero atom
C07D0491153000;the condensed system containing two rings with oxygen as ring hetero atom and one ring with nitrogen as ring hetero atom
C07D0491160000;Peri-condensed systems
C07D0491180000;Bridged systems
C07D0491200000;Spiro-condensed systems
C07D0491220000;in which the condensed system contains four or more hetero rings
C07D0493000000;Heterocyclic compounds containing oxygen atoms as the only ring hetero atoms in the condensed system
C07D0493020000;in which the condensed system contains two hetero rings
C07D0493040000;Ortho-condensed systems
C07D0493060000;Peri-condensed systems
C07D0493080000;Bridged systems
C07D0493100000;Spiro-condensed systems
C07D0493120000;in which the condensed system contains three hetero rings
C07D0493140000;Ortho-condensed systems
C07D0493160000;Peri-condensed systems
C07D0493180000;Bridged systems
C07D0493200000;Spiro-condensed systems
C07D0493220000;in which the condensed system contains four or more hetero rings
C07D0495000000;Heterocyclic compounds containing in the condensed system at least one hetero ring having sulfur atoms as the only ring hetero atoms
C07D0495020000;in which the condensed system contains two hetero rings
C07D0495040000;Ortho-condensed systems
C07D0495060000;Peri-condensed systems
C07D0495080000;Bridged systems
C07D0495100000;Spiro-condensed systems
C07D0495120000;in which the condensed system contains three hetero rings
C07D0495140000;Ortho-condensed systems
C07D0495160000;Peri-condensed systems
C07D0495180000;Bridged systems
C07D0495200000;Spiro-condensed systems
C07D0495220000;in which the condensed system contains four or more hetero rings
C07D0497000000;Heterocyclic compounds containing in the condensed system at least one hetero ring having oxygen and sulfur atoms as the only ring hetero atoms
C07D0497020000;in which the condensed system contains two hetero rings
C07D0497040000;Ortho-condensed systems
C07D0497060000;Peri-condensed systems
C07D0497080000;Bridged systems
C07D0497100000;Spiro-condensed systems
C07D0497120000;in which the condensed system contains three hetero rings
C07D0497140000;Ortho-condensed systems
C07D0497160000;Peri-condensed systems
C07D0497180000;Bridged systems
C07D0497200000;Spiro-condensed systems
C07D0497220000;in which the condensed system contains four or more hetero rings
C07D0498000000;Heterocyclic compounds containing in the condensed system at least one hetero ring having nitrogen and oxygen atoms as the only ring hetero atoms (4-oxa-1-azabicyclo [3.2.0] heptanes, e.g. oxapenicillins C07D0503000000. 5-oxa-1-azabicyclo [4.2.0] octanes, e.g. oxacephalosporins C07D0505000000. analogues thereof having ring oxygen atoms in other position C07D0507000000)
C07D0498020000;in which the condensed system contains two hetero rings
C07D0498040000;Ortho-condensed systems
C07D0498060000;Peri-condensed systems
C07D0498080000;Bridged systems
C07D0498100000;Spiro-condensed systems
C07D0498120000;in which the condensed system contains three hetero rings
C07D0498140000;Ortho-condensed systems
C07D0498160000;Peri-condensed systems
C07D0498180000;Bridged systems
C07D0498200000;Spiro-condensed systems
C07D0498220000;in which the condensed system contains four or more hetero rings
C07D0499000000;Heterocyclic compounds containing 4-thia-1-azabicyclo [3.2.0] heptane ring systems, i.e. compounds containing a ring system of the formula: , e.g. penicillins, penemsSuch ring systems being further condensed, e.g. 2,3-condensed with an oxygen-, nitrogen- or sulfur-containing hetero ring
C07D0499040000;Preparation
C07D0499060000;by forming the ring or condensed ring systems (by microbiological processes C12P0037000000)
C07D0499080000;Modification of a carboxyl radical directly attached in position 2, e.g. esterification
C07D0499100000;Modification of an amino radical directly attached in position 6
C07D0499120000;Acylation
C07D0499140000;Preparation of salts
C07D0499160000;of alkali or alkaline earth metals
C07D0499180000;Separation. Purification
C07D0499200000;. via salts with organic bases
C07D0499210000;with a nitrogen atom directly attached in position 6 and a carbon atom having three bonds to hetero atoms with at the most one bond to halogen, e.g. an ester or nitrile radical, directly attached in position 2
C07D0499220000;Salts with organic bases. Complexes with organic compounds
C07D0499240000;with acyclic or carbocyclic compounds containing amino radicals
C07D0499260000;with heterocyclic compounds
C07D0499280000;with modified 2-carboxyl group
C07D0499300000;Acid anhydride
C07D0499320000;Esters
C07D0499340000;Thio-acid. Esters thereof
C07D0499360000;. O-esters
C07D0499380000;. S-esters
C07D0499400000;Amides. Hydrazides. Azides
C07D0499420000;Compounds with a free primary amino radical attached in position 6
C07D0499440000;Compounds with an amino radical acylated by carboxylic acids, attached in position 6
C07D0499460000;with acyclic hydrocarbon radicals or such radicals substituted by carbocyclic or heterocyclic rings, attached to the carboxamido radical
C07D0499480000;with a carbon chain, substituted by hetero atoms or by carbon atoms having three bonds to hetero atoms with at the most one bond to halogen, e.g. ester or nitrile radicals, attached to the carboxamido radical
C07D0499500000;substituted in beta-position to the carboxamido radical
C07D0499520000;by oxygen or sulfur atoms
C07D0499540000;by nitrogen atoms
C07D0499560000;by carbon atoms having three bonds to hetero atoms with at the most one bond to halogen
C07D0499580000;substituted in alpha-position to the carboxamido radical
C07D0499600000;by oxygen atoms
C07D0499620000;by sulfur atoms
C07D0499640000;by nitrogen atoms
C07D0499660000;with alicyclic rings as additional substituents on the carbon chain
C07D0499680000;with aromatic rings as additional substituents on the carbon chain
C07D0499700000;with hetero rings as additional substituents on the carbon chain
C07D0499720000;by carbon atoms having three bonds to hetero atoms
C07D0499740000;with carbocyclic rings directly attached to the carboxamido radical
C07D0499760000;with hetero rings directly attached to the carboxamido radical
C07D0499780000;Compounds with an amino radical, acylated by carbonic acid, or by nitrogen or sulfur analogues thereof, attached in position 6
C07D0499800000;Compounds with a nitrogen-containing hetero ring, attached with the ring nitrogen atom in position 6
C07D0499860000;with only atoms other than nitrogen atoms directly attached in position 6 and a carbon atom having three bonds to hetero atoms with at the most one bond to halogen, e.g. an ester or nitrile radical, directly attached in position 2
C07D0499861000;with a hydrocarbon radical or a substituted hydrocarbon radical, directly attached in position 6
C07D0499865000;with hetero atoms or with carbon atoms having three bonds to hetero atoms with at the most one bond to halogen, e.g. an ester or nitrile radical, directly attached in position 6
C07D0499870000;Compounds being unsubstituted in position 3 or with substituents other than only two methyl radicals attached in position 3, and with a carbon atom having three bonds to hetero atoms with at the most one bond to halogen, e.g. an ester or nitrile radical, directly attached in position 2
C07D0499880000;Compounds with a double bond between positions 2 and 3 and a carbon atom having three bonds to hetero atoms with at the most one bond to halogen, e.g. an ester or nitrile radical, directly attached in position 2
C07D0499881000;with a hydrogen atom or an unsubstituted hydrocarbon radical, attached in position 3
C07D0499883000;with a substituted hydrocarbon radical attached in position 3
C07D0499887000;with a hetero atom or a carbon atom having three bonds to hetero atoms with at the most one bond to halogen, e.g. an ester or nitrile radical, directly attached in position 3
C07D0499893000;with a hetero ring or a condensed hetero ring system, directly attached in position 3
C07D0499897000;Compounds with substituents other than a carbon atom having three bonds to hetero atoms with at the most one bond to halogen, directly attached in position 2
C07D0499900000;further condensed with carbocyclic rings or ring systems
C07D0501000000;Heterocyclic compounds containing 5-thia-1-azabicyclo [4.2.0] octane ring systems, i.e. compounds containing a ring system of the formula: , e.g. cephalosporinsSuch ring systems being further condensed, e.g. 2,3-condensed with an oxygen-, nitrogen- or sulfur-containing hetero ring
C07D0501020000;Preparation
C07D0501040000;from compounds already containing the ring or condensed ring systems, e.g. by dehydrogenation of the ring, by introduction, elimination or modification of substituents
C07D0501060000;Acylation of 7-aminocephalosporanic acid
C07D0501080000;by forming the ring or condensed ring systems (by microbiological processes C12P0035000000)
C07D0501100000;from compounds containing the penicillin ring system
C07D0501120000;Separation. Purification
C07D0501140000;Compounds having a nitrogen atom directly attached in position 7
C07D0501160000;with a double bond between positions 2 and 3
C07D0501180000;7-Aminocephalosporanic or substituted 7-aminocephalosporanic acids
C07D0501200000;7-Acylaminocephalosporanic or substituted 7-acylaminocephalosporanic acids in which the acyl radicals are derived from carboxylic acids
C07D0501220000;with radicals containing only hydrogen and carbon atoms, attached in position 3
C07D0501240000;with hydrocarbon radicals, substituted by hetero atoms or hetero rings, attached in position 3
C07D0501260000;Methylene radicals, substituted by oxygen atoms. Lactones thereof with the 2-carboxyl group
C07D0501280000;with the 7-amino radical acylated by an aliphatic carboxylic acid, which is substituted by hetero atoms
C07D0501300000;with the 7-amino-radical acylated by an araliphatic carboxylic acid
C07D0501320000;with the 7-amino radical acylated by an araliphatic carboxylic acid, which is substituted on the aliphatic radical by hetero atoms
C07D0501340000;with the 7-amino radical acylated by carboxylic acids containing hetero rings
C07D0501360000;Methylene radicals, substituted by sulfur atoms
C07D0501380000;Methylene radicals, substituted by nitrogen atoms. Lactams thereof with the 2-carboxyl group. Methylene radicals substituted by nitrogen-containing hetero rings attached by the ring nitrogen atom. Quaternary compounds thereof
C07D0501400000;with the 7-amino radical acylated by an aliphatic carboxylic acid, which is substituted by hetero atoms
C07D0501420000;with the 7-amino radical acylated by an araliphatic carboxylic acid
C07D0501440000;with the 7-amino radical acylated by an araliphatic carboxylic acid, which is substituted on the aliphatic radical by hetero atoms
C07D0501460000;with the 7-amino radical acylated by carboxylic acids containing hetero rings
C07D0501480000;Methylene radicals, substituted by hetero rings (C07D0501380000-C07D0501460000.  take precedence)..
C07D0501500000;with the 7-amino radical acylated by an aliphatic carboxylic acid, which is substituted by hetero atoms
C07D0501520000;with the 7-amino radical acylated by an araliphatic carboxylic acid
C07D0501540000;with the 7-amino radical acylated by an araliphatic carboxylic acid, which is substituted on the aliphatic radical by hetero atoms
C07D0501560000;with the 7-amino radical acylated by carboxylic acids containing hetero rings
C07D0501570000;with a further substituent in position 7, e.g. cephamycines
C07D0501580000;with a nitrogen atom, which is a member of a hetero ring, attached in position 7
C07D0501590000;with hetero atoms directly attached in position 3
C07D0501600000;with a double bond between positions 3 and 4
C07D0501620000;Compounds further condensed with a carbocyclic ring or ring system
C07D0503000000;Heterocyclic compounds containing 4-oxa-1-azabicyclo [3.2.0] heptane ring systems, i.e. compounds containing a ring system of the formula: , e.g. oxapenicillins, clavulanic acid derivativesSuch ring systems being further condensed, e.g. 2,3-condensed with an oxygen-, nitrogen- or sulfur-containing hetero ring
C07D0503020000;Preparation (by microbiological processes C12P0017180000)
C07D0503040000;by forming the ring or condensed ring systems
C07D0503060000;from compounds already containing the ring or condensed ring systems, e.g. by dehydrogenation of the ring, by introduction, elimination or modification of substituents
C07D0503080000;Modification of a carboxyl group directly attached in position 2, e.g. esterification
C07D0503100000;with a carbon atom having three bonds to hetero atoms with at the most one bond to halogen, e.g. an ester or nitrile radical, directly attached in position 2
C07D0503120000;unsubstituted in position 6
C07D0503140000;with hydrogen atoms, hydrocarbon or substituted hydrocarbon radicals, other than a carbon atom having three bonds to hetero atoms with at the most one bond to halogen, attached in position 3
C07D0503160000;Radicals substituted by hetero atoms or by carbon atoms having three bonds to hetero atoms with at the most one bond to halogen, e.g. an ester or nitrile radical
C07D0503180000;by oxygen atoms
C07D0503200000;by sulfur atoms
C07D0503220000;by nitrogen atoms
C07D0505000000;Heterocyclic compounds containing 5-oxa-1-azabicyclo [4.2.0] octane ring systems, i.e. compounds containing a ring system of the formula: , e.g. oxacephalosporinsSuch ring systems being further condensed, e.g. 2,3-condensed with an oxygen-, nitrogen- or sulfur-containing hetero ring
C07D0505020000;Preparation (by microbiological processes C12P0017180000)
C07D0505040000;by forming the ring or condensed ring systems
C07D0505060000;from compounds already containing the ring or condensed ring systems, e.g. by dehydrogenation of the ring, by introduction, elimination or modification of substituents
C07D0505080000;Modification of a carboxyl group directly attached in position 2, e.g. esterification
C07D0505100000;with a carbon atom having three bonds to hetero atoms with at the most one bond to halogen, e.g. an ester or nitrile radical, directly attached in position 2
C07D0505120000;substituted in position 7
C07D0505140000;with hetero atoms directly attached in position 7
C07D0505160000;Nitrogen atoms
C07D0505180000;further acylated by radicals derived from carboxylic acids or by nitrogen or sulfur analogues thereof
C07D0505200000;with the acylating radicals further substituted by hetero atoms or by carbon atoms having three bonds to hetero atoms with at the most one bond to halogen
C07D0505220000;further substituted by singly-bound nitrogen atoms
C07D0505240000;further substituted by doubly-bound nitrogen atoms
C07D0507000000;Heterocyclic compounds containing a condensed beta-lactam ring system, not provided for by groups . C07D0463000000, C07D0477000000.  or C07D0499000000-C07D0505000000. Such ring systems being further condensed
C07D0507020000;containing 3-oxa-1-azabicyclo [3.2.0] heptane ring systems
C07D0507040000;containing 2-oxa-1-azabicyclo [4.2.0] octane ring systems
C07D0507060000;containing 3-oxa-1-azabicyclo [4.2.0] octane ring systems
C07D0507080000;containing 4-oxa-1-azabicyclo [4.2.0] octane ring systems
C07D0513000000;Heterocyclic compounds containing in the condensed system at least one hetero ring having nitrogen and sulfur atoms as the only ring hetero atoms, not provided for in groups . C07D0463000000, C07D0477000000.  or C07D0499000000-C07D0507000000
C07D0513020000;in which the condensed system contains two hetero rings
C07D0513040000;Ortho-condensed systems
C07D0513060000;Peri-condensed systems
C07D0513080000;Bridged systems
C07D0513100000;Spiro-condensed systems
C07D0513120000;in which the condensed system contains three hetero rings
C07D0513140000;Ortho-condensed systems
C07D0513160000;Peri-condensed systems
C07D0513180000;Bridged systems
C07D0513200000;Spiro-condensed systems
C07D0513220000;in which the condensed system contains four or more hetero rings
C07D0515000000;Heterocyclic compounds containing in the condensed system at least one hetero ring having nitrogen, oxygen, and sulfur atoms as the only ring hetero atoms, not provided for in groups . C07D0463000000, C07D0477000000.  or C07D0499000000-C07D0507000000
C07D0515020000;in which the condensed system contains two hetero rings
C07D0515040000;Ortho-condensed systems
C07D0515060000;Peri-condensed systems
C07D0515080000;Bridged systems
C07D0515100000;Spiro-condensed systems
C07D0515120000;in which the condensed system contains three hetero rings
C07D0515140000;Ortho-condensed systems
C07D0515160000;Peri-condensed systems
C07D0515180000;Bridged systems
C07D0515200000;Spiro-condensed systems
C07D0515220000;in which the condensed system contains four or more hetero rings
C07D0517000000;Heterocyclic compounds containing in the condensed system at least one hetero ring having selenium, tellurium, or halogen atoms as ring hetero atoms
C07D0517020000;in which the condensed system contains two hetero rings
C07D0517040000;Ortho-condensed systems
C07D0517060000;Peri-condensed systems
C07D0517080000;Bridged systems
C07D0517100000;Spiro-condensed systems
C07D0517120000;in which the condensed system contains three hetero rings
C07D0517140000;Ortho-condensed systems
C07D0517160000;Peri-condensed systems
C07D0517180000;Bridged systems
C07D0517200000;Spiro-condensed systems
C07D0517220000;in which the condensed system contains four or more hetero rings
C07D0519000000;Heterocyclic compounds containing more than one system of two or more relevant hetero rings condensed among themselves or condensed with a common carbocyclic ring system not provided for in groups . C07D0453000000.  or C07D0455000000
C07D0519020000;Ergot alkaloids of the cyclic peptide type
C07D0519040000;Dimeric indole alkaloids, e.g. vincaleucoblastine
C07D0519060000;containing at least one condensed beta-lactam ring system, provided for by groups . C07D0463000000, C07D0477000000.  or C07D0499000000-C07D0507000000, e.g. a penem or a cepham system
C07D0521000000;Heterocyclic compounds containing unspecified hetero rings
C07F;ACYCLIC, CARBOCYCLIC, OR HETEROCYCLIC COMPOUNDS CONTAINING ELEMENTS OTHER THAN CARBON, HYDROGEN, HALOGEN, OXYGEN, NITROGEN, SULFUR, SELENIUM OR TELLURIUM (metal-containing porphyrins C07D0487220000. macromolecular compounds C08)
C07F0001000000;Compounds containing elements of Groups 1 or 11 of the Periodic System
C07F0001020000;Lithium compounds
C07F0001040000;Sodium compounds
C07F0001060000;Potassium compounds
C07F0001080000;Copper compounds
C07F0001100000;Silver compounds
C07F0001120000;Gold compounds
C07F0003000000;Compounds containing elements of Groups 2 or 12 of the Periodic System
C07F0003020000;Magnesium compounds
C07F0003040000;Calcium compounds
C07F0003060000;Zinc compounds
C07F0003080000;Cadmium compounds
C07F0003100000;Mercury compounds
C07F0003120000;Aromatic substances containing mercury
C07F0003140000;Heterocyclic substances containing mercury
C07F0005000000;Compounds containing elements of Groups 3 or 13 of the Periodic System
C07F0005020000;Boron compounds
C07F0005040000;Esters of boric acids
C07F0005050000;Cyclic compounds having at least one ring containing boron but no carbon in the ring
C07F0005060000;Aluminium compounds
C07F0007000000;Compounds containing elements of Groups 4 or 14 of the Periodic System
C07F0007020000;Silicon compounds
C07F0007040000;Esters of silicic acids
C07F0007060000;with hydroxyaryl compounds
C07F0007070000;Cyclic esters
C07F0007080000;Compounds having one or more C. Si linkages
C07F0007100000;containing nitrogen
C07F0007120000;Organo silicon halides
C07F0007140000;Preparation thereof from halogenated silanes and hydrocarbons
C07F0007160000;Preparation thereof from silicon and halogenated hydrocarbons
C07F0007180000;Compounds having one or more C. Si linkages as well as one or more COSi linkages
C07F0007200000;Purification. Separation
C07F0007210000;Cyclic compounds having at least one ring containing silicon but no carbon in the ring
C07F0007220000;Tin compounds
C07F0007240000;Lead compounds
C07F0007260000;Tetra-alkyl lead compounds
C07F0007280000;Titanium compounds
C07F0007300000;Germanium compounds
C07F0009000000;Compounds containing elements of Groups 5 or 15 of the Periodic System
C07F0009020000;Phosphorus compounds
C07F0009040000;Reaction products of phosphorus sulfur compounds with hydrocarbons
C07F0009060000;without P. C bonds
C07F0009080000;Esters of oxyacids of phosphorus
C07F0009090000;Esters of phosphoric acids
C07F0009100000;Phosphatides, e.g. lecithin
C07F0009110000;with hydroxyalkyl compounds without further substituents on alkyl
C07F0009113000;with unsaturated acyclic alcohols
C07F0009117000;with cycloaliphatic alcohols
C07F0009120000;with hydroxyaryl compounds
C07F0009140000;containing P-halide groups
C07F0009141000;Esters of phosphorous acids
C07F0009142000;with hydroxyalkyl compounds without further substituents on alkyl
C07F0009143000;with unsaturated acyclic alcohols
C07F0009144000;with cycloaliphatic alcohols
C07F0009145000;with hydroxyaryl compounds
C07F0009146000;containing P-halide groups
C07F0009160000;Esters of thiophosphoric acids or thiophosphorous acids
C07F0009165000;Esters of thiophosphoric acids
C07F0009170000;with hydroxyalkyl compounds without further substituents on alkyl
C07F0009173000;with unsaturated acyclic alcohols
C07F0009177000;with cycloaliphatic alcohols
C07F0009180000;with hydroxyaryl compounds
C07F0009200000;containing P-halide groups
C07F0009201000;Esters of thiophosphorous acids
C07F0009202000;with hydroxyalkyl compounds without further substituents on alkyl
C07F0009203000;with unsaturated acyclic alcohols
C07F0009204000;with cycloaliphatic alcohols
C07F0009205000;with hydroxyaryl compounds
C07F0009206000;containing P-halide groups
C07F0009220000;Amides of acids of phosphorus
C07F0009240000;Esteramides
C07F0009260000;containing P-halide groups
C07F0009280000;with one or more P. C bonds
C07F0009300000;Phosphinic acids (R. 2P(:O)OH)Thiophosphinic acids
C07F0009320000;Esters thereof
C07F0009340000;Halides thereof
C07F0009360000;Amides thereof
C07F0009380000;Phosphonic acids (R. P(:O)(OH)2)Thiophosphonic acids
C07F0009400000;Esters thereof
C07F0009420000;Halides thereof
C07F0009440000;Amides thereof
C07F0009460000;Phosphinous acids (R. 2POH)Thiophosphinous acids
C07F0009480000;Phosphonous acids (R. P (OH)2)Thiophosphonous acids
C07F0009500000;Organo-phosphines
C07F0009520000;Halophosphines
C07F0009530000;Organo-phosphine oxides. Organo-phosphine sulfides
C07F0009535000;Organo-phosphoranes
C07F0009540000;Quaternary phosphonium compounds
C07F0009547000;Heterocyclic compounds, e.g. containing phosphorus as a ring hetero atom
C07F0009553000;having one nitrogen atom as the only ring hetero atom
C07F0009564000;Three-membered rings
C07F0009568000;Four-membered rings
C07F0009572000;Five-membered rings
C07F0009576000;Six-membered rings
C07F0009580000;Pyridine rings
C07F0009590000;Hydrogenated pyridine rings
C07F0009600000;Quinoline or hydrogenated quinoline ring systems
C07F0009620000;Isoquinoline or hydrogenated isoquinoline ring systems
C07F0009640000;Acridine or hydrogenated acridine ring systems
C07F0009645000;having two nitrogen atoms as the only ring hetero atoms
C07F0009650300;Five-membered rings
C07F0009650600;having the nitrogen atoms in positions 1 and 3
C07F0009650900;Six-membered rings
C07F0009651200;having the nitrogen atoms in positions 1 and 3
C07F0009651500;having three nitrogen atoms as the only ring hetero atoms
C07F0009651800;Five-membered rings
C07F0009652100;Six-membered rings
C07F0009652400;having four or more nitrogen atoms as the only ring hetero atoms
C07F0009652700;having nitrogen and oxygen atoms as the only ring hetero atoms
C07F0009653000;Five-membered rings
C07F0009653300;Six-membered rings
C07F0009653600;having nitrogen and sulfur atoms with or without oxygen atoms, as the only ring hetero atoms
C07F0009653900;Five-membered rings
C07F0009654100;condensed with carbocyclic rings or ring systems
C07F0009654400;Six-membered rings
C07F0009654700;condensed with carbocyclic rings or ring systems
C07F0009655000;having oxygen atoms, with or without sulfur, selenium, or tellurium atoms, as the only ring hetero atoms
C07F0009655300;having sulfur atoms, with or without selenium or tellurium atoms, as the only ring hetero atoms
C07F0009655800;containing at least two different or differently substituted hetero rings neither condensed among themselves nor condensed with a common carbocyclic ring or ring system
C07F0009656100;containing systems of two or more relevant hetero rings condensed among themselves or condensed with a common carbocyclic ring or ring system, with or without other non-condensed hetero rings
C07F0009656400;having phosphorus atoms, with or without nitrogen, oxygen, sulfur, selenium or tellurium atoms, as ring hetero atoms
C07F0009656800;having phosphorus atoms as the only ring hetero atoms
C07F0009657100;having phosphorus and oxygen atoms as the only ring hetero atoms
C07F0009657400;Esters of oxyacids of phosphorus
C07F0009657800;having phosphorus and sulfur atoms with or without oxygen atoms, as ring hetero atoms
C07F0009658100;having phosphorus and nitrogen atoms with or without oxygen or sulfur atoms, as ring hetero atoms
C07F0009658400;having one phosphorus atom as ring hetero atom
C07F0009658700;having two phosphorus atoms as ring hetero atoms
C07F0009659000;having three phosphorus atoms as ring hetero atoms
C07F0009659300;1,3,5-Triaza-2,4,6-triphosphorines
C07F0009659600;having atoms other than oxygen, sulfur, selenium, tellurium, nitrogen or phosphorus as ring hetero atoms
C07F0009660000;Arsenic compounds
C07F0009680000;without As. C bonds
C07F0009700000;Organo-arsenic compounds
C07F0009720000;Aliphatic compounds
C07F0009740000;Aromatic compounds
C07F0009760000;containing hydroxyl groups
C07F0009780000;containing amino groups
C07F0009800000;Heterocyclic compounds
C07F0009820000;Arsenic compounds containing one or more pyridine rings
C07F0009840000;Arsenic compounds containing one or more quinoline ring systems
C07F0009860000;Arsenic compounds containing one or more isoquinoline ring systems
C07F0009880000;Arsenic compounds containing one or more acridine ring systems
C07F0009900000;Antimony compounds
C07F0009920000;Aromatic compounds
C07F0009940000;Bismuth compounds
C07F0011000000;Compounds containing elements of Groups 6 or 16 of the Periodic System
C07F0013000000;Compounds containing elements of Groups 7 or 17 of the Periodic System
C07F0015000000;Compounds containing elements of Groups 8, 9, 10 or 18 of the Periodic System
C07F0015020000;Iron compounds
C07F0015030000;Sideramines. The corresponding desferri compounds
C07F0015040000;Nickel compounds
C07F0015060000;Cobalt compounds
C07F0017000000;Metallocenes
C07F0017020000;of metals of Groups 8, 9 or 10 of the Periodic System
C07F0019000000;Metal compounds according to more than one of main groups . C07F0001000000-C07F0017000000
