H;SECTION H ELECTRICITY
H02B0013035000;Gas-insulated switchgear
H02B0013045000;Details of casing, e.g. gas tightness (gas reservoirs for switches H01H0033560000)
H02B0013055000;Features relating to the gas (selection of fluids for switches H01H0033220000)
H02B0013065000;Means for detecting or reacting to mechanical or electrical defects (for switches H01H0009500000, H01H0033260000, H01H0033530000)
H02B0013075000;Earthing arrangements
H02B0013080000;with stone, brick, or concrete casing
H02B0015000000;Supervisory desks or panels for centralised control or display (desks in general A47B)
H02B0015020000;with mimic diagrams
H02B0015040000;consisting of building blocks
H02B0099000000;Subject matter not provided for in other groups of this subclass
H02G;INSTALLATION OF ELECTRIC CABLES OR LINES, OR OF COMBINED OPTICAL AND ELECTRIC CABLES OR LINES (insulated conductors or cables with arrangements for facilitating mounting or securing H01B0007400000. distribution points incorporating switches H02B. guiding telephone cords H04M0001150000. cable ducts or mountings for telephone or telegraph exchange installations H04Q0001060000)
H02G0001000000;Methods or apparatus specially adapted for installing, maintaining, repairing, or dismantling electric cables or lines
H02G0001020000;for overhead lines or cables
H02G0001040000;for mounting or stretching (wire stretchers in general B25B0025000000)
H02G0001060000;for laying cables, e.g. laying apparatus on vehicle (combined with trench digging or back-filling machines or dredgers E02F0005000000)
H02G0001080000;through tubing or conduit, e.g. rod or draw wire for pushing or pulling
H02G0001100000;in or under water
H02G0001120000;for removing insulation or armouring from cables, e.g. from the end thereof (pliers in general B25B. cutters in general B26B. insulated conductors or cables with arrangements for facilitating removal of insulation H01B0007380000)
H02G0001140000;for joining or terminating cables (joining electric conductors H01R0043000000)
H02G0001160000;for repairing insulation or armouring of cables
H02G0003000000;Installations of electric cables or lines or protective tubing therefor in or on buildings, equivalent structures or vehicles (installations of bus-bars H02G0005000000. overhead installations H02G0007000000. installations in or on the ground H02G0009000000. channels or vertical ducts for receiving utility lines E04F0017080000. wiring of electric apparatus in general H05K)
H02G0003020000;Details
H02G0003030000;Cooling
H02G0003040000;Protective tubing or conduits, e.g. cable ladders, cable troughs (pipes or tubing in general F16L)
H02G0003060000;Joints for connecting lengths of protective tubing to each other or to casings, e.g. to distribution box. Ensuring electrical continuity in the joint
H02G0003080000;Distribution boxes. Connection or junction boxes (cable terminations H02G0015020000)
H02G0003100000;for surface mounting on a wall
H02G0003120000;for flush mounting
H02G0003140000;Fastening of cover or lid to box
H02G0003160000;structurally associated with support for line-connecting terminals within the box (terminals H01R0009000000)
H02G0003180000;providing line outlets
H02G0003200000;Ceiling roses
H02G0003220000;Installations of cables or lines through walls, floors, or ceilings, e.g. into buildings (devices for use where pipes or cables pass through walls or partitions F16L0005000000. lead-in or lead-through insulators H01B0017260000. insulating tubes or sleeves H01B0017580000)
H02G0003300000;Installations of cables or lines on walls, floors or ceilings (supports for pipes, cables or protective tubing F16L0003000000. hose-clips F16L0033020000)
H02G0003320000;using mounting clamps
H02G0003340000;using separate protective tubing
H02G0003360000;Installations of cables or lines in walls, floors or ceilings (H02G0003220000 takes precedence)..
H02G0003380000;the cables or lines being installed in preestablished conduits or ducts
H02G0003400000;using separate protective tubing in the conduits or ducts
H02G0005000000;Installations of bus-bars
H02G0005020000;Open installations
H02G0005040000;Partially-enclosed installations, e.g. in ducts and adapted for sliding or rolling current collection (non-rotary current collectors H01R0041000000)
H02G0005060000;Totally-enclosed installations, e.g. in metal casings
H02G0005080000;Connection boxes therefor
H02G0005100000;Cooling
H02G0007000000;Overhead installations of electric lines or cables (installations of bus-bars H02G0005000000. trolley wires or contact lines for electric railways B60M. fastening conductors to insulators H01B0017000000, e.g. H01B0017060000, H01B0017160000, H01B0017220000. protection against abnormal electric conditions H01H. hook contacts for temporary connections to overhead lines H01R0011140000)
H02G0007020000;Devices for adjusting or maintaining mechanical tension, e.g. take-up device
H02G0007040000;Arrangements or devices for relieving mechanical tension
H02G0007050000;Suspension arrangements or devices for electric cables or lines
H02G0007060000;Suspensions for lines or cables along a separate supporting wire, e.g. S-hook
H02G0007080000;Members clamped to the supporting wire or to the line or cable
H02G0007100000;Flexible members or lashings wrapped around both the supporting wire and the line or cable
H02G0007120000;Devices for maintaining distance between parallel conductors, e.g. spacer
H02G0007140000;Arrangements or devices for damping mechanical oscillations of lines, e.g. for reducing production of sound
H02G0007160000;Devices for removing snow or ice from lines or cables (from insulators H01B0017520000)
H02G0007180000;Devices affording mechanical protection in the event of breakage of a line or cable, e.g. net for catching broken lines
H02G0007200000;Spatial arrangements or dispositions of lines or cables on poles, posts, or towers (construction of poles, posts, or towers E04H0012220000)
H02G0007220000;Arrangements of earthing wires suspended between mastheads
H02G0009000000;Installations of electric cables or lines in or on the ground or water (cathodic protection C23F0013020000. detection of buried cables G01V)
H02G0009020000;laid directly in or on the ground, river-bed or sea-bottom. Coverings therefor, e.g. tile
H02G0009040000;in surface ducts. Ducts or covers therefor
H02G0009060000;in underground tubes or conduits. Tubes or conduits therefor
H02G0009080000;in tunnels
H02G0009100000;in cable chambers, e.g. in manhole, in handhole (building aspects of cable chambers section E, e.g. E04H0005060000)
H02G0009120000;supported on or from floats, e.g. in water (floating cables H01B0007120000)
H02G0011000000;Arrangements of electric cables or lines between relatively-movable parts (current collectors H01R)
H02G0011020000;using take-up reel or drum
H02G0013000000;Installations of lightning conductors. Fastening thereof to supporting structure (indicating, counting or recording lightning strokes G01. lightning arrestors H01C0007120000, H01C0008040000, H01G0009180000, H01T. earth plates, pins or other contacts H01R)
H02G0015000000;Cable fittings
H02G0015007000;Devices for relieving mechanical stress
H02G0015013000;Sealing means for cable inlets (inlets for cables filled with, or surrounded by, gas or oil H02G0015320000)
H02G0015020000;Cable terminations (for gas- or oil-filled cables H02G0015220000)
H02G0015040000;Cable-end sealings
H02G0015060000;Cable terminating boxes, frames, or other structures (terminal blocks H01R0009000000)
H02G0015064000;with devices for relieving electrical stress
H02G0015068000;connected to the cable shield only (H02G0015072000 takes precedence)..
H02G0015072000;of the condenser type
H02G0015076000;for multi-conductor cables
H02G0015080000;Cable junctions (for gas or oil filled cables H02G0015240000. disconnectable junctions, electrical connections H01R)
H02G0015100000;protected by boxes, e.g. by distribution, connection or junction boxes (terminal blocks H01R0009000000)
H02G0015103000;with devices for relieving electrical stress
H02G0015105000;connected to the cable shield only (H02G0015107000 takes precedence)..
H02G0015107000;of the condenser type
H02G0015113000;Boxes split longitudinally in main cable direction
H02G0015115000;Boxes split perpendicularly to main cable direction
H02G0015117000;for multiconductor cables
H02G0015120000;for incorporating transformers, loading coils or amplifiers
H02G0015140000;specially adapted for submarine cables
H02G0015160000;structurally associated with support for line-connecting terminals within the box
H02G0015180000;protected by sleeves, e.g. for communication cable (two-part covers H02G0015100000)
H02G0015184000;with devices for relieving electrical stress
H02G0015188000;connected to cable shield only
H02G0015192000;with support means for ends of the sleeves
H02G0015196000;having lapped insulation
H02G0015200000;Cable fittings for cables filled with or surrounded by gas or oil (H02G0015340000 takes precedence)..
H02G0015220000;Cable terminations
H02G0015230000;Cable-end sealings
H02G0015240000;Cable junctions
H02G0015250000;Stop junctions
H02G0015260000;Expansion vessels. Locking heads. Auxiliary pipe-lines
H02G0015280000;structurally associated with devices for indicating the presence or location of non-electric faults (combined with electric protective means H02H)
H02G0015300000;with devices for relieving electrical stress
H02G0015320000;Cable inlets
H02G0015340000;Cable fittings for cryogenic cables
H02H;EMERGENCY PROTECTIVE CIRCUIT ARRANGEMENTS (indicating or signalling undesired working conditions G01R, e.g. G01R0031000000, G08B. locating faults along lines G01R0031080000. emergency protective devices H01H)
H02H0001000000;Details of emergency protective circuit arrangements
H02H0001040000;Arrangements for preventing response to transient abnormal conditions, e.g. to lightning
H02H0001060000;Arrangements for supplying operative power
H02H0003000000;Emergency protective circuit arrangements for automatic disconnection directly responsive to an undesired change from normal electric working condition, with or without subsequent reconnection (specially adapted for specific types of electric machines or apparatus or for sectionalised protection of cable or line systems H02H0007000000. systems for change-over to standby supply H02J0009000000)
H02H0003020000;Details
H02H0003027000;with automatic disconnection after a predetermined time (H02H0003033000, H02H0003060000 take precedence)..
H02H0003033000;with several disconnections in a preferential order (H02H0003060000 takes precedence)..
H02H0003040000;with warning or supervision in addition to disconnection, e.g. for indicating that protective apparatus has functioned
H02H0003050000;with means for increasing reliability, e.g. redundancy arrangements
H02H0003060000;with automatic reconnection
H02H0003070000;and with permanent disconnection after a predetermined number of reconnection cycles
H02H0003080000;responsive to excess current (responsive to abnormal temperature caused by excess current H02H0005040000)
H02H0003087000;for dc applications
H02H0003093000;with timing means
H02H0003100000;additionally responsive to some other abnormal electrical conditions
H02H0003120000;responsive to underload or no-load
H02H0003130000;for multiphase applications, e.g. phase interruption
H02H0003140000;responsive to occurrence of voltage on parts normally at earth potential
H02H0003160000;responsive to fault current to earth, frame or mass (with balanced or differential arrangement H02H0003260000)
H02H0003170000;by means of an auxiliary voltage injected into the installation to be protected
H02H0003180000;responsive to reversal of direct current
H02H0003200000;responsive to excess voltage
H02H0003220000;of short duration, e.g. lightning
H02H0003240000;responsive to undervoltage or no-voltage
H02H0003247000;having timing means
H02H0003253000;for multiphase applications, e.g. phase interruption
H02H0003260000;responsive to difference between voltages or between currents. responsive to phase angle between voltages or between currents
H02H0003280000;involving comparison of the voltage or current values at two spaced portions of a single system, e.g. at opposite ends of one line, at input and output of apparatus
H02H0003300000;using pilot wires or other signalling channel
H02H0003320000;involving comparison of the voltage or current values at corresponding points in different conductors of a single system, e.g. of currents in go and return conductors
H02H0003330000;using summation current transformers (H02H0003347000 takes precedence)..
H02H0003340000;of a three-phase system
H02H0003347000;using summation current transformers
H02H0003353000;involving comparison of phase voltages
H02H0003360000;involving comparison of the voltage or current values at corresponding points of different systems, e.g. of parallel feeder systems
H02H0003380000;responsive to both voltage and current. responsive to phase angle between voltage and current
H02H0003400000;responsive to ratio of voltage and current
H02H0003420000;responsive to product of voltage and current
H02H0003440000;responsive to the rate of change of electrical quantities
H02H0003460000;responsive to frequency deviations
H02H0003480000;responsive to loss of synchronism
H02H0003500000;responsive to the appearance of abnormal wave forms, e.g. ac in dc installations
H02H0003520000;responsive to the appearance of harmonics
H02H0005000000;Emergency protective circuit arrangements for automatic disconnection directly responsive to an undesired change from normal non-electric working conditions with or without subsequent reconnection (using simulators of the apparatus being protected H02H0006000000. specially adapted for specific types of electric machines or apparatus or for sectionalised protection of cable or line systems H02H0007000000)
H02H0005040000;responsive to abnormal temperature
H02H0005060000;in oil-filled electric apparatus
H02H0005080000;responsive to abnormal fluid pressure, liquid level or liquid displacement, e.g. Buchholz relays
H02H0005100000;responsive to mechanical injury, e.g. rupture of line, breakage of earth connection
H02H0005120000;responsive to undesired approach to, or touching of, live parts by living beings
H02H0006000000;Emergency protective circuit arrangements responsive to undesired changes from normal non-electric working conditions using simulators of the apparatus being protected, e.g. using thermal images
H02H0007000000;Emergency protective circuit arrangements specially adapted for specific types of electric machines or apparatus or for sectionalised protection of cable or line systems, and effecting automatic switching in the event of an undesired change from normal working conditions (structural association of protective devices with specific machines or apparatus and their protection without automatic disconnection, see the relevant subclass for the machine or apparatus)..
H02H0007040000;for transformers
H02H0007045000;Differential protection of transformers
H02H0007050000;for capacitive voltage transformers, e.g. against resonant conditions
H02H0007055000;for tapped transformers or tap-changing means thereof
H02H0007060000;for dynamo-electric generators. for synchronous capacitors
H02H0007080000;for dynamo-electric motors
H02H0007085000;against excessive load
H02H0007090000;against over-voltage. against reduction of voltage. against phase interruption
H02H0007093000;against increase beyond, or decrease below, a predetermined level of rotational speed (centrifugal switches H01H0035100000)
H02H0007097000;against wrong direction of rotation
H02H0007100000;for converters. for rectifiers
H02H0007120000;for static converters or rectifiers
H02H0007122000;for inverters, i.e. dc/ac converters
H02H0007125000;for rectifiers
H02H0007127000;having auxiliary control electrode to which blocking control voltages or currents are applied in case of emergency
H02H0007160000;for capacitors (for synchronous capacitors H02H0007060000)
H02H0007180000;for batteries. for accumulators
H02H0007200000;for electronic equipment (for converters H02H0007100000. for electric measuring instruments G01R0001360000. for dc voltage or current semiconductor regulators G05F0001569000. for amplifiers H03F0001520000. for electronic switching circuits H03K0017080000)
H02H0007220000;for distribution gear, e.g. bus-bar systems. for switching devices
H02H0007240000;for spark-gap arresters
H02H0007260000;Sectionalised protection of cable or line systems, e.g. for disconnecting a section on which a short-circuit, earth fault, or arc discharge has occurred (locating faults in cables G01R0031080000)
H02H0007280000;for meshed systems
H02H0007300000;Staggered disconnection
H02H0009000000;Emergency protective circuit arrangements for limiting excess current or voltage without disconnection (structural association of protective devices with specific machines or apparatus, see the relevant subclass for the machine or apparatus)..
H02H0009020000;responsive to excess current
H02H0009040000;responsive to excess voltage (lightning arrestors H01C0007120000, H01C0008040000, H01G0009180000, H01T)
H02H0009060000;using spark-gap arresters
H02H0009080000;Limitation or suppression of earth fault currents, e.g. Petersen coil
H02H0011000000;Emergency protective circuit arrangements for preventing the switching-on in case an undesired electric working condition might result
H02H0099000000;Subject matter not provided for in other groups of this subclass
H02J;CIRCUIT ARRANGEMENTS OR SYSTEMS FOR SUPPLYING OR DISTRIBUTING ELECTRIC POWER. SYSTEMS FOR STORING ELECTRIC ENERGY (power supply circuits for apparatus for measuring X-radiation, gamma radiation, corpuscular radiation or cosmic radiation G01T0001175000. electric power supply circuits specially adapted for use in electronic time-pieces with no moving parts G04G0019000000. for digital computers G06F0001180000. for discharge tubes H01J0037248000. circuits or apparatus for the conversion of electric power, arrangements for control or regulation of such circuits or apparatus H02M. interrelated control of several motors, control of a prime-mover/generator combination H02P. control of high-frequency power H03L. additional use of power line or power network for transmission of information H04B)
H02J0001000000;Circuit arrangements for dc mains or dc distribution networks
H02J0001020000;Arrangements for reducing harmonics or ripples (in converters H02M0001140000)
H02J0001040000;Constant-current supply systems
H02J0001060000;Two-wire systems
H02J0001080000;Three-wire systems. Systems having more than three wires
H02J0001100000;Parallel operation of dc sources (involving batteries H02J0007340000)
H02J0001120000;Parallel operation of dc generators with converters, e.g. with mercury-arc rectifier
H02J0001140000;Balancing the load in a network (by batteries H02J0007340000)
H02J0001160000;using dynamo-electric machines coupled to flywheels
H02J0003000000;Circuit arrangements for ac mains or ac distribution networks
H02J0003010000;Arrangements for reducing harmonics or ripples (in converters H02M0001120000)
H02J0003020000;using a single network for simultaneous distribution of power at different frequencies. using a single network for simultaneous distribution of ac power and of dc power
H02J0003040000;for connecting networks of the same frequency but supplied from different sources
H02J0003060000;Controlling transfer of power between connected networks. Controlling sharing of load between connected networks
H02J0003080000;Synchronising of networks
H02J0003100000;Constant-current supply systems
H02J0003120000;for adjusting voltage in ac networks by changing a characteristic of the network load
H02J0003140000;by switching loads on to, or off from, network, e.g. progressively balanced loading
H02J0003160000;by adjustment of reactive power
H02J0003180000;Arrangements for adjusting, eliminating, or compensating reactive power in networks (for adjustment of voltage H02J0003120000. use of Petersen coils H02H0009080000)
H02J0003200000;in long overhead lines
H02J0003220000;in cables
H02J0003240000;Arrangements for preventing or reducing oscillations of power in networks (by control effected upon a single generator H02P0009000000)
H02J0003260000;Arrangements for eliminating or reducing asymmetry in polyphase networks
H02J0003280000;Arrangements for balancing the load in a network by storage of energy
H02J0003300000;using dynamo-electric machines coupled to flywheels
H02J0003320000;using batteries with converting means
H02J0003340000;Arrangements for transfer of electric power between networks of substantially different frequency (frequency converters H02M)
H02J0003360000;Arrangements for transfer of electric power between ac networks . via a high-tension dc link
H02J0003380000;Arrangements for parallelly feeding a single network by two or more generators, converters, or transformers
H02J0003400000;Synchronising a generator for connection to a network or to another generator
H02J0003420000;with automatic parallel connection when synchronism is achieved
H02J0003440000;with means for ensuring correct phase sequence
H02J0003460000;Controlling the sharing of output between the generators, converters, or transformers
H02J0003480000;Controlling the sharing of the in-phase component
H02J0003500000;Controlling the sharing of the out-of-phase component
H02J0004000000;Circuit arrangements for mains or distribution networks not specified as ac or dc
H02J0005000000;Circuit arrangements for transfer of electric power between ac networks and dc networks (H02J0003360000 takes precedence)..
H02J0007000000;Circuit arrangements for charging or depolarising batteries or for supplying loads from batteries
H02J0007020000;for charging batteries from ac mains by converters
H02J0007040000;Regulation of the charging current or voltage
H02J0007060000;using discharge tubes or semiconductor devices
H02J0007080000;using discharge tubes only
H02J0007100000;using semiconductor devices only
H02J0007120000;using magnetic devices having controllable degree of saturation, i.e. transductors
H02J0007140000;for charging batteries from dynamo-electric generators driven at varying speed, e.g. on vehicle
H02J0007160000;Regulation of the charging current or voltage by variation of field
H02J0007180000;due to variation of ohmic resistance in field circuit, using resistance switching in or out of circuit step by step
H02J0007200000;due to variation of continuously-variable ohmic resistor
H02J0007220000;due to variation of make-to-break ratio of intermittently-operating contacts, e.g. using Tirrill regulator
H02J0007240000;using discharge tubes or semiconductor devices
H02J0007260000;using magnetic devices with controllable degree of saturation
H02J0007280000;using magnetic devices with controllable degree of saturation in combination with controlled discharge tube or controlled semiconductor device
H02J0007300000;using armature-reaction-excited machines
H02J0007320000;for charging batteries from a charging set comprising a non-electric prime mover
H02J0007340000;Parallel operation in networks using both storage and other dc sources, e.g. providing buffering (H02J0007140000 takes precedence)..
H02J0007350000;with light sensitive cells
H02J0007360000;Arrangements using end-cell switching
H02J0009000000;Circuit arrangements for emergency or stand-by power supply, e.g. for emergency lighting (with provision for charging standby battery H02J0007000000)
H02J0009020000;in which an auxiliary distribution system and its associated lamps are brought into service
H02J0009040000;in which the distribution system is disconnected from the normal source and connected to a standby source
H02J0009060000;with automatic change-over
H02J0009080000;requiring starting of a prime-mover
H02J0011000000;Circuit arrangements for providing service supply to auxiliaries of stations in which electric power is generated, distributed, or converted (emergency or standby arrangements H02J0009000000)
H02J0013000000;Circuit arrangements for providing remote indication of network conditions, e.g. an instantaneous record of the open or closed condition of each circuitbreaker in the network. Circuit arrangements for providing remote control of switching means in a power distribution network, e.g. switching in and out of current consumers by using a pulse code signal carried by the network
H02J0015000000;Systems for storing electric energy (mechanical systems therefor F01-F04. in chemical form H01M)
H02J0017000000;Systems for supplying or distributing electric power by electromagnetic waves
H02K;DYNAMO-ELECTRIC MACHINES (dynamo-electric relays H01H0053000000. conversion of¶ÿDC or¶ÿAC input power into surge output power H02M0009000000)
H02K0001000000;Details of the magnetic circuit (magnetic circuits for relays H01H0050160000)
H02K0001020000;characterised by the magnetic material
H02K0001040000;characterised by the material used for insulating the magnetic circuit or parts thereof
H02K0001060000;characterised by the shape, form or construction
H02K0001080000;Salient poles
H02K0001100000;Commutating poles
H02K0001120000;Stationary parts of the magnetic circuit
H02K0001140000;Stator cores with salient poles
H02K0001160000;Stator cores with slots for windings
H02K0001170000;Stator cores with permanent magnets
H02K0001180000;Means for mounting or fastening magnetic stationary parts on to, or to, the stator structures
H02K0001200000;with channels or ducts for flow of cooling medium
H02K0001220000;Rotating parts of the magnetic circuit
H02K0001240000;Rotor cores with salient poles
H02K0001260000;Rotor cores with slots for windings
H02K0001270000;Rotor cores with permanent magnets
H02K0001280000;Means for mounting or fastening rotating magnetic parts on to, or to, the rotor structures
H02K0001300000;using intermediate parts, e.g. spiders
H02K0001320000;with channels or ducts for flow of cooling medium
H02K0001340000;Reciprocating, oscillating or vibrating parts of the magnetic circuit
H02K0003000000;Details of windings
H02K0003020000;Windings characterised by the conductor material
H02K0003040000;Windings characterised by the conductor shape, form or construction, e.g. with bar conductors
H02K0003120000;arranged in slots
H02K0003140000;with transposed conductors, e.g. twisted conductors
H02K0003160000;for auxiliary purposes, e.g. damping or commutating
H02K0003180000;Windings for salient poles
H02K0003200000;for auxiliary purposes, e.g. damping or commutating
H02K0003220000;consisting of hollow conductors
H02K0003240000;with channels or ducts for cooling medium between the conductors
H02K0003260000;consisting of printed conductors
H02K0003280000;Layout of windings or of connections between windings (windings for pole-changing H02K0017060000, H02K0017140000, H02K0019120000, H02K0019320000)
H02K0003300000;Windings characterised by the insulating material
H02K0003320000;Windings characterised by the shape, form or construction of the insulation
H02K0003340000;between conductors or between conductor and core, e.g. slot insulation
H02K0003380000;around winding heads, equalising connectors, or connections thereto
H02K0003400000;for high voltage, e.g. affording protection against corona discharges
H02K0003420000;Means for preventing or reducing eddy-current losses in the winding heads, e.g. by shielding
H02K0003440000;Protection against moisture or chemical attack. Windings specially adapted for operation in liquid or gas
H02K0003460000;Fastening of windings on the stator or rotor structure
H02K0003470000;Air-gap windings, i.e. iron-free windings
H02K0003480000;in slots
H02K0003487000;Slot-closing devices
H02K0003493000;magnetic
H02K0003500000;Fastening of winding heads, equalising connectors, or connections thereto
H02K0003510000;applicable to rotors only
H02K0003520000;Fastening salient pole windings or connections thereto
H02K0005000000;Casings. Enclosures. Supports
H02K0005020000;Casings or enclosures characterised by the material thereof
H02K0005040000;Casings or enclosures characterised by the shape, form or construction thereof
H02K0005060000;Cast metal casings
H02K0005080000;Insulating casings
H02K0005100000;with arrangements for protection from ingress, e.g. of water¶ÿor fingers
H02K0005120000;specially adapted for operating in liquid or gas (combined with cooling arrangements H02K0009000000)
H02K0005124000;Sealing of¶ÿshafts
H02K0005128000;using air-gap sleeves or air-gap discs
H02K0005132000;Submersible electric motors (H02K0005128000¶ÿtakes precedence)..
H02K0005136000;explosion-proof
H02K0005140000;Means for supporting or protecting brushes or brush holders
H02K0005150000;Mounting arrangements for bearing-shields or end plates
H02K0005160000;Means for supporting bearings, e.g. insulating supports or¶ÿmeans for fitting bearings in the bearing-shields (magnetic bearings H02K0007090000)
H02K0005167000;using sliding-contact or spherical cap bearings
H02K0005173000;using bearings with rolling contact, e.g. ball bearings
H02K0005180000;with ribs or fins for improving heat transfer
H02K0005200000;with channels or ducts for flow of cooling medium
H02K0005220000;Auxiliary parts of casings not covered by groups . H02K0005060000-H02K0005200000, e.g. shaped to form connection boxes or terminal boxes
H02K0005240000;specially adapted for suppression or reduction of noise or vibrations
H02K0005260000;Means for adjusting casings relative to¶ÿtheir supports
H02K0007000000;Arrangements for handling mechanical energy structurally associated with¶ÿdynamo-electric machines, e.g. structural association with mechanical driving motors or auxiliary dynamo-electric machines
H02K0007020000;Additional mass for increasing inertia, e.g. flywheels
H02K0007040000;Balancing means
H02K0007060000;Means for converting reciprocating motion into rotary motion or . vice versa    
H02K0007065000;Electromechanical oscillators. Vibrating magnetic drives
H02K0007070000;using pawls and ratchet wheels
H02K0007075000;using crankshafts or eccentrics
H02K0007080000;Structural association with bearings
H02K0007090000;with magnetic bearings
H02K0007100000;Structural association with clutches, brakes, gears, pulleys or mechanical starters
H02K0007102000;with friction brakes
H02K0007104000;with eddy-current brakes
H02K0007106000;with dynamo-electric brakes
H02K0007108000;with friction clutches
H02K0007110000;with dynamo-electric clutches
H02K0007112000;with friction clutches¶ÿin combination with¶ÿbrakes
H02K0007114000;with dynamo-electric clutches¶ÿin combination with brakes
H02K0007116000;with gears
H02K0007118000;with starting devices
H02K0007120000;with auxiliary limited movement of stators, rotors or core parts, e.g. rotors axially movable for the purpose of clutching or braking
H02K0007140000;Structural association with mechanical loads, e.g. with hand-held machine tools or¶ÿfans (with fan or impeller for cooling the machine H02K0009060000)
H02K0007160000;for operation above the critical speed of vibration of the rotating parts
H02K0007180000;Structural association of electric generators with mechanical driving motors, e.g.with turbines
H02K0007200000;Structural association with auxiliary dynamo-electric machines, e.g. with electric starter motors or exciters
H02K0009000000;Arrangements for cooling or ventilating (channels or ducts in parts of the magnetic circuit H02K0001200000, H02K0001320000. channels or ducts in or between conductors H02K0003220000, H02K0003240000)
H02K0009020000;by ambient air flowing through the machine
H02K0009040000;having means for generating a flow of cooling medium
H02K0009060000;with fans or impellers driven by the machine shaft
H02K0009080000;by gaseous cooling medium circulating wholly within the machine casing (H02K0009100000 takes precedence)..
H02K0009100000;by gaseous cooling medium flowing in closed circuit, a part of which is external to the machine casing
H02K0009120000;wherein the cooling medium circulates freely within the casing
H02K0009140000;wherein gaseous cooling medium circulates between the machine casing and a surrounding mantle
H02K0009160000;wherein the cooling medium circulates through ducts or tubes within the casing
H02K0009180000;wherein the external part of the closed circuit comprises a heat exchanger structurally associated with the machine casing
H02K0009190000;for machines with closed casing and¶ÿclosed-circuit cooling using a liquid cooling medium, e.g. oil
H02K0009193000;with provision for replenishing the cooling medium. with means for preventing leakage of the cooling medium
H02K0009197000;in which the rotor or stator space is fluid-tight, e.g. to provide for different cooling media for rotor and stator
H02K0009200000;wherein the cooling medium vaporises within the machine casing
H02K0009220000;by solid heat conducting material embedded in, or arranged in contact with, the stator or rotor, e.g. heat bridges
H02K0009240000;Protection against failure of cooling arrangements, e.g. due to loss of cooling medium¶ÿor due to interruption of the circulation of cooling medium
H02K0009260000;Structural association¶ÿof machines¶ÿwith devices for cleaning or drying cooling medium, e.g.¶ÿwith filters
H02K0009280000;Cooling of commutators, slip-rings or brushes, e.g. by ventilating
H02K0011000000;Structural association of dynamo-electric machines with measuring or protective devices or electric components, e.g. with resistors or¶ÿswitches
H02K0011020000;for suppression of radio interference
H02K0011040000;for rectification
H02K0013000000;Structural associations of current collectors with motors or generators, e.g. brush mounting plates or connections to windings (supporting or protecting brushes or brush holders in motor casings or enclosures H02K0005140000). Disposition of current collectors in motors or generators. Arrangements for improving commutation
H02K0013020000;Connections¶ÿbetween slip-rings¶ÿand windings
H02K0013040000;Connections between commutator segments and windings
H02K0013060000;Resistive connections,¶ÿe.g. by high-resistance chokes or¶ÿby transistors
H02K0013080000;Segments formed by extensions of the winding
H02K0013100000;Arrangements of brushes or commutators specially adapted for improving commutation
H02K0013120000;Arrangements for producing an axial reciprocation of the rotor and its associated current collector part, e.g. for polishing commutator surfaces
H02K0013140000;Circuit arrangements for improvement of commutation, e.g. by use of unidirectionally conductive elements
H02K0015000000;Methods or apparatus specially adapted for manufacturing, assembling, maintaining or repairing of dynamo-electric machines
H02K0015020000;of stator or rotor bodies
H02K0015030000;having permanent magnets
H02K0015040000;of windings, prior to mounting into machines (insulating windings H02K0015100000, H02K0015120000)
H02K0015060000;Embedding prefabricated windings in¶ÿmachines
H02K0015080000;Forming windings by laying conductors into or around core parts
H02K0015085000;by laying conductors into slotted stators
H02K0015090000;by laying conductors into slotted rotors
H02K0015095000;by laying conductors around salient poles
H02K0015100000;Applying solid insulation to windings,¶ÿstators or¶ÿrotors
H02K0015120000;Impregnating, heating or drying of windings, stators, rotors or machines
H02K0015140000;Casings. Enclosures. Supports
H02K0015160000;Centering¶ÿrotors within the stator. Balancing¶ÿrotors
H02K0016000000;Machines with more than one rotor or stator
H02K0016020000;Machines with one stator and two rotors
H02K0016040000;Machines with one rotor and two stators
H02K0017000000;Asynchronous induction motors. Asynchronous induction generators
H02K0017020000;Asynchronous induction motors
H02K0017040000;for single phase current
H02K0017060000;having windings arranged for permitting pole-changing
H02K0017080000;Motors with auxiliary phase obtained by externally fed auxiliary windings, e.g. capacitor motors
H02K0017100000;Motors with auxiliary phase obtained by split-pole carrying short-circuited windings
H02K0017120000;for multi-phase current
H02K0017140000;having windings arranged for permitting pole-changing
H02K0017160000;having rotors with internally short-circuited windings, e.g. cage rotors
H02K0017180000;having double-cage or multiple-cage rotors
H02K0017200000;having deep-bar rotors
H02K0017220000;having rotors with windings connected to slip-rings
H02K0017240000;in which both stator and rotor are fed with AC
H02K0017260000;having rotors or stators designed to permit synchronous operation
H02K0017280000;having compensating winding for improving phase angle
H02K0017300000;Structural association of asynchronous induction motors with auxiliary electric devices influencing the characteristics of the motor or controlling the motor, e.g. with impedances or¶ÿswitches
H02K0017320000;Structural association of asynchronous induction motors with auxiliary mechanical devices, e.g. with clutches¶ÿor brakes
H02K0017340000;Cascade arrangement of an asynchronous motor with another dynamo-electric motor or converter
H02K0017360000;with another asynchronous induction motor
H02K0017380000;with a commutator machine
H02K0017400000;with a rotary AC/DC converter
H02K0017420000;Asynchronous induction generators (H02K0017020000 takes precedence)..
H02K0017440000;Structural association with exciting machines
H02K0019000000;Synchronous motors or generators (having permanent magnets H02K0021000000)
H02K0019020000;Synchronous motors
