G;SECTION G PHYSICS
G05D0023080000;with bimetallic element (arrangement of valves and flow lines specially adapted for mixing fluid F16K0011000000)
G05D0023100000;with snap-action elements (for valves F16K0031560000)
G05D0023120000;with sensing element responsive to pressure or volume changes in a confined fluid
G05D0023130000;by varying the mixing ratio of two fluids having different temperatures
G05D0023185000;with auxiliary non-electric power
G05D0023190000;characterised by the use of electric means
G05D0023200000;with sensing elements having variation of electric or magnetic properties with change of temperature (G05D0023130000 takes precedence)..
G05D0023220000;the sensing element being a thermocouple
G05D0023240000;the sensing element having a resistance varying with temperature, e.g. thermistor
G05D0023260000;the sensing element having a permeability varying with temperature
G05D0023270000;with sensing element responsive to radiation
G05D0023275000;with sensing element expanding, contracting, or fusing in response to changes of temperature
G05D0023300000;Automatic controllers with an auxiliary heating device affecting the sensing element, e.g. for anticipating change of temperature (automatic controllers in general and not restricted to control of temperature G05B)
G05D0023320000;with provision for adjustment of the effect of the auxiliary heating device, e.g. as a function of time
G05D0024000000;Control of viscosity
G05D0024020000;characterised by the use of electric means
G05D0025000000;Control of light, e.g. intensity, colour, phase (mechanically operable parts of lighting devices for the control of light F21V. optical devices or arrangements using movable or deformable elements for controlling light independent of the light source G02B0026000000. devices or arrangements, the optical operation of which is modified by changing the optical properties of the medium of the devices or arrangements for the control of light, circuit arrangements specially adapted therefor, control of light by electro-magnetic waves, electrons or other elementary particles G02F0001000000)
G05D0025020000;characterised by the use of electric means
G05D0027000000;Simultaneous control of variables covered by two or more of main groups . G05D0001000000-G05D0025000000
G05D0027020000;characterised by the use of electric means
G05D0029000000;Simultaneous control of electric and non-electric variables
G05D0099000000;Subject matter not provided for in other groups of this subclass
G05F;SYSTEMS FOR REGULATING ELECTRIC OR MAGNETIC VARIABLES (regulating the timing or recurrence frequency of pulses in radar or radio navigation systems G01S. regulation of current or voltage, specially adapted for use in electronic time-pieces G04G0019020000. closed-loop systems for regulating non-electric variables by electric means G05D. regulating power supply of digital computers G06F0001260000. for obtaining desired operating characteristics of electromagnets with armatures H01F0007180000. regulating electric power distribution networks H02J. regulating the charging of batteries H02J0007000000. regulating of the output of static converters, e.g. switching regulators, H02M. regulation of the output of electric generators H02N, H02P0009000000. controlling transformers, reactors or choke coils H02P0013000000. regulating frequency response, gain, maximum output, amplitude or bandwidth of amplifiers H03G. regulating tuning of resonant circuits H03J. controlling generators of electronic oscillations or pulses H03L. regulating characteristics of transmission lines H04B. controlling electric light sources H05B0037020000, H05B0039040000, H05B0041360000. electric control of X-ray apparatus H05G0001300000)
G05F0001000000;Automatic systems in which deviations of an electric quantity from one or more predetermined values are detected at the output of the system and fed back to a device within the system to restore the detected quantity to its predetermined value or values, i.e. retroactive systems
G05F0001020000;Regulating electric characteristics of arcs (arrangements for feeding or moving of electrodes for spot or seam welding or cutting B23K0009120000. arrangements for feeding electrodes for electric heating or electric lighting H05B0007109000, H05B0031180000. automatic control of power for heating by discharge H05B0007148000)
G05F0001040000;by means of saturable magnetic devices
G05F0001060000;by means of discharge tubes
G05F0001080000;by means of semiconductor devices
G05F0001100000;Regulating voltage or current (G05F0001020000 takes precedence.for electric railways B60M0003020000)
G05F0001120000;wherein the variable is actually regulated by the final control device is ac (G05F0001625000 takes precedence)..
G05F0001130000;using ferroresonant transformers as final control devices
G05F0001140000;using tap transformers or tap changing inductors as final control devices
G05F0001147000;with motor driven tap switch
G05F0001153000;controlled by discharge tubes or semiconductor devices
G05F0001160000;combined with discharge tubes or semiconductor devices
G05F0001200000;semiconductor devices only
G05F0001220000;combined with separate magnetic control devices having a controllable degree of saturation
G05F0001240000;using bucking or boosting transformers as final control devices
G05F0001247000;with motor in control circuit
G05F0001253000;the transformers including plural windings in series between source and load (G05F0001247000 takes precedence)..
G05F0001260000;combined with discharge tubes or semiconductor devices
G05F0001300000;semiconductor devices only
G05F0001320000;using magnetic devices having a controllable degree of saturation as final control devices
G05F0001325000;with specific core structure, e.g. gap, aperture, slot, permanent magnet
G05F0001330000;with plural windings through which current to be controlled is conducted
G05F0001335000;on different cores
G05F0001340000;combined with discharge tubes or semiconductor devices
G05F0001380000;semiconductor devices only
G05F0001400000;using discharge tubes or semiconductor devices as final control devices
G05F0001420000;discharge tubes only
G05F0001440000;semiconductor devices only
G05F0001445000;being transistors in series with the load
G05F0001450000;being controlled rectifiers in series with the load
G05F0001455000;with phase control
G05F0001460000;wherein the variable actually regulated by the final control device is dc (G05F0001625000 takes precedence)..
G05F0001520000;using discharge tubes in series with the load as final control devices
G05F0001540000;additionally controlled by the unregulated supply
G05F0001560000;using semiconductor devices in series with the load as final control devices
G05F0001563000;including two stages of regulation, at least one of which is output level responsive, e.g. coarse and fine regulation
G05F0001565000;sensing a condition of the system or its load in addition to means responsive to deviations in the output of the system, e.g. current, voltage, power factor (G05F0001563000 takes precedence)..
G05F0001567000;for temperature compensation
G05F0001569000;for protection
G05F0001571000;with overvoltage detector
G05F0001573000;with overcurrent detector
G05F0001575000;characterised by the feedback circuit
G05F0001577000;for plural loads
G05F0001585000;providing voltages of opposite polarities
G05F0001590000;including plural semiconductor devices as final control devices for a single load
G05F0001595000;semiconductor devices connected in series
G05F0001607000;using discharge tubes in parallel with the load as final control devices
G05F0001610000;including two stages of regulation, at least one of which is output level responsive
G05F0001613000;using semiconductor devices in parallel with the load as final control devices
G05F0001614000;including two stages of regulation, at least one of which is output level responsive
G05F0001618000;using semiconductor devices in series and in parallel with the load as final control devices
G05F0001620000;using bucking or boosting dc sources
G05F0001625000;wherein it is irrelevant whether the variable actually regulated is ac or dc
G05F0001630000;using variable impedances in series with the load as final control devices
G05F0001635000;being Hall effect devices, magnetoresistors or thermistors
G05F0001644000;being pressure-sensitive resistors
G05F0001648000;being plural resistors among which a selection is made
G05F0001652000;using variable impedances in parallel with the load as final control devices
G05F0001656000;using variable impedances in series and in parallel with the load as final control devices
G05F0001660000;Regulating electric power
G05F0001670000;to the maximum power available from a generator, e.g. from solar cell
G05F0001700000;Regulating power factor. Regulating reactive current or power
G05F0003000000;Non-retroactive systems for regulating electric variables by using an uncontrolled element, or an uncontrolled combination of elements, such element or such combination having self-regulating properties
G05F0003020000;Regulating voltage or current
G05F0003040000;wherein the variable is ac
G05F0003060000;using combinations of saturated and unsaturated inductive devices, e g. combined with resonant circuit
G05F0003080000;wherein the variable is dc
G05F0003100000;using uncontrolled devices with non-linear characteristics
G05F0003120000;being glow discharge tubes
G05F0003160000;being semiconductor devices
G05F0003180000;using Zener diodes
G05F0003200000;using diode-transistor combinations (G05F0003180000 takes precedence)..
G05F0003220000;wherein the transistors are of the bipolar type only (G05F0003260000, G05F0003300000 take precedence)..
G05F0003240000;wherein the transistors are of the field-effect type only (G05F0003260000, G05F0003300000 take precedence)..
G05F0003260000;Current mirrors
G05F0003280000;combined with a non-linear current amplifier
G05F0003300000;Regulators using the difference between the base-emitter voltages of two bipolar transistors operating at different current densities (G05F0003260000 takes precedence)..
G05F0005000000;Systems for regulating electric variables by detecting deviations in the electric input to the system and thereby controlling a device within the system to obtain a regulated output
G05F0005020000;Phase controlled switching using electronic tubes or three or more terminal semiconductive devices
G05F0005040000;using a transformer or inductor as the final control device
G05F0005060000;saturable
G05F0005080000;using a linearly acting final control device
G05F0007000000;Regulating magnetic variables (details of apparatus for measuring magnetic variables involving magnetic resonance G01R0033280000)
G05G;"CONTROL DEVICES OR SYSTEMS INSOFAR AS CHARACTERISED BY MECHANICAL FEATURES ONLY (""Bowden"" or like mechanisms F16C0001100000. gearings or mechanisms not peculiar to this purpose F16H. speed changing or reversing mechanisms for gearings conveying rotary motion F16H0059000000-F16H0063000000)"
G05G0001000000;Controlling members, e.g. knobs or handles. Assemblies or arrangements thereof. Indicating position of controlling members (joysticks G05G0009040000. steering wheels for motor vehicles B62D)
G05G0001010000;Arrangements of two or more controlling members with respect to one another(double foot control, e.g. for instruction vehicles G05G0001340000. mounting units comprising an assembly with two or more pedals G05G0001360000)
G05G0001015000;Arrangements for indicating the position of a controlling member (means for continuously detecting pedal position G05G0001380000. means for detecting position through tactile feedback G05G0005030000)
G05G0001020000;Controlling members for hand-actuation by linear movement, e.g. push buttons
G05G0001040000;Controlling members for hand-actuation by pivoting movement, e.g. levers
G05G0001060000;Details of their grip parts
G05G0001080000;Controlling members for hand-actuation by rotary movement, e.g. hand wheels
G05G0001100000;Details, e.g. of discs, knobs, wheels or handles
G05G0001120000;Means for securing the members on rotatable spindles or the like
G05G0001300000;Controlling members actuated by foot
G05G0001320000;with means to prevent injury
G05G0001323000;means disconnecting the connection between pedal and controlled member, e.g. by breaking or bending the connecting rod
G05G0001327000;means disconnecting the pedal from its hinge or support, e.g. by breaking or bending the support
G05G0001340000;Double foot controls, e.g. for instruction vehicles
G05G0001360000;Mounting units comprising an assembly of two or more pedals, e.g. for facilitating mounting
G05G0001380000;comprising means to continuously detect pedal position
G05G0001400000;adjustable
G05G0001405000;infinitely adjustable
G05G0001420000;non-pivoting, e.g. sliding
G05G0001440000;pivoting
G05G0001445000;about a central fulcrum
G05G0001460000;Means, e.g. links, for connecting the pedal to the controlled unit
G05G0001480000;Non-slip pedal treads. Pedal extensions or attachments characterised by mechanical features only
G05G0001483000;Non-slip treads
G05G0001487000;Pedal extensions
G05G0001500000;Manufacturing of pedals. Pedals characterised by the material used
G05G0001520000;Controlling members specially adapted for actuation by other parts of the human body than hand or foot
G05G0001540000;Controlling members specially adapted for actuation by auxiliary operating members or extensions. Operating members or extensions therefor (pedal extensions G05G0001487000)
G05G0001560000;Controlling members specially adapted for actuation by keys, screwdrivers or like tools
G05G0001580000;Rests or guides for relevant parts of the operator's body
G05G0001600000;Foot rests or foot guides
G05G0001620000;Arm rests
G05G0003000000;Controlled members (gear shifter yokes F16H0063320000). Assemblies or arrangements thereof (interlocking of controlled members G05G0005080000)
G05G0005000000;Means for preventing, limiting or returning the movements of parts of a control mechanism, e.g. locking controlling member (G05G0017000000 takes precedence)..
G05G0005020000;Means preventing undesired movements of a controlling member which can be moved in two or more separate steps or ways, e.g. restricting to a stepwise movement or to a particular sequence of movements (G05G0005280000 takes precedence)..
G05G0005030000;Means for enhancing the operator's awareness of the arrival of the controlling member at a command or datum position. Providing feel, e.g. means for creating a counterforce (arrangements for indicating the position of the controlling member G05G0001015000)
G05G0005040000;Stops for limiting movement of members, e.g. adjustable stop (G05G0005030000, G05G0005050000, G05G0005280000 take precedence)..
G05G0005050000;Means for returning or tending to return controlling members to an inoperative or neutral position, e.g. by providing return springs or resilient end-stops (G05G0005280000 takes precedence)..
G05G0005060000;for holding members in one or a limited number of definite positions only (G05G0005030000, G05G0005050000, G05G0005280000 take precedence)..
G05G0005080000;Interlocking of members, e.g. locking a member in a particular position before or during the movement of another member
G05G0005120000;for holding members in an indefinite number of positions, e.g. by a toothed quadrant (G05G0005280000 takes precedence)..
G05G0005140000;by locking a member with respect to a fixed quadrant, rod, or the like
G05G0005160000;by friction
G05G0005180000;by positive interengagement, e.g. by a pawl
G05G0005200000;by locking a quadrant, rod, or the like carried by the member
G05G0005220000;by friction
G05G0005240000;by positive interengagement, e.g. by a pawl
G05G0005260000;by other means than a quadrant, rod, or the like
G05G0005280000;for preventing unauthorised access to the controlling member or its movement to a command position
G05G0007000000;Manually-actuated control mechanisms provided with one single controlling member co-operating with one single controlled member. Details thereof (controlling members G05G0001000000)
G05G0007020000;characterised by special provisions for conveying or converting motion, or for acting at a distance
G05G0007040000;altering the ratio of motion or force between controlling member and controlled member as a function of the position of the controlling member
G05G0007060000;in which repeated movement of the controlling member produces increments of movement of the controlled member (G05G0007080000 takes precedence)..
G05G0007080000;in which repeated movement of the controlling member moves the controlled member through a cycle of distinct positions
G05G0007100000;specially adapted for remote control (G05G0007040000-G05G0007080000.  take precedence)..
G05G0007120000;specially adapted for actuating a member on a system in motion with respect to the controlling member, e.g. on a rotating shaft
G05G0007140000;characterised by means for delaying initiation of, or making more gradual throughout, the movement of the controlled member in response to a given input from the controlling member, e.g. by providing lost motion in the command train
G05G0007160000;Special provisions for reducing the effect of slight relative movement between supports of the mechanism, e.g. resulting from resilient mounting of a controlled mechanism
G05G0009000000;Manually-actuated control mechanisms provided with one single controlling member co-operating with two or more controlled members, e.g. selectively, simultaneously
G05G0009020000;the controlling member being movable in different independent ways, movement in each individual way actuating one controlled member only
G05G0009040000;in which movement in two or more ways can occur simultaneously
G05G0009047000;the controlling member being movable by hand about orthogonal axes, e.g. joysticks
G05G0009053000;the controlling member comprising a ball
G05G0009060000;the controlled members being actuated successively by repeated movement of the controlling member
G05G0009080000;the controlled members being actuated successively by progressive movement of the controlling member
G05G0009100000;with preselection and subsequent movement of each controlled member by movement of the controlling member in two different ways, e.g. guided by a shift gate
G05G0011000000;Manually-actuated control mechanisms provided with two or more controlling members co-operating with one single controlled member
G05G0013000000;Manually-actuated control mechanisms provided with two or more controlling members and also two or more controlled members (interlocking G05G0005080000)
G05G0013020000;with separate controlling members for preselection and shifting of controlled members
G05G0015000000;Mechanical devices for initiating a movement automatically due to a specific cause
G05G0015020000;due to alteration of the sense of movement of a member
G05G0015040000;due to distance or angle travelled by a member
G05G0015060000;due to the speed of rotation or of bodily movement of a member, e.g. passing an upper or lower limit thereof (speedometers G01P)
G05G0015080000;due to the load or torque on a member, e.g. if exceeding a predetermined value thereof
G05G0017000000;Mechanical devices for moving a member after being released. Trip or release mechanisms characterised thereby
G05G0019000000;Servo-mechanisms with follow-up action, e.g. occurring in steps
G05G0021000000;Mechanical apparatus for control of a series of operations, i.e. programme control, e.g. involving a set of cams (G05G0005020000 takes precedence)..
G05G0023000000;Means for ensuring the correct positioning of parts of control mechanisms, e.g. for taking-up play
G05G0023020000;self-adjusting
G05G0025000000;Other details,. features or accessories ofcontrol mechanisms, e.g. supporting intermediate members elastically
G05G0025020000;Inhibiting the generation or transmission of noise
G05G0025040000;Sealing against entry of dust, weather or the like
G06;COMPUTING. CALCULATING. COUNTING
G06C;DIGITAL COMPUTERS IN WHICH ALL THE COMPUTATION IS EFFECTED MECHANICALLY (score computers for card games A63F0001180000. construction of keys, printing mechanisms, or other parts of general application to the typewriting or printing art B41. keys or printing mechanisms for special applications, see the relevant subclass, e.g. G05G, G06K. cash registers G07G0001000000)
G06C0001000000;Computing aids in which the computing members form at least part of the displayed result and are manipulated directly by hand, e.g. abacus, pocket adding device
G06C0003000000;Arrangements for table look-up, e.g. menstruation table
G06C0005000000;Non-functional elements
G06C0005020000;Housings. Frameworks
G06C0007000000;Input mechanisms (pin carriage G06C0013020000)
G06C0007020000;Keyboards
G06C0007040000;Interlocking devices, e.g. between keys (interlocking devices covered by this subclass, in general G06C0025000000)
G06C0007060000;with one set of keys for each denomination
G06C0007080000;with one set of keys for all denominations, e.g. ten-key board
G06C0007090000;Transfer of data from record carrier to computing mechanisms (sensing record carriers G06K0007000000)
G06C0007100000;Transfer mechanisms, e.g. transfer of a figure from a ten-key keyboard into the pin carriage
G06C0007120000;Resetting devices, e.g. for the keyboard
G06C0009000000;Transfer mechanisms, e.g. for transmitting figures from the input mechanism into the computing mechanism (G06C0007100000, G06C0011000000, G06C0015000000 take precedence)..
G06C0009020000;Back-transfer arrangements, e.g. to transfer a value accumulated in a register back into the selection mechanism
G06C0011000000;Output mechanisms (marking record carriers in general, visual presentation in general of results of the mathematical operations G06K)
G06C0011020000;with visual indication, e.g. counter drum
G06C0011040000;with printing mechanisms, e.g. for character-at-a-time or line-at-a-time printing
G06C0011060000;having type hammers
G06C0011080000;with punching mechanism
G06C0011100000;Arrangements for feeding single sheets or continuous web or tape, e.g. ejection device (conveying record carriers G06K0013000000). Line-spacing devices
G06C0011120000;for feeding tape
G06C0013000000;Storage mechanisms (mechanical counters with input only to the lowest order G06M. information storage in general G11)
G06C0013020000;Operand stores, e.g. pin carriage (input mechanisms G06C0007000000)
G06C0013040000;Print buffer stores
G06C0015000000;Computing mechanisms. Actuating devices therefor (mechanisms for operating automatically upon more than two numbers otherwise than by repeated addition or subtraction G06C0021000000)
G06C0015020000;operating on the binary scale
G06C0015040000;Adding or subtracting devices (G06C0015080000 takes precedence)..
G06C0015060000;having balance totalising. Obtaining sub-total
G06C0015080000;Multiplying or dividing devices. Devices for computing the exponent or root
G06C0015100000;having more than one denominational set of keys operating directly on computing mechanism
G06C0015120000;having pin carriage
G06C0015140000;having pin wheel, e.g. Odhner type
G06C0015160000;having stepped-toothed actuating drums, e.g. Thomas type
G06C0015180000;having multiplication table for forming partial products
G06C0015200000;adapted for short-cut multiplication or division
G06C0015220000;Arrangements for two or more computing devices. Arrangements for subdivision into two or more computing mechanisms, e.g. splitting
G06C0015240000;Devices for counting the cycles of operation in division or multiplication (item-counting devices G06C0025020000)
G06C0015260000;Devices for transfer between orders, e.g. tens-transfer device
G06C0015280000;where transfer is effected in one step
G06C0015300000;where transfer is effected in two steps
G06C0015320000;with provision for simultaneous transfer between all orders
G06C0015340000;where transfer is effected by planet gear, i.e. crawl type
G06C0015360000;with aligning means
G06C0015380000;for pin-wheel computing mechanisms
G06C0015400000;for stepped-toothed-drum computing mechanism
G06C0015420000;Devices for resetting to zero or other datum
G06C0015440000;Devices for comparing numerical values, e.g. zero check
G06C0015460000;Arrangements for rounding-off
G06C0015480000;Arrangements for selection of one out of several counting registers (arrangements for controlling subsequent operating functions G06C0021040000. item counters G06C0025020000)
G06C0017000000;Mechanisms for converting from one notational system to another, i.e. radix conversion
G06C0019000000;Decimal-point mechanisms. Analogous mechanisms for non-decimal notations
G06C0019020000;Devices for indicating the point
G06C0019040000;Devices for printing the point
G06C0021000000;Programming-mechanisms for determining the steps to be performed by the computing machine, e.g. when a key or certain keys are depressed (mechanisms merely for producing multiplication by repeated addition G06C0015080000)
G06C0021020000;in which the operation of the mechanism is determined by the position of the carriage
G06C0021040000;Conditional arrangements for controlling subsequent operating functions, e.g. control arrangement triggered by a function key and depending on the condition of the register (arrangements for selection of one out of several counting registers G06C0015480000)
G06C0023000000;Driving mechanisms for functional elements
G06C0023020000;of main shaft
G06C0023040000;of pin carriage, e.g. for step-by-step movement
G06C0023060000;of tabulation devices, e.g. of carriage skip
G06C0023080000;Hydraulic or pneumatic actuation
G06C0025000000;Auxiliary functional arrangements, e.g. interlocks (interlocks in keyboards G06C0007040000)
G06C0025020000;Item-counting devices (devices for counting the cycles of operation in division or multiplication G06C0015240000)
G06C0027000000;Computing machines characterised by the structural interrelation of their functional units, e.g. invoicing machines
G06C0029000000;Combinations of computing machines with other machines, e.g. with typewriter, with money-changing apparatus
G06D;DIGITAL FLUID-PRESSURE COMPUTING DEVICES
G06D0001000000;Details, e.g. functional units (individual logic elements F15C. valves F16K)
G06D0001020000;having at least one moving part, e.g. spool valve
G06D0001040000;Adding. Subtracting
G06D0001060000;Multiplying. Dividing
G06D0001080000;having no moving parts
G06D0001100000;Adding. Subtracting
G06D0001120000;Multiplying. Dividing
G06D0003000000;Computing devices characterised by the interrelationship of the functional units and having at least one moving part
G06D0005000000;Computing devices characterised by the interrelationship of the functional units and having no moving parts
G06D0007000000;Computing devices characterised by the combination of hydraulic or pneumatic functional elements with at least one other type of functional element
G06E;OPTICAL COMPUTING DEVICES (digital storage using optical elements G11C0013040000)
G06E0001000000;Devices for processing exclusively digital data
G06E0001020000;operating upon the order or content of the data handled
G06E0001040000;for performing computations using exclusively denominational number representation, e.g. using binary, ternary, decimal representation
G06E0001060000;for performing computations using a digital non-denominational number representation, i.e. number representation without radix. using combinations of denominational and non-denominational number representations
G06E0003000000;Devices not provided for in group . G06E0001000000, e.g. for processing analogue or hybrid data
G06F;ELECTRIC DIGITAL DATA PROCESSING (computers in which a part of the computation is effected hydraulically or pneumatically G06D, optically G06E. computer systems based on specific computational models G06N)
G06F0001000000;Details not covered by groups  G06F0003000000-G06F0013000000 and G06F0021000000. (architectures of general purpose stored programme computers G06F0015760000)
G06F0001020000;Digital function generators
G06F0001025000;for functions having two-valued amplitude, e.g. Walsh functions
G06F0001030000;working, at least partly, by table look-up (G06F0001025000 takes precedence)..
G06F0001035000;Reduction of table size
G06F0001040000;Generating or distributing clock signals or signals derived directly therefrom
G06F0001060000;Clock generators producing several clock signals
G06F0001080000;Clock generators with changeable or programmable clock frequency
G06F0001100000;Distribution of clock signals
G06F0001120000;Synchronisation of different clock signals
G06F0001140000;Time supervision arrangements, e.g. real time clock
G06F0001160000;Constructional details or arrangements
G06F0001180000;Packaging or power distribution
G06F0001200000;Cooling means
G06F0001220000;Means for limiting or controlling the pin/gate ratio
G06F0001240000;Resetting means (restoration from data faults G06F0011000000)
G06F0001260000;Power supply means, e.g. regulation thereof (for memories G11C)
G06F0001280000;Supervision thereof, e.g. detecting power-supply failure by out of limits supervision
G06F0001300000;Means for acting in the event of power-supply failure or interruption, e.g. power-supply fluctuations (for resetting only G06F0001240000. involving the processing of data-words G06F0011000000)
G06F0001320000;Means for saving power
G06F0003000000;Input arrangements for transferring data to be processed into a form capable of being handled by the computer. Output arrangements for transferring data from processing unit to output unit, e.g. interface arrangements
G06F0003010000;Input arrangements or combined input and output arrangements for interaction between user and computer (G06F0003160000 takes precedence)..
G06F0003020000;Input arrangements using manually operated switches, e.g. using keyboards or dials
G06F0003023000;Arrangements for converting discrete items of information into a coded form, e.g. arrangements for interpreting keyboard generated codes as alphanumeric codes, operand codes or instruction codes
G06F0003027000;for insertion of the decimal point
G06F0003030000;Arrangements for converting the position or the displacement of a member into a coded form
G06F0003033000;Pointing devices displaced or positioned by the user. Accessories therefor (digitisers characterised by the transducing means G06F0003041000)
G06F0003033800;with detection of limited linear or angular displacement of an operating part of the device from a neutral position, e.g. isotonic or isometric joysticks
G06F0003034600;with detection of the device orientation or free movement in a 3D space, e.g. 3D mice, 6-DOF [six degrees of freedom] pointers using gyroscopes, accelerometers or tilt-sensors
G06F0003035400;with detection of 2D relative movements between the device, or an operating part thereof, and a plane or surface, e.g. 2D mice, trackballs, pens or pucks
G06F0003036200;with detection of 1D translations or rotations of an operating part of the device, e.g. scroll wheels, sliders, knobs, rollers or belts
G06F0003037000;using the raster scan of a cathode-ray tube   (CRT) for detecting the position of the member, e.g. light pens cooperating with CRT monitors
G06F0003038000;Control and interface arrangements therefor, e.g. drivers or device-embedded control circuitry
G06F0003039000;Accessories therefor, e.g. mouse pads
G06F0003041000;Digitisers, e.g. for touch screens or touch pads, characterised by the transducing means
G06F0003042000;by opto-electronic means
G06F0003043000;using propagating acoustic waves
G06F0003044000;by capacitive means
G06F0003045000;using resistive elements, e.g. a single continuous surface or two parallel surfaces put in contact
G06F0003046000;by electromagnetic means
G06F0003047000;using sets of wires, e.g. crossed wires
G06F0003048000;Interaction techniques based on graphical user interfaces [GUIs]
G06F0003048100;based on specific properties of the displayed interaction object or a metaphor-based environment, e.g. interaction with desktop elements like windows or icons, or assisted by a cursor's changing behaviour or appearance
G06F0003048200;interaction with lists of selectable items, e.g. menus
G06F0003048300;interaction with page-structured environments, e.g. book metaphor
G06F0003048400;for the control of specific functions or operations, e.g. selecting or manipulating an object or an image, setting a parameter value or selecting a range
G06F0003048500;Scrolling or panning
G06F0003048600;Drag-and-drop
G06F0003048700;using specific features provided by the input device, e.g. functions controlled by the rotation of a mouse with dual sensing arrangements, or of the nature of the input device, e.g. tap gestures based on pressure sensed by a digitiser
G06F0003048800;using a touch-screen or digitiser, e.g. input of commands through traced gestures
G06F0003048900;using dedicated keyboard keys or combinations thereof
G06F0003050000;Digital input using the sampling of an analogue quantity at regular intervals of time (sample-and-hold arrangements G11C0027020000)
G06F0003060000;Digital input from, or digital output to, record carriers
G06F0003080000;from or to individual record carriers, e.g. punched card
G06F0003090000;Digital output to typewriters
G06F0003120000;Digital output to print unit (arrangements for producing a permanent visual presentation of the output data using printers G06K0015020000)
G06F0003130000;Digital output to plotter (arrangements for producing a permanent visual presentation of the output data using plotters G06K0015220000)
G06F0003140000;Digital output to display device
G06F0003147000;using display panels
G06F0003153000;using cathode-ray tubes
G06F0003160000;Sound input. Sound output (conversion of speech into digital information or vice versaG10L)
G06F0003180000;Digital input from automatic curve follower
G06F0005000000;Methods or arrangements for data conversion without changing the order or content of the data handled
G06F0005010000;for shifting, e.g. justifying, scaling, normalising
G06F0005060000;for changing the speed of data flow, i.e. speed regularising
G06F0005080000;having a sequence of storage locations, the intermediate ones not being accessible for either enqueue or dequeue operations, e.g. using a shift register
G06F0005100000;having a sequence of storage locations each being individually accessible for both enqueue and dequeue operations, e.g. using random access memory
G06F0005120000;Means for monitoring the fill level. Means for resolving contention, i.e. conflicts between simultaneous enqueue and dequeue operations
G06F0005140000;for overflow or underflow handling, e.g. full or empty flags
G06F0005160000;Multiplexed systems, i.e. using two or more similar devices which are alternately accessed for enqueue and dequeue operations, e.g. ping-pong buffers
G06F0007000000;Methods or arrangements for processing data by operating upon the order or content of the data handled (logic circuits H03K0019000000)
G06F0007020000;Comparing digital values (G06F0007060000, G06F0007380000 take precedence)..
G06F0007040000;Identity comparison, i.e. for like or unlike values
G06F0007060000;Arrangements for sorting, selecting, merging, or comparing data on individual record carriers
G06F0007080000;Sorting, i.e. grouping record carriers in numerical or other ordered sequence according to the classification of at least some of the information they carry (by merging two or more sets of carriers in ordered sequence G06F0007160000)
G06F0007100000;Selecting, i.e. obtaining data of one kind from those record carriers which are identifiable by data of a second kind from a mass of ordered or randomly-distributed record carriers
G06F0007120000;with provision for printing-out a list of selected items
G06F0007140000;Merging, i.e. combining at least two sets of record carriers each arranged in the same ordered sequence to produce a single set having the same ordered sequence
G06F0007160000;Combined merging and sorting
G06F0007200000;Comparing separate sets of record carriers arranged in the same sequence to determine whether at least some of the data in one set is identical with that in the other set or sets
G06F0007220000;Arrangements for sorting or merging computer data on continuous record carriers, e.g. tape, drum, disc
G06F0007240000;Sorting, i.e. extracting data from one or more carriers, re-arranging the data in numerical or other ordered sequence, and re-recording the sorted data on the original carrier or on a different carrier or set of carriers (G06F0007360000 takes precedence)..
G06F0007260000;the sorted data being recorded on the original record carrier within the same space in which the data had been recorded prior to their sorting, without using intermediate storage
G06F0007320000;Merging, i.e. combining data contained in ordered sequence on at least two record carriers to produce a single carrier or set of carriers having all the original data in the ordered sequence (G06F0007360000 takes precedence)..
G06F0007360000;Combined merging and sorting
G06F0007380000;Methods or arrangements for performing computations using exclusively denominational number representation, e.g. using binary, ternary, decimal representation
G06F0007400000;using contact-making devices, e.g. electromagnetic relay (G06F0007460000 takes precedence)..
G06F0007420000;Adding. Subtracting
G06F0007440000;Multiplying. Dividing
G06F0007460000;using electromechanical counter-type accumulators
G06F0007480000;using non-contact-making devices, e.g. tube, solid state device. using unspecified devices
G06F0007483000;Computations with numbers represented by a non-linear combination of denominational numbers, e.g. rational numbers, logarithmic number system or floating-point numbers
G06F0007485000;Adding. Subtracting
G06F0007487000;Multiplying. Dividing
G06F0007490000;Computations with a radix, other than binary, 8, 16 or decimal, e.g. ternary, negative or imaginary radices, mixed radix
G06F0007491000;Computations with decimal numbers
G06F0007492000;using a binary weighted representation within each denomination
G06F0007493000;the representation being the natural binary coded representation, i.e. 8421-code
G06F0007494000;Adding. Subtracting
G06F0007495000;in digit-serial fashion, i.e. having a single digit-handling circuit treating all denominations after each other
G06F0007496000;Multiplying. Dividing
G06F0007498000;using counter-type accumulators
G06F0007499000;Denomination or exception handling, e.g. rounding, overflow
G06F0007500000;Adding. Subtracting (G06F0007483000-G06F0007491000, G06F0007544000-G06F0007556000.  take precedence)..
G06F0007501000;Half or full adders, i.e. basic adder cells for one denomination
G06F0007502000;Half adders. Full adders consisting of two cascaded half adders
G06F0007503000;using carry switching, i.e. the incoming carry being connected directly, or only via an inverter, to the carry output under control of a carry propagate signal
G06F0007504000;in bit-serial fashion, i.e. having a single digit-handling circuit treating all denominations after each other
G06F0007505000;in bit-parallel fashion, i.e. having a different digit-handling circuit for each denomination
