F16H0035080000;for adjustment of members on moving parts from a stationary place
F16H0035100000;Arrangements or devices for absorbing overload or preventing damage by overload (couplings for transmitting rotation F16D)
F16H0035120000;Transmitting mechanisms with delayed effect (vibration- or shock-dampers in general F16F)
F16H0035140000;Mechanisms with only two stable positions, e.g. acting at definite angular positions
F16H0035160000;Mechanisms for movements or movement relations conforming to mathematical formulae (devices in which computing operations are performed mechanically G06G0003000000)
F16H0035180000;Turning devices for rotatable members, e.g. shafts (starting devices for internal-combustion engines F02N)
F16H0037000000;Combinations of mechanical gearings, not provided for in groups F16H0001000000-F16H0035000000. (combinations of mechanical gearing with fluid clutches or fluid gearing F16H0047000000. applications of underdrives or overdrives in motor vehicles, combinations with differential gearings in motor vehicles B60K)
F16H0037020000;comprising essentially only toothed or friction gearings
F16H0037040000;Combinations of toothed gearings only (F16H0037060000 takes precedence)..
F16H0037060000;with a plurality of driving or driven shafts. with arrangements for dividing torque between two or more intermediate shafts
F16H0037080000;with differential gearing
F16H0037100000;at both ends of intermediate shafts
F16H0037120000;Gearings comprising primarily toothed or friction gearing, links or levers, and cams, or members of at least two of these three types (F16H0021140000, F16H0021280000, F16H0021300000 take precedence.toothed or friction gearing or cam gearing, with only an additional lever or link, see the appropriate group for the main gearing).
F16H0037140000;the movements of two or more independently-moving members being combined into a single movement
F16H0037160000;with a driving or driven member which both rotates or oscillates on its axis and reciprocates
F16H0039000000;Fluid gearing
F16H0039000000;Rotary fluid gearing using pumps and motors of the volumetric type, i.e. passing a predetermined volume of fluid per revolution (control of exclusively fluid gearing F16H0061380000. fluid couplings or clutches with pumping sets of volumetric type F16D0031000000. application to lifting or pushing equipment B66F)
F16H0039010000;Pneumatic gearing. Gearing working with subatmospheric pressure (pneumatic hammers B25D0009000000)
F16H0039020000;with liquid motors at a distance from liquid pumps
F16H0039040000;with liquid motor and pump combined in one unit
F16H0039060000;pump and motor being of the same type
F16H0039080000;each with one main shaft and provided with pistons reciprocating in cylinders
F16H0039100000;with cylinders arranged around, and parallel or approximately parallel to, the main axis of the gearing
F16H0039120000;with stationary cylinders
F16H0039140000;with cylinders carried in rotary cylinder blocks or cylinder-bearing members
F16H0039160000;with cylinders arranged perpendicular to the main axis of the gearing
F16H0039180000;the connections of the pistons being at the outer ends of the cylinders
F16H0039200000;the connections of the pistons being at the inner ends of the cylinders
F16H0039220000;with liquid chambers shaped as bodies of revolution concentric with the main axis of the gearing
F16H0039240000;with rotary displacement members, e.g. provided with axially or radially movable vanes passing movable sealing members
F16H0039260000;with liquid chambers not shaped as bodies of revolution or shaped as bodies of revolution eccentric to the main axis of the gearing
F16H0039280000;with liquid chambers formed in rotary members
F16H0039300000;with liquid chambers formed in stationary members
F16H0039320000;with sliding vanes carried by the rotor
F16H0039340000;in which a rotor on one shaft co-operates with a rotor on another shaft
F16H0039360000;toothed-gear type
F16H0039380000;Displacement screw-pump type
F16H0039400000;Hydraulic differential gearings, e.g. having a rotary input housing with interconnected liquid chambers for both outputs
F16H0039420000;pump and motor being of different types
F16H0041000000;Rotary fluid gearing of the hydrokinetic type (control of exclusively fluid gearing F16H0061380000. rotary fluid couplings or clutches of the hydrokinetic type F16D0033000000)
F16H0041020000;with pump and turbine connected by conduits or ducts
F16H0041040000;Combined pump-turbine units
F16H0041220000;Gearing systems consisting of a plurality of hydrokinetic units operating alternatively, e.g. made effective or ineffective by filling or emptying or by mechanical clutches
F16H0041240000;Details
F16H0041260000;Shape of runner blades or channels with respect to function
F16H0041280000;with respect to manufacture, e.g. blade attachment
F16H0041300000;relating to venting, lubrication, cooling, circulation of the cooling medium
F16H0041320000;Selection of working fluids (chemical aspects, see the relevant classes)..
F16H0043000000;Other fluid gearing, e.g. with oscillating input or output
F16H0043020000;Fluid gearing actuated by pressure waves
F16H0045000000;Combinations of fluid gearings for conveying rotary motion with couplings or clutches (F16H0041220000 takes precedence.conjoint control of driveline clutches and change-speed gearing in vehicles B60W0010020000, B60W0010100000)
F16H0045020000;with mechanical clutches for bridging a fluid gearing of the hydrokinetic type (control of torque converter lock-up clutches F16H0061140000)
F16H0047000000;Combinations of mechanical gearing with fluid clutches or fluid gearing (conjoint control of driveline clutches and change-speed gearing in vehicles B60W0010020000, B60W0010100000)
F16H0047020000;the fluid gearing being of the volumetric type
F16H0047040000;the mechanical gearing being of the type with members having orbital motion
F16H0047060000;the fluid gearing being of the hydrokinetic type
F16H0047070000;using two or more power-transmitting fluid circuits (F16H0047100000 takes precedence)..
F16H0047080000;the mechanical gearing being of the type with members having orbital motion
F16H0047100000;using two or more power-transmitting fluid circuits
F16H0047120000;the members with orbital motion having vanes interacting with the fluid
F16H0048000000;Differential gearings (cooling or lubricating of differential gearing F16H0057040000)
F16H0048050000;Multiple interconnected differential sets
F16H0048060000;with gears having orbital motion
F16H0048080000;with orbital conical gears
F16H0048100000;with orbital spur gears
F16H0048110000;having intermeshing planet gears
F16H0048120000;without gears having orbital motion
F16H0048140000;with cams
F16H0048160000;with freewheels
F16H0048180000;with fluid gearing
F16H0048190000;consisting of two linked clutches
F16H0048200000;Arrangements for suppressing or influencing the differential action, e.g. locking devices
F16H0048220000;using friction clutches or brakes
F16H0048240000;using positive clutches or brakes
F16H0048260000;using fluid action, e.g. viscous clutches
F16H0048270000;using internally-actuatable fluid pressure, e.g. internal pump types
F16H0048280000;using self-locking gears or self-braking gears
F16H0048285000;with self-braking intermeshing gears having parallel axes and having worms or helical teeth 
F16H0048290000;with self-braking intermeshing gears having perpendicular arranged axes and having worms or helical teeth
F16H0048295000;using multiple means for force boosting
F16H0048300000;using externally-actuatable means
F16H0048320000;using fluid pressure actuators
F16H0048340000;using electromagnetic or electric actuators
F16H0048360000;characterised by intentionally generating speed difference between outputs
F16H0048380000;Constructional details (the outer casing comprising the differential and supporting input and output shafts F16H0057037000)
F16H0048400000;characterised by features of the rotating cases
F16H0048420000;characterised by features of the input shafts, e.g. mounting of drive gears thereon
F16H0049000000;Other gearing
F16H0051000000;Details of gearing or mechanisms
F16H0051000000;Levers of gearing mechanisms (shafts, Bowden mechanisms, cranks, eccentrics, bearings, pivotal connections, crossheads, connecting-rods F16C. manipulating levers G05G)
F16H0051020000;adjustable
F16H0053000000;Cams or cam-followers, e.g. rollers for gearing mechanisms (shafts, Bowden mechanisms, cranks, eccentrics, bearings, pivotal connections, crossheads, connecting-rods F16C. cams specially adapted for reciprocating-piston liquid engines F03C0001300000)
F16H0053020000;Single-track cams for single-revolution cycles. Camshafts with such cams
F16H0053040000;Adjustable cams
F16H0053060000;Cam-followers (F16H0053080000 takes precedence)..
F16H0053080000;Multi-track cams, e.g. for cycles consisting of several revolutions. Cam-followers specially adapted for such cams
F16H0055000000;Elements with teeth or friction surfaces for conveying motion. Worms, pulleys or sheaves for gearing mechanisms(of screw-and-nut gearing F16H0025000000. shafts, Bowden mechanisms, cranks, eccentrics, bearings, pivotal connections, crossheads, connecting-rods F16C. chains, belts F16G. pulley-blocks for lifting or hauling appliances B66D0003040000)
F16H0055020000;Toothed members. Worms
F16H0055060000;Use of materials. Use of treatments of toothed members or worms to affect their intrinsic material properties
F16H0055080000;Profiling
F16H0055100000;Constructively simple tooth shapes, e.g. shaped as pins, as balls
F16H0055120000;with body or rim assembled out of detachable parts
F16H0055140000;Construction providing resilience or vibration-damping (F16H0055060000 takes precedence.resilient coupling of wheel or wheel-rim with shaft F16D0003500000, F16D0003800000)
F16H0055160000;relating to teeth only
F16H0055170000;Toothed wheels (worm wheels F16H0055220000. chain wheels F16H0055300000)
F16H0055180000;Special devices for taking-up backlash
F16H0055200000;for bevel gears
F16H0055220000;for transmissions with crossing shafts, especially worms, worm-gears (bevel gears, crown wheels, helical gears F16H0055170000)
F16H0055240000;Special devices for taking up backlash
F16H0055260000;Racks
F16H0055280000;Special devices for taking up backlash
F16H0055300000;Chain wheels (specially adapted for cycles B62M)
F16H0055320000;Friction members (friction surfaces F16D0069000000)
F16H0055340000;Non-adjustable friction discs
F16H0055360000;Pulleys (with features essential for adjustment F16H0055520000)
F16H0055380000;Means or measures for increasing adhesion (in general F16D0069000000)
F16H0055400000;with spokes (F16H0055480000 takes precedence)..
F16H0055420000;Laminated pulleys
F16H0055440000;Sheet-metal pulleys
F16H0055460000;Split pulleys
F16H0055480000;manufactured exclusively or in part of non-metallic material, e.g. plastics (F16H0055380000, F16H0055420000, F16H0055460000 take precedence)..
F16H0055490000;Features essential to V-belt pulleys
F16H0055500000;Features essential to rope pulleys
F16H0055520000;Pulleys or friction discs of adjustable construction
F16H0055540000;of which the bearing parts are radially adjustable
F16H0055560000;of which the bearing parts are relatively axially adjustable
F16H0057000000;General details of gearing (of screw-and-nut gearing F16H0025000000. of fluid gearing F16H0039000000-F16H0043000000)
F16H0057010000;Monitoring wear or stress of gearing elements, e.g. for triggering maintenance
F16H0057020000;Gearboxes. Mounting gearing therein
F16H0057021000;Shaft support structures, e.g. partition walls, bearing eyes, casing walls or covers with bearings
F16H0057022000;Adjustment of gear shafts or bearings (for compensating misalignment of axes of toothed gearings without orbital motion F16H0001260000. for compensating misalignment of axes of planetary gears F16H0001480000)
F16H0057023000;Mounting or installation of gears or shafts in gearboxes, e.g. methods or means for assembly
F16H0057025000;Support of gearboxes, e.g. torque arms, or attachment to other devices (mounting of transmissions in vehicles B60K0017000000)
F16H0057027000;characterised by means for venting gearboxes, e.g. air breathers
F16H0057028000;characterised by means for reducing vibration or noise
F16H0057029000;characterised by means for sealing gearboxes, e.g. to improve airtightness
F16H0057030000;characterised by means for reinforcing gearboxes, e.g. ribs
F16H0057031000;characterised by covers or lids for gearboxes
F16H0057032000;characterised by the materials used
F16H0057033000;Series gearboxes, e.g. gearboxes based on the same design being available in different sizes or gearboxes using a combination of several standardised units
F16H0057035000;Gearboxes for gearing with endless flexible members
F16H0057037000;Gearboxes for accommodating differential gearing (rotating cases for differential gearings F16H0048400000)
F16H0057038000;Gearboxes for accommodating bevel gears (F16H0057037000 takes precedence)..
F16H0057039000;Gearboxes for accommodating worm gears
F16H0057040000;Features relating to lubrication or cooling (control of lubrication or cooling in hydrostatic gearing F16H0061416500)
F16H0057050000;of chains (for conveyors B65G0045080000)
F16H0057080000;of gearings with members having orbital motion
F16H0057100000;Braking arrangements
F16H0057120000;Arrangements for adjusting or for taking-up backlash not provided for elsewhere
F16H0059000000;Control of gearing conveying rotary motion
F16H0059000000;Control inputs to change-speed- or reversing-gearings for conveying rotary motion
F16H0059020000;Selector apparatus
F16H0059040000;Ratio selector apparatus
F16H0059060000;the ratio being infinitely variable
F16H0059080000;Range selector apparatus
F16H0059100000;comprising levers
F16H0059120000;comprising push button devices
F16H0059140000;Inputs being a function of torque or torque demand
F16H0059160000;Dynamometric measurement of torque
F16H0059180000;dependent on the position of the accelerator pedal
F16H0059200000;Kickdown
F16H0059220000;Idle position
F16H0059240000;dependent on the throttle opening
F16H0059260000;dependent on pressure
F16H0059280000;Gasifier pressure in gas turbines
F16H0059300000;Intake manifold vacuum
F16H0059320000;Supercharger pressure in internal combustion engines
F16H0059340000;dependent on fuel feed
F16H0059360000;Inputs being a function of speed
F16H0059380000;of gearing elements
F16H0059400000;Output shaft speed
F16H0059420000;Input shaft speed
F16H0059440000;dependent on machine speed (F16H0059460000 takes precedence)..
F16H0059460000;dependent on a comparison between speeds
F16H0059480000;Inputs being a function of acceleration
F16H0059500000;Inputs being a function of the status of the machine, e.g. position of doors or safety belts
F16H0059520000;dependent on the weight of the machine, e.g. change in weight resulting from passengers boarding a bus
F16H0059540000;dependent on signals from the brakes, e.g. parking brakes
F16H0059560000;dependent on signals from the main clutch
F16H0059580000;dependent on signals from the steering
F16H0059600000;Inputs being a function of ambient conditions
F16H0059620000;Atmospheric pressure
F16H0059640000;Atmospheric temperature
F16H0059660000;Road conditions, e.g. slope, slippery
F16H0059680000;Inputs being a function of gearing status
F16H0059700000;dependent on the ratio established
F16H0059720000;dependent on oil characteristics, e.g. temperature, viscosity
F16H0059740000;Inputs being a function of engine parameters (F16H0059140000 takes precedence)..
F16H0059760000;Number of cylinders operating
F16H0059780000;Temperature
F16H0061000000;Control functions within change-speed- or reversing-gearings for conveying rotary motion
F16H0061020000;characterised by the signals used
F16H0061040000;Smoothing ratio shift
F16H0061060000;by controlling rate of change of fluid pressure
F16H0061080000;Timing control
F16H0061100000;Regulating shift hysteresis
F16H0061120000;Detecting malfunction or potential malfunction, e.g. fail safe (in control of hydrostatic gearing F16H0061419200)
F16H0061140000;Control of torque converter lock-up clutches
F16H0061160000;Inhibiting shift during unfavourable conditions (F16H0061180000 takes precedence)..
F16H0061180000;Preventing unintentional or unsafe shift (constructional features of the final output mechanisms F16H0063300000)
F16H0061200000;Preventing gear creeping
F16H0061210000;Providing engine brake control
F16H0061220000;Locking (F16H0063340000 takes precedence)..
F16H0061240000;Providing feel, e.g. to enable selection
F16H0061260000;Generation or transmission of movements for final actuating mechanisms
F16H0061280000;with at least one movement of the final actuating mechanism being caused by a non-mechanical force, e.g. power-assisted
F16H0061300000;Hydraulic motors therefor
F16H0061320000;Electric motors therefor
F16H0061340000;comprising two mechanisms, one for the preselection movement, and one for the shifting movement (F16H0061360000 takes precedence)..
F16H0061360000;with at least one movement being transmitted by a cable
F16H0061380000;Control of exclusively fluid gearing
F16H0061400000;hydrostatic (involving modification of the gearing F16H0039020000, F16H0039040000)
F16H0061400800;Control of circuit pressure
F16H0061401700;Control of high pressure, e.g. avoiding excess pressure by a relief valve
F16H0061402600;Control of low pressure
F16H0061403500;Control of circuit flow
F16H0061404300;Control of a bypass valve
F16H0061405200;by using a variable restriction, e.g. an orifice valve
F16H0061406100;Control related to directional control valves, e.g. change-over valves, for crossing the feeding conduits (forward reverse switching by using swash plate F16H0061438000)
F16H0061406900;Valves related to the control of neutral, e.g. shut off valves (zero tilt rotation holding means F16H0061439000)
F16H0061407800;Fluid exchange between hydrostatic circuits and external sources or consumers
F16H0061409600;with pressure accumulators
F16H0061410400;Flushing, e.g. by using flushing valves or by connection to exhaust
F16H0061413100;Fluid exchange by aspiration from reservoirs, e.g. sump
F16H0061413900;Replenishing or scavenging pumps, e.g. auxiliary charge pumps
F16H0061414800;Open loop circuits
F16H0061415700;Control of braking, e.g. preventing pump over-speeding when motor acts as a pump
F16H0061416500;Control of cooling or lubricating
F16H0061417400;Control of venting, e.g. removing trapped air
F16H0061418300;Preventing or reducing vibrations or noise, e.g. avoiding cavitations
F16H0061419200;Detecting malfunction or potential malfunction, e.g. fail safe
F16H0061420000;involving adjustment of a pump or motor with adjustable output or capacity
F16H0061421000;Motor capacity control by electro-hydraulic control means, e.g. using solenoid valves
F16H0061423000;Motor capacity control by fluid pressure control means
F16H0061425000;Motor capacity control by electric actuators
F16H0061427000;Motor capacity control by mechanical control means, e.g. by levers or pedals
F16H0061431000;Pump capacity control by electro-hydraulic control means, e.g. using solenoid valve
F16H0061433000;Pump capacity control by fluid pressure control means
F16H0061435000;Pump capacity control by electric actuators
F16H0061437000;Pump capacity control by mechanical control means, e.g. by levers or pedals
F16H0061438000;Control of forward-reverse switching, e.g. control of the swash plate causing discharge in two directions (using a directional control valve F16H0061406100)
F16H0061439000;Control of the neutral position, e.g. by zero tilt rotation holding means (using a neutral valve or a shutoff valve F16H0061406900)
F16H0061440000;with more than one pump or motor unit in operation
F16H0061444000;by changing the number of pump or motor units in operation
F16H0061448000;Control circuits for tandem pumps or motors
F16H0061452000;Selectively controlling multiple pumps or motors, e.g. switching between series or parallel
F16H0061456000;Control of the balance of torque or speed between pumps or motors (hydrostatic differentials F16H0048180000)
F16H0061460000;Automatic regulation in accordance with output requirements
F16H0061462000;for achieving a target speed ratio
F16H0061465000;for achieving a target input speed
F16H0061468000;for achieving a target input torque
F16H0061470000;for achieving a target output speed
F16H0061472000;for achieving a target output torque
F16H0061475000;for achieving a target power, e.g. input power or output power
F16H0061478000;for preventing overload, e.g. high pressure limitation
F16H0061480000;hydrodynamic
F16H0061500000;controlled by changing the flow, force, or reaction of the liquid in the working circuit, while maintaining a completely filled working circuit
F16H0061520000;by altering the position of blades
F16H0061540000;by means of axially-shiftable blade runners
F16H0061560000;to change the blade angle
F16H0061580000;by change of the mechanical connection of, or between, the runners
F16H0061600000;exclusively by the use of freewheel clutches
F16H0061620000;involving use of a speed-changing gearing or of a clutch in the connection between runners (F16H0045020000, F16H0061600000 take precedence)..
F16H0061640000;controlled by changing the amount of liquid in the working circuit
F16H0061660000;specially adapted for continuously variable gearings (F16H0061380000 takes precedence.orbital toothed gearings with a secondary drive in order to vary the speed continuously F16H0003720000)
F16H0061662000;with endless flexible members
F16H0061664000;Friction gearings
F16H0061680000;specially adapted for stepped gearings
F16H0061682000;with interruption of drive
F16H0061684000;without interruption of drive
F16H0061686000;with orbital gears
F16H0061688000;with two inputs, e.g. selection of one of two torque-flow paths by clutches
F16H0061700000;specially adapted for change-speed gearing in group arrangement, i.e. with separate change-speed gear trains arranged in series, e.g. range or overdrive-type gearing arrangements
F16H0063000000;Control outputs to change-speed- or reversing-gearings for conveying rotary motion
F16H0063020000;Final output mechanisms therefor. Actuating means for the final output mechanisms
F16H0063040000;a single final output mechanism being moved by a single final actuating mechanism
F16H0063060000;the final output mechanism having an indefinite number of positions
F16H0063080000;Multiple final output mechanisms being moved by a single common final actuating mechanism
F16H0063100000;the final actuating mechanism having a series of independent ways of movement, each way of movement being associated with only one final output mechanism
F16H0063120000;two or more ways of movement occurring simultaneously
F16H0063140000;the final output mechanisms being successively actuated by repeated movement of the final actuating mechanism
F16H0063160000;the final output mechanisms being successively actuated by progressive movement of the final actuating mechanism
F16H0063180000;the final actuating mechanism comprising cams
F16H0063200000;with preselection and subsequent movement of each final output mechanism by movement of the final actuating mechanism in two different ways, e.g. guided by a shift gate
F16H0063220000;the final output mechanisms being simultaneously moved by the final actuating mechanism
F16H0063240000;each of the final output mechanisms being moved by only one of the various final actuating mechanisms
F16H0063260000;some of the movements of the final output mechanisms being caused by another final output mechanism
F16H0063280000;two or more final actuating mechanisms moving the same final output mechanism
F16H0063300000;Constructional features of the final output mechanisms
F16H0063320000;Gear shifter yokes
F16H0063340000;Locking or disabling mechanisms
F16H0063360000;Interlocking devices
F16H0063380000;Detents
F16H0063400000;comprising signals other than signals for actuating the final output mechanisms
F16H0063420000;Ratio indicator devices
F16H0063440000;Signals to the control unit of auxiliary gearing
F16H0063460000;Signals to a clutch outside the gearbox
F16H0063480000;Signals to a parking brake
F16H0063500000;Signals to an engine or motor
F16J;PISTONS. CYLINDERS. PRESSURE VESSELS IN GENERAL. SEALINGS
F16J0001000000;"Pistons. Trunk pistons. Plungers (bellows pistons F16J0003060000. piston-rings or seats therefor F16J0009000000. rotary pistons, e.g. for ""Wankel"" type engines, F01C. specific for combustion engines, i.e. constructed to withstand high temperature or modified for guiding, igniting, vaporising, or otherwise treating the charge, F02F. pistons specially adapted for reciprocating-piston liquid engines F03C0001280000. for pumps F04B. floats F16K0033000000)"
F16J0001010000;characterised by the use of particular materials (F16J0001020000 takes precedence)..
F16J0001020000;Bearing surfaces
F16J0001040000;Resilient guiding parts, e.g. skirts, particularly for trunk pistons
F16J0001060000;with separate expansion members. Espansion members
F16J0001080000;Constructional features providing for lubrication
F16J0001090000;with means for guiding fluids (F16J0001080000 takes precedence)..
F16J0001100000;Connection to driving members
F16J0001120000;with piston-rods, i.e. rigid connections
F16J0001140000;with connecting-rods, i.e. pivotal connections
F16J0001160000;with gudgeon-pin. Gudgeon-pins
F16J0001180000;Securing of gudgeon-pins
F16J0001200000;with rolling contact, other than in ball or roller bearings
F16J0001220000;with universal joint, e.g. ball-joint
F16J0001240000;designed to give the piston some rotary movement about its axis
F16J0003000000;Diaphragms. Bellows. Bellows pistons (connection of valves to inflatable elastic bodies B60C0029000000. bellows or the like used in instruments G12B0001040000. diaphragms for electromechanical transducers H04R0007000000)
F16J0003020000;Diaphragms
F16J0003040000;Bellows
F16J0003060000;Bellows pistons
F16J0007000000;Piston-rods, i.e. rods rigidly connected to the piston (connecting-rods or like links pivoted at both ends F16C0007000000)
F16J0009000000;Piston-rings, seats therefor. Ring sealings of similar construction in general (other sealings between pistons and cylinders F16J0003060000, F16J0015160000. tools for mounting or removing piston-rings or the like B25B. piston sealing arrangements on brake master cylinders B60T0011236000)
F16J0009020000;L-section rings
F16J0009040000;Helical rings
F16J0009060000;using separate springs expanding the rings. Springs therefor
F16J0009080000;with expansion obtained by pressure of the medium
F16J0009100000;Special members for adjusting the rings
F16J0009120000;Details
F16J0009140000;Joint-closures
F16J0009160000;obtained by stacking of rings
F16J0009180000;with separate bridge-elements
F16J0009200000;Rings with special cross-section (L-section rings F16J0009020000). Oil-scraping rings
F16J0009220000;Rings for preventing wear of grooves or like seatings
F16J0009240000;Members preventing rotation of rings in grooves
F16J0009260000;characterised by the use of particular materials
F16J0009280000;of non-metals
F16J0010000000;Engine or like cylinders (pressure vessels in general F16J0012000000. cylinders for engines or other apparatus of particular kinds, see the appropriate subclasses, e.g. for combustion engines F02F). Features of hollow, e.g. cylindrical, bodies in general
F16J0010020000;Cylinders designed to receive moving pistons or plungers
F16J0010040000;Running faces. Liners
F16J0012000000;Pressure vessels in general (covers therefor F16J0013000000. for particular applications, see the relevant subclasses, e.g. B01J, F17C, G21C)
F16J0013000000;Covers or similar closure members for pressure vessels in general (for engine or like cylinders F16J0010000000. sealings F16J0015020000. covers for box-like containers B65D0043000000. devices for securing or retaining closure members B65D0045000000. closures for containers not otherwise provided for B65D0051000000. manholes, covers for large containers B65D0090100000. gates or closures for large containers B65D0090540000. for vessels for containing or storing compressed, liquefied or solidified gases F17C0013060000. steam boilers F22B)
F16J0013020000;Detachable closure members. Means for tightening closures (F16J0013160000, F16J0013220000 take precedence)..
F16J0013040000;attached with a bridge member
F16J0013060000;attached only by clamps along the circumference
F16J0013080000;attached by one or more members actuated to project behind a part or parts of the frame (similar constructions for doors or windows E05C0009000000)
F16J0013100000;attached by means of a divided ring
F16J0013120000;attached by wedging action by means of screw-thread, interrupted screw-thread, bayonet closure, or the like
F16J0013140000;attached exclusively by spring action or elastic action
F16J0013160000;Pivoted closures (F16J0013220000 takes precedence)..
F16J0013180000;pivoted directly on the frame
F16J0013200000;mounted by mobile fastening on swinging arms
F16J0013220000;with movement parallel to the plane of the opening
F16J0013240000;with safety devices, e.g. to prevent opening prior to pressure release
F16J0015000000;Sealings (sealing arrangements for vehicle windows, windscreens, non-fixed roofs, doors, or similar devices B60J0010000000. sealing or packing elements for container closures B65D0053000000. sealing arrangements in rotary-piston machines or engines F01C0019000000. sealings in non-positive-displacement machines or engines F01D0011000000. arrangements of sealings in combustion engines F02F0011000000. sealing arrangements in rotary-piston pumps F04C0027000000. sealing lead-in or lead-through insulators H01B0017300000)
F16J0015020000;between relatively-stationary surfaces (F16J0015460000, F16J0015480000 take precedence)..
F16J0015040000;without packing between the surfaces, e.g. with ground surfaces, with cutting edge
F16J0015060000;with solid packing compressed between sealing surfaces
F16J0015080000;with exclusively metal packing
F16J0015100000;with non-metallic packing
F16J0015120000;with metal reinforcement or covering
F16J0015140000;by means of granular or plastic material, or fluid
F16J0015160000;between relatively-moving surfaces (F16J0015500000, F16J0015520000 take precedence.bellows pistons F16J0003060000. piston-rings or ring sealings of similar construction in general F16J0009000000. spindle sealings for valves F16K0041000000)
F16J0015180000;with stuffing-boxes for elastic or plastic packings
F16J0015200000;Packing materials therefor
F16J0015220000;shaped as strands, ropes, threads, ribbons, or the like
F16J0015240000;with radially or tangentially compressed packing
F16J0015260000;with stuffing-boxes for rigid sealing rings
F16J0015280000;with sealing rings made of metal
F16J0015300000;with sealing rings made of carbon
F16J0015320000;with elastic sealing lip
F16J0015340000;with slip-ring pressed against a more or less radial face on one member
F16J0015360000;connected by a diaphragm to the other member
F16J0015380000;sealed by a packing
F16J0015400000;by means of fluid
F16J0015420000;kept in sealing position by centrifugal force
F16J0015430000;kept in sealing position by magnetic force
F16J0015440000;Free-space packings
F16J0015447000;Labyrinth packings
F16J0015453000;characterised by the use of particular materials
F16J0015460000;with packing ring expanded or pressed into place by fluid pressure, e.g. inflatable packings (connection of valves to inflatable elastic bodies B60C0029000000. specially adapted for tube connections F16L)
F16J0015480000;influenced by the pressure within the member to be sealed
F16J0015500000;between relatively-movable members, by means of a sealing without relatively-moving surfaces, e.g. fluid-tight sealings for transmitting motion through a wall
F16J0015520000;by means of sealing bellows or diaphragms (connection of valves to inflatable elastic bodies B60C0029000000)
F16J0015530000;using magnetic means
F16J0015540000;Other sealings for rotating shafts
F16J0015560000;Other sealings for reciprocating rods
F16K;VALVES. TAPS. COCKS. ACTUATING-FLOATS. DEVICES FOR VENTING OR AERATING
F16K0001000000;Constructional types
F16K0001000000;Lift valves, i.e. cut-off apparatus with closure members having at least a component of their opening and closing motion perpendicular to the closing faces (diaphragm valves F16K0007000000)
F16K0001020000;with screw-spindle (F16K0001120000-F16K0001280000.  take precedence.actuating mechanisms with screw-spindles F16K0031500000)
F16K0001040000;with a cut-off member rigid with the spindle, e.g. main valves
F16K0001060000;Special arrangements for improving the flow, e.g. special shape of passages or casings
F16K0001080000;in which the spindle is perpendicular to the general direction of flow
F16K0001100000;in which the spindle is inclined to the general direction of flow
F16K0001120000;with streamlined valve member around which the fluid flows when the valve is opened
F16K0001140000;with ball-shaped valve members (check valves F16K0015040000)
F16K0001160000;with pivoted closure members
F16K0001180000;with pivoted discs or flaps
F16K0001200000;with axis of rotation arranged externally of valve member
F16K0001220000;with axis of rotation crossing the valve member, e.g. butterfly valves
F16K0001226000;Shape or arrangement of the sealing
F16K0001228000;Movable sealing bodies
F16K0001240000;with valve members that, on opening of the valve, are initially lifted from the seat and next are turned around an axis parallel to the seat
F16K0001260000;Shape or arrangement of the sealing
F16K0001280000;Movable sealing bodies
F16K0001300000;specially adapted for pressure containers
F16K0001320000;Details (details of more general applicability F16K0025000000-F16K0051000000)
F16K0001340000;Cutting-off parts (F16K0001060000, F16K0001120000, F16K0001140000, F16K0001260000 take precedence)..
F16K0001360000;Valve members (for double-seat valves F16K0001440000)
F16K0001380000;of conical shape
F16K0001400000;of helical shape
F16K0001420000;Valve seats (for double-seat valves F16K0001440000)
F16K0001440000;Details of seats or valve members of double-seat valves
F16K0001460000;Attachment of sealing rings
F16K0001480000;Attaching valve members to valve-spindles
F16K0001500000;Preventing rotation of valve members
F16K0001520000;Means for additional adjustment of the rate of flow
F16K0001540000;Arrangements for modifying the way in which the rate of flow varies during the actuation of the valve
F16K0003000000;Gate valves or sliding valves, i.e. cut-off apparatus with closing members having a sliding movement along the seat for opening and closing (F16K0005000000 takes precedence.in barrages or weirs E02B0008040000)
F16K0003020000;with flat sealing faces. Packings therefor
F16K0003030000;with a closure member in the form of an iris-diaphragm
F16K0003040000;with pivoted closure members
F16K0003060000;in the form of closure plates arranged between supply and discharge passages (F16K0003100000 takes precedence)..
F16K0003080000;with circular closure plates rotatable around their centres
F16K0003100000;with special arrangements for separating the sealing faces or for pressing them together
F16K0003120000;with wedge-shaped arrangements of sealing faces
F16K0003140000;with special arrangements for separating the sealing faces or for pressing them together
F16K0003160000;with special arrangements for separating the sealing faces or for pressing them together (F16K0003100000, F16K0003140000 take precedence)..
F16K0003180000;by movement of the closure members
F16K0003200000;by movement of the seats
F16K0003220000;with sealing faces shaped as surfaces of solids of revolution (F16K0013020000 takes precedence.with resilient valve members F16K0003280000)
F16K0003240000;with cylindrical valve members
F16K0003260000;with fluid passages in the valve member
F16K0003280000;with resilient valve members
F16K0003300000;Details
F16K0003312000;Line blinds
F16K0003314000;Forms or constructions of slides. Attachment of the slide to the spindle
F16K0003316000;Guiding of the slide
F16K0003320000;Means for additional adjustment of the rate of flow
F16K0003340000;Arrangements for modifying the way in which the rate of flow varies during the actuation of the valve
F16K0003360000;Features relating to lubrication
